year,averagemwh,rainfall_amount,daily_global_solar_exposure,minimum_temperature,maximum_temperature
2015,17.6157455799472,1044.6,16.468767123287673,15.326849315068493,22.38732782369146
2016,18.268878401826488,1095.4,17.33497267759563,15.660335195530726,22.919166666666666
2017,18.328494460565476,970.0,16.85989010989011,15.535068493150685,22.88236914600551
2018,17.766878705070972,968.0,17.384931506849316,15.365753424657534,22.426446280991737
2019,18.365519168097528,680.0,17.873972602739727,15.499173553719007,23.14848484848485
2020,17.475153930936074,973.2,16.19258241758242,15.418579234972677,22.312912087912085
2021,16.97309333823869,759.4,16.112876712328767,14.768055555555556,21.89467787114846
2022,16.706172542790323,1206.6,16.483471074380166,15.06868131868132,21.554794520547944
2023,16.36217929515797,802.2,17.965205479452056,15.324931506849316,22.81625344352617
