Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),index,Quality_Y
61133,2015,1,1,0.0,,0,True
61133,2015,1,2,0.0,,1,True
61133,2015,1,3,0.0,,2,True
61133,2015,1,4,0.0,,3,True
61133,2015,1,6,0.0,,5,True
61133,2015,1,7,0.0,,6,True
61133,2015,1,8,0.0,,7,True
61133,2015,1,9,0.0,,8,True
61133,2015,1,10,0.0,,9,True
61133,2015,1,11,3.8,1.0,10,True
61133,2015,1,12,15.2,1.0,11,True
61133,2015,1,13,2.4,1.0,12,True
61133,2015,1,14,0.0,,13,True
61133,2015,1,15,0.0,,14,True
61133,2015,1,16,0.0,,15,True
61133,2015,1,17,0.0,,16,True
61133,2015,1,18,0.0,,17,True
61133,2015,1,19,15.4,1.0,18,True
61133,2015,1,20,43.0,1.0,19,True
61133,2015,1,21,14.6,1.0,20,True
61133,2015,1,22,0.0,,21,True
61133,2015,1,23,0.0,,22,True
61133,2015,1,24,0.0,,23,True
61133,2015,1,25,1.6,1.0,24,True
61133,2015,1,26,3.4,1.0,25,True
61133,2015,1,27,11.6,1.0,26,True
61133,2015,1,28,57.0,1.0,27,True
61133,2015,1,29,0.0,,28,True
61133,2015,1,30,0.0,,29,True
61133,2015,1,31,0.0,,30,True
61133,2015,2,1,0.0,,31,True
61133,2015,2,2,0.0,,32,True
61133,2015,2,3,23.4,1.0,33,True
61133,2015,2,4,0.0,,34,True
61133,2015,2,5,3.2,1.0,35,True
61133,2015,2,6,0.0,,36,True
61133,2015,2,7,0.0,,37,True
61133,2015,2,8,0.0,,38,True
61133,2015,2,9,0.0,,39,True
61133,2015,2,10,0.0,,40,True
61133,2015,2,11,0.0,,41,True
61133,2015,2,12,0.0,,42,True
61133,2015,2,13,0.6,1.0,43,True
61133,2015,2,14,0.0,,44,True
61133,2015,2,15,0.0,,45,True
61133,2015,2,16,0.0,,46,True
61133,2015,2,17,0.0,,47,True
61133,2015,2,18,0.0,,48,True
61133,2015,2,19,0.0,,49,True
61133,2015,2,20,0.0,,50,True
61133,2015,2,21,5.0,1.0,51,True
61133,2015,2,22,3.0,1.0,52,True
61133,2015,2,23,2.2,1.0,53,True
61133,2015,2,24,0.0,,54,True
61133,2015,2,25,3.2,1.0,55,True
61133,2015,2,26,7.0,1.0,56,True
61133,2015,2,27,1.0,1.0,57,True
