Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),index,Quality_Y
61055,2015,1,1,0.0,1.0,0,False
61055,2015,1,2,0.0,1.0,1,False
61055,2015,1,3,0.0,1.0,2,False
61055,2015,1,4,0.0,1.0,3,False
61055,2015,1,5,0.0,1.0,4,False
61055,2015,1,6,0.0,1.0,5,False
61055,2015,1,7,0.0,1.0,6,False
61055,2015,1,8,0.0,1.0,7,False
61055,2015,1,9,0.0,1.0,8,False
61055,2015,1,10,0.0,1.0,9,False
61055,2015,1,11,3.0,1.0,10,False
61055,2015,1,12,12.0,1.0,11,False
61055,2015,1,13,0.0,1.0,12,False
61055,2015,1,14,2.8,1.0,13,False
61055,2015,1,15,0.0,1.0,14,False
61055,2015,1,16,0.6,1.0,15,False
61055,2015,1,17,0.2,1.0,16,False
61055,2015,1,18,7.6,1.0,17,False
61055,2015,1,19,3.0,1.0,18,False
61055,2015,1,23,0.0,1.0,22,False
61055,2015,1,24,0.0,1.0,23,False
61055,2015,1,25,0.0,1.0,24,False
61055,2015,1,26,8.8,1.0,25,False
61055,2015,1,27,9.0,1.0,26,False
61055,2015,1,28,31.2,1.0,27,False
61055,2015,1,29,3.0,1.0,28,False
61055,2015,1,30,0.0,1.0,29,False
61055,2015,1,31,0.0,1.0,30,False
61055,2015,2,1,0.0,1.0,31,False
61055,2015,2,2,7.2,1.0,32,False
61055,2015,2,3,7.4,1.0,33,False
61055,2015,2,4,0.0,1.0,34,False
61055,2015,2,5,0.6,1.0,35,False
61055,2015,2,6,0.2,1.0,36,False
61055,2015,2,7,0.0,1.0,37,False
61055,2015,2,8,0.0,1.0,38,False
61055,2015,2,9,0.0,1.0,39,False
61055,2015,2,10,0.0,1.0,40,False
61055,2015,2,11,0.0,1.0,41,False
61055,2015,2,12,0.0,1.0,42,False
61055,2015,2,13,0.0,1.0,43,False
61055,2015,2,14,0.0,1.0,44,False
61055,2015,2,15,0.0,1.0,45,False
61055,2015,2,16,0.0,1.0,46,False
61055,2015,2,17,0.0,1.0,47,False
61055,2015,2,18,0.0,1.0,48,False
61055,2015,2,19,0.0,1.0,49,False
61055,2015,2,20,0.0,1.0,50,False
61055,2015,2,21,7.8,1.0,51,False
61055,2015,2,22,3.6,1.0,52,False
61055,2015,2,23,1.8,1.0,53,False
61055,2015,2,24,0.0,1.0,54,False
61055,2015,2,25,3.0,1.0,55,False
61055,2015,2,26,2.8,1.0,56,False
61055,2015,2,27,4.8,1.0,57,False
61055,2015,2,28,0.2,1.0,58,False
61055,2015,3,1,0.0,1.0,59,False
61055,2015,3,2,6.6,1.0,60,False
61055,2015,3,3,0.0,1.0,61,False
61055,2015,3,4,0.0,1.0,62,False
61055,2015,3,5,0.0,1.0,63,False
61055,2015,3,6,0.0,1.0,64,False
61055,2015,3,7,0.0,1.0,65,False
61055,2015,3,8,0.0,1.0,66,False
61055,2015,3,9,0.0,1.0,67,False
61055,2015,3,10,0.0,1.0,68,False
61055,2015,3,11,0.0,1.0,69,False
61055,2015,3,12,0.0,1.0,70,False
61055,2015,3,13,0.6,1.0,71,False
61055,2015,3,14,1.0,1.0,72,False
61055,2015,3,15,0.0,1.0,73,False
61055,2015,3,16,1.0,1.0,74,False
61055,2015,3,17,0.0,1.0,75,False
61055,2015,3,18,0.0,1.0,76,False
61055,2015,3,19,0.0,1.0,77,False
61055,2015,3,20,0.0,1.0,78,False
61055,2015,3,21,0.2,1.0,79,False
61055,2015,3,22,0.2,1.0,80,False
61055,2015,3,23,4.0,1.0,81,False
61055,2015,3,24,0.0,1.0,82,False
61055,2015,3,25,21.8,1.0,83,False
61055,2015,3,26,0.0,1.0,84,False
61055,2015,3,27,0.0,1.0,85,False
61055,2015,3,28,0.0,1.0,86,False
61055,2015,3,29,0.0,1.0,87,False
61055,2015,3,30,0.0,1.0,88,False
61055,2015,3,31,13.8,1.0,89,False
61055,2015,4,1,9.4,1.0,90,False
61055,2015,4,2,0.0,1.0,91,False
61055,2015,4,3,0.0,1.0,92,False
61055,2015,4,4,33.0,1.0,93,False
61055,2015,4,5,28.0,1.0,94,False
61055,2015,4,6,0.0,1.0,95,False
61055,2015,4,7,9.0,1.0,96,False
61055,2015,4,8,0.0,1.0,97,False
61055,2015,4,9,0.0,1.0,98,False
61055,2015,4,10,0.0,1.0,99,False
61055,2015,4,11,0.0,1.0,100,False
61055,2015,4,12,0.0,1.0,101,False
61055,2015,4,13,0.0,1.0,102,False
61055,2015,4,15,0.0,1.0,104,False
61055,2015,4,16,0.0,1.0,105,False
61055,2015,4,17,0.0,1.0,106,False
61055,2015,4,18,0.0,1.0,107,False
61055,2015,4,19,3.8,1.0,108,False
61055,2015,4,20,8.2,1.0,109,False
61055,2015,4,21,99.2,1.0,110,False
61055,2015,4,22,65.2,1.0,111,False
61055,2015,4,23,16.8,1.0,112,False
61055,2015,4,24,0.2,1.0,113,False
61055,2015,4,25,0.0,1.0,114,False
61055,2015,4,26,11.4,1.0,115,False
61055,2015,4,27,0.0,1.0,116,False
61055,2015,4,28,0.0,1.0,117,False
61055,2015,4,29,7.2,1.0,118,False
61055,2015,4,30,3.8,1.0,119,False
61055,2015,5,1,14.6,1.0,120,False
61055,2015,5,2,9.0,1.0,121,False
61055,2015,5,3,28.0,1.0,122,False
61055,2015,5,4,0.0,1.0,123,False
61055,2015,5,5,0.2,1.0,124,False
61055,2015,5,6,0.0,1.0,125,False
61055,2015,5,7,0.0,1.0,126,False
61055,2015,5,8,0.0,1.0,127,False
61055,2015,5,9,0.0,1.0,128,False
61055,2015,5,10,0.0,1.0,129,False
61055,2015,5,11,0.0,1.0,130,False
61055,2015,5,12,0.0,1.0,131,False
61055,2015,5,13,0.0,1.0,132,False
61055,2015,5,14,0.0,1.0,133,False
61055,2015,5,15,0.0,1.0,134,False
61055,2015,5,16,8.0,1.0,135,False
61055,2015,5,17,26.2,1.0,136,False
61055,2015,5,18,6.8,1.0,137,False
61055,2015,5,19,0.0,1.0,138,False
61055,2015,5,20,0.2,1.0,139,False
61055,2015,5,21,2.2,1.0,140,False
61055,2015,5,22,3.4,1.0,141,False
61055,2015,5,23,22.6,1.0,142,False
61055,2015,5,24,0.2,1.0,143,False
61055,2015,5,25,0.0,1.0,144,False
61055,2015,5,26,0.0,1.0,145,False
61055,2015,5,27,0.0,1.0,146,False
61055,2015,5,28,0.0,1.0,147,False
61055,2015,5,29,0.0,1.0,148,False
61055,2015,5,30,0.4,1.0,149,False
61055,2015,5,31,1.8,1.0,150,False
61055,2015,6,1,2.0,1.0,151,False
61055,2015,6,2,0.0,1.0,152,False
61055,2015,6,3,0.0,1.0,153,False
61055,2015,6,4,0.0,1.0,154,False
61055,2015,6,5,0.2,1.0,155,False
61055,2015,6,6,0.0,1.0,156,False
61055,2015,6,7,0.0,1.0,157,False
61055,2015,6,8,0.0,1.0,158,False
61055,2015,6,9,0.0,1.0,159,False
61055,2015,6,10,0.2,1.0,160,False
61055,2015,6,11,4.2,1.0,161,False
61055,2015,6,12,2.8,1.0,162,False
61055,2015,6,13,0.0,1.0,163,False
61055,2015,6,14,0.0,1.0,164,False
61055,2015,6,15,0.0,1.0,165,False
61055,2015,6,16,0.6,1.0,166,False
61055,2015,6,17,8.4,1.0,167,False
61055,2015,6,18,2.4,1.0,168,False
61055,2015,6,19,1.8,1.0,169,False
61055,2015,6,20,18.2,1.0,170,False
61055,2015,6,21,1.4,1.0,171,False
61055,2015,6,22,0.2,1.0,172,False
61055,2015,6,23,0.0,1.0,173,False
61055,2015,6,24,0.0,1.0,174,False
61055,2015,6,25,0.0,1.0,175,False
61055,2015,6,26,49.6,1.0,176,False
61055,2015,6,27,0.0,1.0,177,False
61055,2015,6,28,0.0,1.0,178,False
61055,2015,6,29,0.0,1.0,179,False
61055,2015,6,30,0.0,1.0,180,False
61055,2015,7,1,0.4,1.0,181,False
61055,2015,7,2,0.0,1.0,182,False
61055,2015,7,3,0.0,1.0,183,False
61055,2015,7,4,0.0,1.0,184,False
61055,2015,7,5,0.0,1.0,185,False
61055,2015,7,6,0.0,1.0,186,False
61055,2015,7,7,0.0,1.0,187,False
61055,2015,7,8,10.0,1.0,188,False
61055,2015,7,9,0.6,1.0,189,False
61055,2015,7,10,0.0,1.0,190,False
61055,2015,7,11,0.0,1.0,191,False
61055,2015,7,12,3.6,1.0,192,False
61055,2015,7,13,0.0,1.0,193,False
61055,2015,7,14,2.0,1.0,194,False
61055,2015,7,15,0.0,1.0,195,False
61055,2015,7,16,0.0,1.0,196,False
61055,2015,7,17,0.0,1.0,197,False
61055,2015,7,18,0.2,1.0,198,False
61055,2015,7,19,4.2,1.0,199,False
61055,2015,7,20,8.6,1.0,200,False
61055,2015,7,21,0.0,1.0,201,False
61055,2015,7,22,0.0,1.0,202,False
61055,2015,7,23,1.0,1.0,203,False
61055,2015,7,24,0.4,1.0,204,False
61055,2015,7,25,4.4,1.0,205,False
61055,2015,7,26,0.0,1.0,206,False
61055,2015,7,27,0.0,1.0,207,False
61055,2015,7,28,0.0,1.0,208,False
61055,2015,7,29,0.0,1.0,209,False
61055,2015,7,30,0.0,1.0,210,False
61055,2015,7,31,0.0,1.0,211,False
61055,2015,8,1,0.0,1.0,212,False
61055,2015,8,2,0.0,1.0,213,False
61055,2015,8,3,0.0,1.0,214,False
61055,2015,8,4,0.0,1.0,215,False
61055,2015,8,5,0.0,1.0,216,False
61055,2015,8,6,0.0,1.0,217,False
61055,2015,8,7,0.0,1.0,218,False
61055,2015,8,9,0.0,1.0,220,False
61055,2015,8,10,0.0,1.0,221,False
61055,2015,8,11,0.0,1.0,222,False
61055,2015,8,12,0.0,1.0,223,False
61055,2015,8,13,0.0,1.0,224,False
61055,2015,8,14,0.0,1.0,225,False
61055,2015,8,15,0.0,1.0,226,False
61055,2015,8,16,0.4,1.0,227,False
61055,2015,8,17,0.0,1.0,228,False
61055,2015,8,18,0.0,1.0,229,False
61055,2015,8,19,0.0,1.0,230,False
61055,2015,8,20,0.0,1.0,231,False
61055,2015,8,21,0.0,1.0,232,False
61055,2015,8,22,0.0,1.0,233,False
61055,2015,8,23,7.2,1.0,234,False
61055,2015,8,24,11.4,1.0,235,False
61055,2015,8,25,4.0,1.0,236,False
61055,2015,8,26,0.0,1.0,237,False
61055,2015,8,27,0.0,1.0,238,False
61055,2015,8,28,0.0,1.0,239,False
61055,2015,8,29,0.0,1.0,240,False
61055,2015,8,30,0.0,1.0,241,False
61055,2015,8,31,0.0,1.0,242,False
61055,2015,9,1,0.0,1.0,243,False
61055,2015,9,2,0.0,1.0,244,False
61055,2015,9,3,2.8,1.0,245,False
61055,2015,9,4,5.4,1.0,246,False
61055,2015,9,5,4.6,1.0,247,False
61055,2015,9,6,6.2,1.0,248,False
61055,2015,9,7,0.0,1.0,249,False
61055,2015,9,8,0.0,1.0,250,False
61055,2015,9,9,0.0,1.0,251,False
61055,2015,9,10,1.4,1.0,252,False
61055,2015,9,11,0.0,1.0,253,False
61055,2015,9,12,0.0,1.0,254,False
61055,2015,9,13,0.0,1.0,255,False
61055,2015,9,14,0.0,1.0,256,False
61055,2015,9,15,0.0,1.0,257,False
61055,2015,9,16,0.0,1.0,258,False
61055,2015,9,17,0.0,1.0,259,False
61055,2015,9,18,5.4,1.0,260,False
61055,2015,9,19,2.4,1.0,261,False
61055,2015,9,20,28.6,1.0,262,False
61055,2015,9,21,2.8,1.0,263,False
61055,2015,9,22,1.2,1.0,264,False
61055,2015,9,23,6.2,1.0,265,False
61055,2015,9,24,13.0,1.0,266,False
61055,2015,9,25,8.2,1.0,267,False
61055,2015,9,26,5.4,1.0,268,False
61055,2015,9,27,9.0,1.0,269,False
61055,2015,9,28,0.4,1.0,270,False
61055,2015,9,29,0.0,1.0,271,False
61055,2015,9,30,0.0,1.0,272,False
61055,2015,10,1,0.0,1.0,273,False
61055,2015,10,2,0.0,1.0,274,False
61055,2015,10,3,0.0,1.0,275,False
61055,2015,10,4,0.0,1.0,276,False
61055,2015,10,5,0.0,1.0,277,False
61055,2015,10,6,0.0,1.0,278,False
61055,2015,10,7,0.0,1.0,279,False
61055,2015,10,8,0.0,1.0,280,False
61055,2015,10,9,0.0,1.0,281,False
61055,2015,10,10,0.0,1.0,282,False
61055,2015,10,11,0.0,1.0,283,False
61055,2015,10,12,10.4,1.0,284,False
61055,2015,10,13,1.0,1.0,285,False
61055,2015,10,14,0.4,1.0,286,False
61055,2015,10,15,0.0,1.0,287,False
61055,2015,10,16,0.0,1.0,288,False
61055,2015,10,17,0.0,1.0,289,False
