Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality_Y
66036,1904,5,8,0.0,,True
66036,1904,5,9,0.0,,True
66036,1904,5,10,0.0,,True
66036,1904,5,11,1.8,1.0,True
66036,1904,5,12,1.0,1.0,True
66036,1904,5,13,3.6,1.0,True
66036,1904,5,14,0.0,,True
66036,1904,5,15,0.0,,True
66036,1904,5,16,0.0,,True
66036,1904,5,17,0.0,,True
66036,1904,5,18,0.0,,True
66036,1904,5,19,0.0,,True
66036,1904,5,20,0.0,,True
66036,1904,5,21,0.0,,True
66036,1904,5,22,1.8,1.0,True
66036,1904,5,23,0.0,,True
66036,1904,5,24,0.0,,True
66036,1904,5,25,0.0,,True
66036,1904,5,26,6.4,1.0,True
66036,1904,5,27,6.4,1.0,True
66036,1904,5,28,52.1,1.0,True
66036,1904,5,29,11.7,1.0,True
66036,1904,5,30,2.5,1.0,True
66036,1904,5,31,0.0,,True
66036,1904,6,1,0.0,,True
66036,1904,6,2,0.0,,True
66036,1904,6,3,0.0,,True
66036,1904,6,4,0.0,,True
66036,1904,6,5,0.0,,True
66036,1904,6,6,0.0,,True
66036,1904,6,7,0.0,,True
66036,1904,6,8,0.0,,True
66036,1904,6,9,0.0,,True
66036,1904,6,10,0.0,,True
66036,1904,6,11,0.0,,True
66036,1904,6,12,0.0,,True
66036,1904,6,13,0.0,,True
66036,1904,6,14,0.0,,True
66036,1904,6,15,0.0,,True
66036,1904,6,16,0.0,,True
66036,1904,6,17,0.0,,True
66036,1904,6,18,0.0,,True
66036,1904,6,19,0.0,,True
66036,1904,6,20,0.0,,True
66036,1904,6,21,0.0,,True
66036,1904,6,22,0.5,1.0,True
66036,1904,6,23,0.0,,True
66036,1904,6,24,0.0,,True
66036,1904,6,25,0.0,,True
66036,1904,6,26,0.0,,True
66036,1904,6,27,0.0,,True
66036,1904,6,28,0.0,,True
66036,1904,6,29,0.0,,True
66036,1904,6,30,0.0,,True
66036,1904,7,1,0.0,,True
66036,1904,7,2,0.0,,True
66036,1904,7,3,0.0,,True
66036,1904,7,4,0.0,,True
66036,1904,7,5,7.6,1.0,True
66036,1904,7,6,0.0,,True
66036,1904,7,7,0.0,,True
66036,1904,7,8,6.4,1.0,True
66036,1904,7,9,88.9,1.0,True
66036,1904,7,10,127.0,1.0,True
66036,1904,7,11,22.9,1.0,True
66036,1904,7,12,20.3,1.0,True
66036,1904,7,13,0.0,,True
66036,1904,7,14,0.0,,True
66036,1904,7,15,0.0,,True
66036,1904,7,16,0.0,,True
66036,1904,7,17,0.0,,True
66036,1904,7,18,0.0,,True
66036,1904,7,19,0.0,,True
66036,1904,7,20,0.0,,True
66036,1904,7,21,5.1,1.0,True
66036,1904,7,22,6.4,1.0,True
66036,1904,7,23,7.1,1.0,True
66036,1904,7,24,3.8,1.0,True
66036,1904,7,25,0.0,,True
66036,1904,7,26,0.5,1.0,True
66036,1904,7,27,0.8,1.0,True
66036,1904,7,28,3.8,1.0,True
66036,1904,7,29,2.5,1.0,True
66036,1904,7,30,0.0,,True
66036,1904,7,31,0.0,,True
66036,1904,8,1,0.0,,True
66036,1904,8,2,0.0,,True
66036,1904,8,3,0.0,,True
66036,1904,8,4,1.3,1.0,True
66036,1904,8,5,0.0,,True
66036,1904,8,6,0.0,,True
66036,1904,8,7,0.0,,True
66036,1904,8,8,0.0,,True
66036,1904,8,9,0.0,,True
66036,1904,8,10,0.0,,True
66036,1904,8,11,0.0,,True
66036,1904,8,12,0.0,,True
66036,1904,8,13,0.0,,True
66036,1904,8,14,2.5,1.0,True
66036,1904,8,15,20.3,1.0,True
66036,1904,8,16,5.1,1.0,True
66036,1904,8,17,0.0,,True
66036,1904,8,18,0.0,,True
66036,1904,8,19,0.0,,True
66036,1904,8,20,0.0,,True
66036,1904,8,21,0.0,,True
66036,1904,8,22,0.0,,True
66036,1904,8,23,0.0,,True
66036,1904,8,24,0.0,,True
66036,1904,8,25,0.0,,True
66036,1904,8,26,0.0,,True
66036,1904,8,27,0.0,,True
66036,1904,8,28,2.5,1.0,True
66036,1904,8,29,0.0,,True
66036,1904,8,30,0.0,,True
66036,1904,8,31,5.6,1.0,True
66036,1904,9,1,0.0,,True
66036,1904,9,2,0.0,,True
66036,1904,9,3,0.0,,True
66036,1904,9,4,0.0,,True
66036,1904,9,5,0.0,,True
66036,1904,9,6,0.0,,True
66036,1904,9,7,0.0,,True
66036,1904,9,8,0.0,,True
66036,1904,9,9,0.0,,True
66036,1904,9,10,0.0,,True
66036,1904,9,11,0.0,,True
66036,1904,9,12,0.0,,True
66036,1904,9,13,0.0,,True
66036,1904,9,14,0.0,,True
66036,1904,9,15,0.0,,True
66036,1904,9,16,0.0,,True
66036,1904,9,17,0.0,,True
66036,1904,9,18,0.0,,True
66036,1904,9,19,0.0,,True
66036,1904,9,20,0.0,,True
66036,1904,9,21,0.0,,True
66036,1904,9,22,0.0,,True
66036,1904,9,23,0.0,,True
66036,1904,9,24,0.0,,True
66036,1904,9,25,0.0,,True
66036,1904,9,26,0.0,,True
66036,1904,9,27,10.2,1.0,True
66036,1904,9,28,14.0,1.0,True
66036,1904,9,29,2.5,1.0,True
66036,1904,9,30,0.0,,True
66036,1904,10,1,0.0,,True
66036,1904,10,2,0.0,,True
66036,1904,10,3,0.0,,True
66036,1904,10,4,0.0,,True
66036,1904,10,5,5.1,1.0,True
66036,1904,10,6,0.0,,True
66036,1904,10,7,0.0,,True
66036,1904,10,8,0.0,,True
66036,1904,10,9,0.0,,True
66036,1904,10,10,0.0,,True
66036,1904,10,11,7.6,1.0,True
66036,1904,10,12,12.7,1.0,True
66036,1904,10,13,10.2,1.0,True
66036,1904,10,14,3.0,1.0,True
66036,1904,10,15,0.0,,True
66036,1904,10,16,0.0,,True
66036,1904,10,17,0.0,,True
66036,1904,10,18,0.0,,True
66036,1904,10,19,0.0,,True
66036,1904,10,20,0.0,,True
66036,1904,10,21,0.0,,True
66036,1904,10,22,0.0,,True
66036,1904,10,23,0.0,,True
66036,1904,10,24,0.0,,True
66036,1904,10,25,0.0,,True
66036,1904,10,26,0.0,,True
66036,1904,10,27,0.0,,True
66036,1904,10,28,0.0,,True
66036,1904,10,29,0.0,,True
66036,1904,10,30,0.0,,True
66036,1904,10,31,0.0,,True
66036,1904,11,1,0.0,,True
66036,1904,11,2,0.0,,True
66036,1904,11,3,0.0,,True
66036,1904,11,4,0.0,,True
66036,1904,11,5,0.0,,True
66036,1904,11,6,0.0,,True
66036,1904,11,7,0.0,,True
66036,1904,11,8,0.0,,True
66036,1904,11,9,0.0,,True
66036,1904,11,10,0.0,,True
66036,1904,11,11,0.0,,True
66036,1904,11,12,0.0,,True
66036,1904,11,13,0.0,,True
66036,1904,11,14,0.0,,True
66036,1904,11,15,0.0,,True
66036,1904,11,16,0.0,,True
66036,1904,11,17,0.0,,True
66036,1904,11,18,0.0,,True
66036,1904,11,19,0.0,,True
