Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality_Y
66011,1951,12,2,0.5,1.0,True
66011,1951,12,3,0.0,,True
66011,1951,12,4,0.0,,True
66011,1951,12,5,0.0,,True
66011,1951,12,6,0.0,,True
66011,1951,12,7,0.0,,True
66011,1951,12,8,0.0,,True
66011,1951,12,9,1.3,1.0,True
66011,1951,12,10,2.0,1.0,True
66011,1951,12,11,0.0,,True
66011,1951,12,12,0.0,,True
66011,1951,12,13,0.0,,True
66011,1951,12,14,0.0,,True
66011,1951,12,15,0.0,,True
66011,1951,12,16,0.0,,True
66011,1951,12,17,0.0,,True
66011,1951,12,18,0.0,,True
66011,1951,12,19,0.0,,True
66011,1951,12,20,0.0,,True
66011,1951,12,21,7.1,1.0,True
66011,1951,12,22,0.0,,True
66011,1951,12,23,0.0,,True
66011,1951,12,24,0.0,,True
66011,1951,12,25,0.0,,True
66011,1951,12,26,0.0,,True
66011,1951,12,27,0.0,,True
66011,1951,12,28,0.0,,True
66011,1951,12,29,0.0,,True
66011,1951,12,30,0.0,,True
66011,1951,12,31,0.0,,True
66011,1952,1,1,0.0,,True
66011,1952,1,2,0.0,,True
66011,1952,1,3,0.0,,True
66011,1952,1,4,0.0,,True
66011,1952,1,5,0.0,,True
66011,1952,1,6,0.3,1.0,True
66011,1952,1,7,35.3,1.0,True
66011,1952,1,8,8.1,1.0,True
66011,1952,1,9,0.0,,True
66011,1952,1,10,0.0,,True
66011,1952,1,11,0.0,,True
66011,1952,1,12,0.0,,True
66011,1952,1,13,0.0,,True
66011,1952,1,14,0.0,,True
66011,1952,1,15,0.0,,True
66011,1952,1,16,1.3,1.0,True
66011,1952,1,17,0.0,,True
66011,1952,1,18,0.0,,True
66011,1952,1,19,0.0,,True
66011,1952,1,20,0.0,,True
66011,1952,1,21,0.0,,True
66011,1952,1,22,0.0,,True
66011,1952,1,23,0.0,,True
66011,1952,1,24,0.0,,True
66011,1952,1,25,0.0,,True
66011,1952,1,26,0.0,,True
66011,1952,1,27,0.0,,True
66011,1952,1,28,1.3,1.0,True
66011,1952,1,29,0.0,,True
66011,1952,1,30,0.0,,True
66011,1952,1,31,0.0,,True
66011,1952,2,1,0.0,,True
66011,1952,2,2,0.0,,True
66011,1952,2,3,0.0,,True
66011,1952,2,4,0.0,,True
66011,1952,2,5,0.0,,True
66011,1952,2,6,0.0,,True
66011,1952,2,7,0.0,,True
66011,1952,2,8,0.0,,True
66011,1952,2,9,0.0,,True
66011,1952,2,10,0.0,,True
66011,1952,2,11,0.0,,True
66011,1952,2,12,0.0,,True
66011,1952,2,13,3.6,1.0,True
66011,1952,2,14,0.0,,True
66011,1952,2,15,4.6,1.0,True
66011,1952,2,16,0.0,,True
66011,1952,2,17,0.0,,True
66011,1952,2,18,0.5,1.0,True
66011,1952,2,19,0.0,,True
66011,1952,2,20,0.0,,True
66011,1952,2,21,0.0,,True
66011,1952,2,22,0.0,,True
66011,1952,2,23,0.0,,True
66011,1952,2,24,0.0,,True
66011,1952,2,25,12.7,1.0,True
66011,1952,2,26,35.3,1.0,True
66011,1952,2,27,0.0,,True
66011,1952,2,28,4.6,1.0,True
66011,1952,2,29,0.0,,True
