Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m),index
66195,2015,6,22,10.6,172
66195,2015,6,23,10.3,173
66195,2015,6,24,9.5,174
66195,2015,6,25,7.0,175
66195,2015,6,26,10.0,176
66195,2015,6,27,10.6,177
66195,2015,6,28,10.6,178
66195,2015,6,29,9.9,179
66195,2015,6,30,8.2,180
66195,2015,7,1,9.9,181
66195,2015,7,2,10.4,182
66195,2015,7,3,10.3,183
66195,2015,7,4,10.8,184
66195,2015,7,5,10.8,185
66195,2015,7,6,10.9,186
66195,2015,7,7,7.2,187
66195,2015,7,8,8.2,188
66195,2015,7,9,10.8,189
66195,2015,7,10,5.7,190
66195,2015,7,11,10.8,191
66195,2015,7,12,10.3,192
66195,2015,7,13,9.2,193
66195,2015,7,14,11.2,194
66195,2015,7,15,11.3,195
66195,2015,7,16,6.5,196
66195,2015,7,17,6.7,197
66195,2015,7,18,9.4,198
66195,2015,7,19,9.8,199
66195,2015,7,20,9.4,200
66195,2015,7,21,11.5,201
66195,2015,7,22,6.9,202
66195,2015,7,23,8.3,203
66195,2015,7,24,8.7,204
66195,2015,7,25,12.2,205
66195,2015,7,26,11.8,206
66195,2015,7,27,12.6,207
66195,2015,7,28,12.4,208
66195,2015,7,29,12.4,209
66195,2015,7,30,12.2,210
66195,2015,7,31,12.6,211
66195,2015,8,1,10.6,212
66195,2015,8,2,10.8,213
66195,2015,8,3,13.2,214
66195,2015,8,4,10.9,215
66195,2015,8,5,7.5,216
66195,2015,8,6,12.6,217
66195,2015,8,7,13.1,218
66195,2015,8,8,12.6,219
66195,2015,8,9,13.0,220
66195,2015,8,10,13.8,221
66195,2015,8,11,13.8,222
66195,2015,8,12,10.6,223
66195,2015,8,13,14.4,224
66195,2015,8,14,14.4,225
66195,2015,8,15,10.3,226
66195,2015,8,16,13.7,227
66195,2015,8,17,14.7,228
66195,2015,8,18,13.8,229
66195,2015,8,19,11.4,230
66195,2015,8,20,15.2,231
66195,2015,8,21,15.3,232
66195,2015,8,22,14.6,233
66195,2015,8,23,4.7,234
66195,2015,8,24,5.2,235
66195,2015,8,25,10.2,236
66195,2015,8,26,9.7,237
66195,2015,8,27,9.9,238
66195,2015,8,28,13.1,239
66195,2015,8,29,16.5,240
66195,2015,8,30,16.1,241
66195,2015,8,31,16.5,242
66195,2015,9,1,17.6,243
66195,2015,9,2,15.1,244
66195,2015,9,3,14.0,245
66195,2015,9,4,12.0,246
66195,2015,9,5,16.6,247
66195,2015,9,6,9.6,248
66195,2015,9,7,15.7,249
66195,2015,9,8,18.1,250
66195,2015,9,9,18.6,251
66195,2015,9,10,14.0,252
66195,2015,9,11,19.1,253
66195,2015,9,12,19.3,254
66195,2015,9,13,18.6,255
66195,2015,9,14,19.4,256
66195,2015,9,15,18.7,257
66195,2015,9,16,20.0,258
66195,2015,9,17,14.8,259
66195,2015,9,18,19.0,260
66195,2015,9,19,14.1,261
66195,2015,9,20,12.8,262
66195,2015,9,21,19.2,263
66195,2015,9,22,18.7,264
66195,2015,9,23,18.7,265
66195,2015,9,24,18.2,266
66195,2015,9,25,11.4,267
66195,2015,9,26,14.0,268
66195,2015,9,27,15.9,269
66195,2015,9,28,22.6,270
66195,2015,9,29,21.9,271
66195,2015,9,30,14.7,272
66195,2015,10,1,21.2,273
66195,2015,10,2,22.0,274
66195,2015,10,3,23.8,275
66195,2015,10,4,17.7,276
66195,2015,10,5,23.7,277
66195,2015,10,6,24.2,278
66195,2015,10,7,7.9,279
66195,2015,10,8,8.1,280
66195,2015,10,9,23.2,281
66195,2015,10,10,20.8,282
66195,2015,10,11,14.5,283
66195,2015,10,12,22.3,284
66195,2015,10,13,6.0,285
66195,2015,10,14,19.1,286
66195,2015,10,15,25.5,287
66195,2015,10,16,25.6,288
66195,2015,10,17,21.5,289
66195,2015,10,18,13.2,290
66195,2015,10,19,22.3,291
66195,2015,10,20,20.7,292
66195,2015,10,21,9.4,293
66195,2015,10,22,5.7,294
66195,2015,10,23,15.2,295
66195,2015,10,24,25.3,296
66195,2015,10,25,21.6,297
66195,2015,10,26,12.4,298
66195,2015,10,27,9.8,299
66195,2015,10,28,18.8,300
66195,2015,10,29,25.4,301
66195,2015,10,30,24.4,302
66195,2015,10,31,16.2,303
66195,2015,11,1,23.8,304
66195,2015,11,2,25.9,305
66195,2015,11,3,3.7,306
66195,2015,11,4,4.2,307
66195,2015,11,5,7.3,308
66195,2015,11,6,17.1,309
66195,2015,11,7,17.1,310
66195,2015,11,8,14.7,311
66195,2015,11,9,28.9,312
66195,2015,11,10,29.2,313
66195,2015,11,11,9.9,314
66195,2015,11,12,16.2,315
