Year,Month,Day,averagemwh,rainfall_mm,solar_exposure,min_temp,max_temp
2022,1,1,20.060195928302072,0.0,27.1,16.8,31.0
2022,1,1,18.982654717072915,0.0,27.1,16.8,31.0
2022,1,1,22.7902657205,0.0,27.1,16.8,31.0
2022,1,1,23.052514576010395,0.0,27.1,16.8,31.0
2022,1,1,23.427091317250003,0.0,27.1,16.8,31.0
2022,1,1,23.827396225843756,0.0,27.1,16.8,31.0
2022,1,1,22.646689123145823,0.0,27.1,16.8,31.0
2022,1,1,19.705110697708324,0.0,27.1,16.8,31.0
2022,1,1,18.66398900673958,0.0,27.1,16.8,31.0
2022,1,1,22.46903000559374,0.0,27.1,16.8,31.0
2022,1,1,22.67558339076042,0.0,27.1,16.8,31.0
2022,1,1,22.7631819705,0.0,27.1,16.8,31.0
2022,1,1,22.60033435476041,0.0,27.1,16.8,31.0
2022,1,1,21.67741847207292,0.0,27.1,16.8,31.0
2022,1,1,19.442479008666663,0.0,27.1,16.8,31.0
2022,1,1,19.372323303197927,0.0,27.1,16.8,31.0
2022,1,1,23.708756411541668,0.0,27.1,16.8,31.0
2022,1,1,23.78688105248959,0.0,27.1,16.8,31.0
2022,1,1,23.66143271657292,0.0,27.1,16.8,31.0
2022,1,1,23.717410120895835,0.0,27.1,16.8,31.0
2022,1,1,23.17370939744792,0.0,27.1,16.8,31.0
2022,1,1,19.87848436638542,0.0,27.1,16.8,31.0
2022,1,1,19.36097200189583,0.0,27.1,16.8,31.0
2022,1,1,23.353951704322917,0.0,27.1,16.8,31.0
2022,1,1,23.361851966541664,0.0,27.1,16.8,31.0
2022,1,1,23.06993072670833,0.0,27.1,16.8,31.0
2022,1,1,23.58957910230208,0.0,27.1,16.8,31.0
2022,1,1,23.00503916352083,0.0,27.1,16.8,31.0
2022,1,1,21.54529338884375,0.0,27.1,16.8,31.0
2022,1,1,20.45541696489583,0.0,27.1,16.8,31.0
2022,1,1,24.40615173938542,0.0,27.1,16.8,31.0
2022,1,1,24.639998969010417,0.0,27.1,16.8,31.0
2022,1,1,24.492599339770837,0.0,27.1,16.8,31.0
2022,1,1,25.456037938468757,0.0,27.1,16.8,31.0
2022,1,1,23.77338610315625,0.0,27.1,16.8,31.0
2022,1,1,20.730607526718742,0.0,27.1,16.8,31.0
2022,1,1,20.07688140667709,0.0,27.1,16.8,31.0
2022,1,1,24.71970434944792,0.0,27.1,16.8,31.0
2022,1,1,24.79978096426042,0.0,27.1,16.8,31.0
2022,1,1,25.04491773910417,0.0,27.1,16.8,31.0
2022,1,1,27.369709026552087,0.0,27.1,16.8,31.0
2022,1,1,25.61910301942709,0.0,27.1,16.8,31.0
2022,1,1,21.91785485255208,0.0,27.1,16.8,31.0
2022,1,1,20.663715945104165,0.0,27.1,16.8,31.0
2022,1,1,21.599033364739583,0.0,27.1,16.8,31.0
2022,1,1,24.933446317875,0.0,27.1,16.8,31.0
2022,1,1,24.879085020020824,0.0,27.1,16.8,31.0
2022,1,1,24.989134814822908,0.0,27.1,16.8,31.0
2022,1,1,24.111983387135425,0.0,27.1,16.8,31.0
2022,1,1,22.28272149379166,0.0,27.1,16.8,31.0
2022,1,1,21.04287382892708,0.0,27.1,16.8,31.0
2022,1,1,25.341537059697924,0.0,27.1,16.8,31.0
2022,1,1,25.58221605990626,0.0,27.1,16.8,31.0
2022,1,1,25.154641779343752,0.0,27.1,16.8,31.0
2022,1,1,24.419760681656257,0.0,27.1,16.8,31.0
2022,1,1,23.01342784876042,0.0,27.1,16.8,31.0
2022,1,1,20.451404204302086,0.0,27.1,16.8,31.0
2022,1,1,20.228650223020832,0.0,27.1,16.8,31.0
2022,1,1,25.257445478739594,0.0,27.1,16.8,31.0
2022,1,1,25.00366013597916,0.0,27.1,16.8,31.0
2022,1,1,24.377105619864576,0.0,27.1,16.8,31.0
2022,1,1,24.448265254135418,0.0,27.1,16.8,31.0
2022,1,1,22.786064249062505,0.0,27.1,16.8,31.0
2022,1,1,20.366309344333335,0.0,27.1,16.8,31.0
2022,1,1,20.478007773885427,0.0,27.1,16.8,31.0
2022,1,1,25.107170217645827,0.0,27.1,16.8,31.0
2022,1,1,25.680171466750007,0.0,27.1,16.8,31.0
2022,1,1,25.929312558947927,0.0,27.1,16.8,31.0
2022,1,1,25.82051647566666,0.0,27.1,16.8,31.0
2022,1,1,25.73473623669792,0.0,27.1,16.8,31.0
2022,1,1,22.066960553270835,0.0,27.1,16.8,31.0
2022,1,1,20.80711329019792,0.0,27.1,16.8,31.0
2022,1,1,24.76560007765625,0.0,27.1,16.8,31.0
2022,1,1,24.18407028159375,0.0,27.1,16.8,31.0
2022,1,1,25.03517238214583,0.0,27.1,16.8,31.0
2022,1,1,22.958681691999995,0.0,27.1,16.8,31.0
2022,1,1,22.381985993104163,0.0,27.1,16.8,31.0
2022,1,1,20.00005076213542,0.0,27.1,16.8,31.0
2022,1,1,19.266934187770836,0.0,27.1,16.8,31.0
2022,1,1,23.85062173430208,0.0,27.1,16.8,31.0
2022,1,1,24.257558164906246,0.0,27.1,16.8,31.0
2022,1,1,24.103456451354173,0.0,27.1,16.8,31.0
2022,1,1,24.37647008398957,0.0,27.1,16.8,31.0
2022,1,1,23.29998564159375,0.0,27.1,16.8,31.0
2022,1,1,20.094837563406248,0.0,27.1,16.8,31.0
2022,1,1,20.047063051208337,0.0,27.1,16.8,31.0
2022,1,1,22.34486719977084,0.0,27.1,16.8,31.0
2022,1,1,21.515915365812504,0.0,27.1,16.8,31.0
2022,1,1,21.194475812052087,0.0,27.1,16.8,31.0
