Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,index,Quality_Y
66124,2015,5,7,7.7,1.0,126,True
66124,2015,5,8,8.2,1.0,127,True
66124,2015,5,9,7.3,1.0,128,True
66124,2015,5,10,9.6,1.0,129,True
66124,2015,5,11,13.7,1.0,130,True
66124,2015,5,12,10.6,1.0,131,True
66124,2015,5,13,10.6,1.0,132,True
66124,2015,5,14,4.7,1.0,133,True
66124,2015,5,15,7.0,1.0,134,True
66124,2015,5,16,11.4,1.0,135,True
66124,2015,5,17,8.4,1.0,136,True
66124,2015,5,18,9.6,1.0,137,True
66124,2015,5,19,11.6,1.0,138,True
66124,2015,5,20,13.8,1.0,139,True
66124,2015,5,21,11.2,1.0,140,True
66124,2015,5,22,12.0,1.0,141,True
66124,2015,5,23,7.5,1.0,142,True
66124,2015,5,24,6.0,1.0,143,True
66124,2015,5,25,7.2,1.0,144,True
66124,2015,5,26,5.2,1.0,145,True
66124,2015,5,27,8.0,1.0,146,True
66124,2015,5,28,8.6,1.0,147,True
66124,2015,5,29,13.7,1.0,148,True
66124,2015,5,30,8.0,1.0,149,True
66124,2015,5,31,8.5,1.0,150,True
66124,2015,6,1,8.8,1.0,151,True
66124,2015,6,2,2.5,1.0,152,True
66124,2015,6,3,4.0,1.0,153,True
66124,2015,6,4,4.3,1.0,154,True
66124,2015,6,5,5.4,1.0,155,True
66124,2015,6,6,8.6,1.0,156,True
66124,2015,6,7,6.0,1.0,157,True
66124,2015,6,8,9.6,1.0,158,True
66124,2015,6,9,10.7,1.0,159,True
66124,2015,6,10,7.7,1.0,160,True
66124,2015,6,11,9.8,1.0,161,True
66124,2015,6,12,11.6,1.0,162,True
66124,2015,6,13,10.6,1.0,163,True
66124,2015,6,14,7.2,1.0,164,True
66124,2015,6,15,8.4,1.0,165,True
66124,2015,6,16,11.7,1.0,166,True
66124,2015,6,17,13.3,1.0,167,True
66124,2015,6,18,7.7,1.0,168,True
66124,2015,6,19,9.2,1.0,169,True
66124,2015,6,20,7.0,1.0,170,True
66124,2015,6,21,6.5,1.0,171,True
66124,2015,6,22,4.4,1.0,172,True
66124,2015,6,23,4.4,1.0,173,True
66124,2015,6,24,8.7,1.0,174,True
66124,2015,6,25,10.3,1.0,175,True
66124,2015,6,26,7.8,1.0,176,True
66124,2015,6,27,4.0,1.0,177,True
66124,2015,6,28,5.3,1.0,178,True
66124,2015,6,29,7.0,1.0,179,True
66124,2015,6,30,5.7,1.0,180,True
66124,2015,7,1,8.2,1.0,181,True
66124,2015,7,2,3.0,1.0,182,True
66124,2015,7,3,3.6,1.0,183,True
66124,2015,7,4,1.8,1.0,184,True
66124,2015,7,5,5.0,1.0,185,True
66124,2015,7,6,3.2,1.0,186,True
