Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality_Y
61425,2013,7,27,5.4,1.0,True
61425,2013,7,28,4.5,1.0,True
61425,2013,7,29,6.2,1.0,True
61425,2013,7,30,8.3,1.0,True
61425,2013,7,31,12.4,1.0,True
61425,2013,8,1,7.5,1.0,True
61425,2013,8,2,5.7,1.0,True
61425,2013,8,3,8.0,1.0,True
61425,2013,8,4,8.6,1.0,True
61425,2013,8,5,5.4,1.0,True
61425,2013,8,6,6.8,1.0,True
61425,2013,8,7,11.0,1.0,True
61425,2013,8,8,10.0,1.0,True
61425,2013,8,9,7.5,1.0,True
61425,2013,8,10,10.6,1.0,True
61425,2013,8,11,4.2,1.0,True
61425,2013,8,12,7.5,1.0,True
61425,2013,8,13,5.5,1.0,True
61425,2013,8,14,8.2,1.0,True
61425,2013,8,15,10.8,1.0,True
61425,2013,8,16,2.7,1.0,True
61425,2013,8,17,9.4,1.0,True
61425,2013,8,18,5.4,1.0,True
61425,2013,8,19,7.0,1.0,True
61425,2013,8,20,4.1,1.0,True
61425,2013,8,21,4.5,1.0,True
61425,2013,8,22,3.5,1.0,True
61425,2013,8,23,11.1,1.0,True
61425,2013,8,24,9.6,1.0,True
61425,2013,8,25,6.0,1.0,True
61425,2013,8,26,9.3,1.0,True
61425,2013,8,27,8.8,1.0,True
61425,2013,8,28,8.6,1.0,True
61425,2013,8,29,8.1,1.0,True
61425,2013,8,30,14.7,1.0,True
61425,2013,8,31,10.4,1.0,True
61425,2013,9,1,8.4,1.0,True
61425,2013,9,2,8.2,1.0,True
61425,2013,9,3,8.2,1.0,True
61425,2013,9,4,8.4,1.0,True
61425,2013,9,5,8.6,1.0,True
61425,2013,9,6,11.1,1.0,True
61425,2013,9,7,12.4,1.0,True
61425,2013,9,8,17.2,1.0,True
61425,2013,9,9,13.6,1.0,True
61425,2013,9,10,16.7,1.0,True
61425,2013,9,11,12.1,1.0,True
61425,2013,9,12,8.0,1.0,True
61425,2013,9,13,10.0,1.0,True
61425,2013,9,14,13.0,1.0,True
61425,2013,9,15,12.7,1.0,True
61425,2013,9,16,10.7,1.0,True
61425,2013,9,17,15.2,1.0,True
61425,2013,9,18,12.8,1.0,True
61425,2013,9,19,8.5,1.0,True
61425,2013,9,20,9.8,1.0,True
61425,2013,9,21,8.2,1.0,True
61425,2013,9,22,7.5,1.0,True
61425,2013,9,23,9.4,1.0,True
61425,2013,9,24,12.0,1.0,True
61425,2013,9,25,10.8,1.0,True
61425,2013,9,26,10.9,1.0,True
61425,2013,9,27,7.2,1.0,True
61425,2013,9,28,8.1,1.0,True
61425,2013,9,29,11.6,1.0,True
61425,2013,9,30,8.6,1.0,True
61425,2013,10,1,12.6,1.0,True
61425,2013,10,2,7.4,1.0,True
61425,2013,10,3,11.0,1.0,True
61425,2013,10,4,8.9,1.0,True
61425,2013,10,5,7.4,1.0,True
61425,2013,10,6,9.4,1.0,True
61425,2013,10,7,13.7,1.0,True
61425,2013,10,8,11.6,1.0,True
61425,2013,10,9,8.4,1.0,True
61425,2013,10,10,14.4,1.0,True
61425,2013,10,11,17.3,1.0,True
61425,2013,10,12,10.4,1.0,True
61425,2013,10,13,14.9,1.0,True
61425,2013,10,14,13.2,1.0,True
61425,2013,10,15,6.7,1.0,True
61425,2013,10,16,7.0,1.0,True
61425,2013,10,17,11.7,1.0,True
61425,2013,10,18,13.6,1.0,True
61425,2013,10,19,8.2,1.0,True
61425,2013,10,20,12.2,1.0,True
61425,2013,10,21,13.7,1.0,True
61425,2013,10,22,19.6,1.0,True
61425,2013,10,23,19.8,1.0,True
61425,2013,10,24,15.4,1.0,True
61425,2013,10,25,8.0,1.0,True
61425,2013,10,26,10.1,1.0,True
61425,2013,10,27,11.2,1.0,True
61425,2013,10,28,14.2,1.0,True
61425,2013,10,29,13.5,1.0,True
61425,2013,10,30,13.8,1.0,True
61425,2013,10,31,12.3,1.0,True
61425,2013,11,1,15.8,1.0,True
61425,2013,11,2,12.6,1.0,True
61425,2013,11,3,14.2,1.0,True
61425,2013,11,4,15.4,1.0,True
61425,2013,11,5,14.4,1.0,True
61425,2013,11,6,8.1,1.0,True
61425,2013,11,7,11.0,1.0,True
61425,2013,11,8,14.0,1.0,True
61425,2013,11,9,20.3,1.0,True
61425,2013,11,10,15.4,1.0,True
61425,2013,11,11,15.3,1.0,True
61425,2013,11,12,16.3,1.0,True
61425,2013,11,13,13.9,1.0,True
61425,2013,11,14,12.6,1.0,True
61425,2013,11,15,13.7,1.0,True
61425,2013,11,16,13.4,1.0,True
61425,2013,11,17,14.6,1.0,True
61425,2013,11,18,14.8,1.0,True
61425,2013,11,19,15.9,1.0,True
61425,2013,11,20,14.2,1.0,True
61425,2013,11,21,15.5,1.0,True
61425,2013,11,22,19.1,1.0,True
61425,2013,11,23,16.0,1.0,True
61425,2013,11,24,15.7,1.0,True
61425,2013,11,25,15.0,1.0,True
61425,2013,11,26,14.7,1.0,True
61425,2013,11,27,12.4,1.0,True
61425,2013,11,28,12.8,1.0,True
61425,2013,11,29,19.6,1.0,True
61425,2013,11,30,14.6,1.0,True
61425,2013,12,1,12.3,1.0,True
61425,2013,12,2,12.4,1.0,True
61425,2013,12,3,11.8,1.0,True
61425,2013,12,4,13.8,1.0,True
61425,2013,12,5,18.9,1.0,True
61425,2013,12,6,11.6,1.0,True
61425,2013,12,7,10.2,1.0,True
61425,2013,12,8,13.0,1.0,True
61425,2013,12,9,15.4,1.0,True
61425,2013,12,10,22.9,1.0,True
61425,2013,12,11,18.0,1.0,True
61425,2013,12,12,17.1,1.0,True
61425,2013,12,13,15.8,1.0,True
61425,2013,12,14,19.4,1.0,True
61425,2013,12,15,16.8,1.0,True
61425,2013,12,16,17.2,1.0,True
61425,2013,12,17,15.2,1.0,True
61425,2013,12,18,17.2,1.0,True
61425,2013,12,19,14.9,1.0,True
61425,2013,12,20,17.2,1.0,True
61425,2013,12,21,21.5,1.0,True
61425,2013,12,22,21.6,1.0,True
61425,2013,12,23,21.5,1.0,True
61425,2013,12,24,18.1,1.0,True
61425,2013,12,25,18.1,1.0,True
61425,2013,12,26,19.5,1.0,True
61425,2013,12,27,17.1,1.0,True
61425,2013,12,28,16.7,1.0,True
61425,2013,12,29,17.2,1.0,True
61425,2013,12,30,17.6,1.0,True
61425,2013,12,31,14.4,1.0,True
61425,2014,1,1,18.3,1.0,True
61425,2014,1,2,21.3,1.0,True
61425,2014,1,3,18.9,1.0,True
61425,2014,1,4,21.3,1.0,True
61425,2014,1,5,18.1,1.0,True
61425,2014,1,6,17.6,1.0,True
61425,2014,1,7,19.1,1.0,True
61425,2014,1,8,15.3,1.0,True
61425,2014,1,9,15.3,1.0,True
61425,2014,1,10,17.9,1.0,True
61425,2014,1,11,16.5,1.0,True
61425,2014,1,12,17.3,1.0,True
61425,2014,1,13,17.9,1.0,True
61425,2014,1,14,15.0,1.0,True
61425,2014,1,15,17.2,1.0,True
61425,2014,1,16,17.9,1.0,True
61425,2014,1,17,17.7,1.0,True
61425,2014,1,18,16.2,1.0,True
61425,2014,1,19,18.3,1.0,True
61425,2014,1,20,20.8,1.0,True
61425,2014,1,21,20.1,1.0,True
61425,2014,1,22,20.9,1.0,True
61425,2014,1,23,19.2,1.0,True
61425,2014,1,24,18.2,1.0,True
61425,2014,1,25,19.0,1.0,True
61425,2014,1,26,17.5,1.0,True
61425,2014,1,27,12.5,1.0,True
61425,2014,1,28,15.0,1.0,True
61425,2014,1,29,15.8,1.0,True
61425,2014,1,30,15.8,1.0,True
61425,2014,1,31,15.3,1.0,True
61425,2014,2,1,19.2,1.0,True
61425,2014,2,2,19.1,1.0,True
61425,2014,2,3,20.0,1.0,True
61425,2014,2,4,17.6,1.0,True
61425,2014,2,5,17.9,1.0,True
61425,2014,2,6,16.1,1.0,True
61425,2014,2,7,12.2,1.0,True
61425,2014,2,8,14.7,1.0,True
61425,2014,2,9,16.2,1.0,True
61425,2014,2,10,17.7,1.0,True
61425,2014,2,11,19.0,1.0,True
61425,2014,2,12,20.5,1.0,True
61425,2014,2,13,18.6,1.0,True
61425,2014,2,14,19.8,1.0,True
61425,2014,2,15,20.6,1.0,True
61425,2014,2,16,21.1,1.0,True
61425,2014,2,17,19.6,1.0,True
61425,2014,2,18,17.7,1.0,True
61425,2014,2,19,19.2,1.0,True
61425,2014,2,20,18.5,1.0,True
61425,2014,2,21,17.7,1.0,True
61425,2014,2,22,15.3,1.0,True
61425,2014,2,23,18.9,1.0,True
61425,2014,2,24,17.6,1.0,True
61425,2014,2,25,17.3,1.0,True
61425,2014,2,26,17.2,1.0,True
61425,2014,2,27,19.4,1.0,True
61425,2014,2,28,18.9,1.0,True
61425,2014,3,1,18.2,1.0,True
61425,2014,3,2,17.5,1.0,True
61425,2014,3,3,18.6,1.0,True
61425,2014,3,4,17.7,1.0,True
61425,2014,3,5,15.3,1.0,True
61425,2014,3,6,18.6,1.0,True
61425,2014,3,7,17.6,1.0,True
61425,2014,3,8,18.7,1.0,True
61425,2014,3,9,16.6,1.0,True
61425,2014,3,10,17.5,1.0,True
61425,2014,3,11,17.0,1.0,True
61425,2014,3,12,15.5,1.0,True
61425,2014,3,13,19.1,1.0,True
61425,2014,3,14,16.3,1.0,True
61425,2014,3,15,17.3,1.0,True
61425,2014,3,16,19.9,1.0,True
61425,2014,3,17,11.3,1.0,True
61425,2014,3,18,12.1,1.0,True
61425,2014,3,19,14.7,1.0,True
61425,2014,3,20,17.3,1.0,True
61425,2014,3,21,19.0,1.0,True
61425,2014,3,22,15.7,1.0,True
61425,2014,3,23,19.6,1.0,True
61425,2014,3,24,18.6,1.0,True
61425,2014,3,25,15.7,1.0,True
61425,2014,3,26,18.4,1.0,True
61425,2014,3,27,19.8,1.0,True
61425,2014,3,28,17.0,1.0,True
61425,2014,3,29,18.7,1.0,True
61425,2014,3,30,17.6,1.0,True
61425,2014,3,31,16.8,1.0,True
61425,2014,4,1,14.5,1.0,True
61425,2014,4,2,15.8,1.0,True
61425,2014,4,3,16.5,1.0,True
61425,2014,4,4,20.1,1.0,True
61425,2014,4,5,19.0,1.0,True
61425,2014,4,6,18.8,1.0,True
61425,2014,4,7,15.0,1.0,True
61425,2014,4,8,15.9,1.0,True
61425,2014,4,9,13.8,1.0,True
61425,2014,4,10,14.8,1.0,True
61425,2014,4,11,18.4,1.0,True
61425,2014,4,12,18.3,1.0,True
61425,2014,4,13,17.3,1.0,True
61425,2014,4,14,14.1,1.0,True
61425,2014,4,15,14.1,1.0,True
61425,2014,4,16,15.9,1.0,True
61425,2014,4,17,13.8,1.0,True
61425,2014,4,18,12.4,1.0,True
61425,2014,4,19,11.5,1.0,True
61425,2014,4,20,10.9,1.0,True
61425,2014,4,21,10.4,1.0,True
61425,2014,4,22,8.7,1.0,True
61425,2014,4,23,8.4,1.0,True
61425,2014,4,24,10.1,1.0,True
61425,2014,4,25,15.2,1.0,True
61425,2014,4,26,11.9,1.0,True
61425,2014,4,27,13.9,1.0,True
61425,2014,4,28,14.3,1.0,True
61425,2014,4,29,11.1,1.0,True
61425,2014,4,30,16.9,1.0,True
61425,2014,5,1,11.7,1.0,True
61425,2014,5,2,11.3,1.0,True
61425,2014,5,3,12.0,1.0,True
61425,2014,5,4,10.2,1.0,True
61425,2014,5,5,9.7,1.0,True
61425,2014,5,6,6.5,1.0,True
61425,2014,5,7,10.9,1.0,True
61425,2014,5,8,12.0,1.0,True
61425,2014,5,9,11.8,1.0,True
61425,2014,5,10,8.7,1.0,True
61425,2014,5,11,14.4,1.0,True
61425,2014,5,12,11.1,1.0,True
61425,2014,5,13,13.8,1.0,True
61425,2014,5,14,10.1,1.0,True
61425,2014,5,15,7.7,1.0,True
61425,2014,5,16,8.1,1.0,True
61425,2014,5,17,8.5,1.0,True
61425,2014,5,18,9.9,1.0,True
61425,2014,5,19,10.7,1.0,True
61425,2014,5,20,11.4,1.0,True
61425,2014,5,21,12.4,1.0,True
61425,2014,5,22,9.8,1.0,True
61425,2014,5,23,10.4,1.0,True
61425,2014,5,24,13.3,1.0,True
61425,2014,5,25,14.0,1.0,True
61425,2014,5,26,11.3,1.0,True
61425,2014,5,27,14.2,1.0,True
61425,2014,5,28,14.2,1.0,True
61425,2014,5,29,8.4,1.0,True
61425,2014,5,30,14.2,1.0,True
61425,2014,5,31,13.0,1.0,True
61425,2014,6,1,12.9,1.0,True
61425,2014,6,2,10.8,1.0,True
61425,2014,6,3,8.1,1.0,True
61425,2014,6,4,7.2,1.0,True
61425,2014,6,5,14.2,1.0,True
61425,2014,6,6,14.1,1.0,True
61425,2014,6,7,11.9,1.0,True
61425,2014,6,8,9.6,1.0,True
61425,2014,6,9,8.1,1.0,True
61425,2014,6,10,10.4,1.0,True
61425,2014,6,11,8.7,1.0,True
61425,2014,6,12,8.3,1.0,True
61425,2014,6,13,7.9,1.0,True
61425,2014,6,14,11.0,1.0,True
61425,2014,6,15,9.1,1.0,True
61425,2014,6,16,5.4,1.0,True
61425,2014,6,17,6.8,1.0,True
61425,2014,6,18,11.5,1.0,True
61425,2014,6,19,7.7,1.0,True
61425,2014,6,20,9.0,1.0,True
61425,2014,6,21,7.3,1.0,True
61425,2014,6,22,7.2,1.0,True
61425,2014,6,23,6.5,1.0,True
61425,2014,6,24,10.7,1.0,True
61425,2014,6,25,10.5,1.0,True
61425,2014,6,26,7.4,1.0,True
61425,2014,6,27,8.4,1.0,True
61425,2014,6,28,3.7,1.0,True
61425,2014,6,29,9.5,1.0,True
61425,2014,6,30,8.1,1.0,True
61425,2014,7,1,5.4,1.0,True
61425,2014,7,2,6.3,1.0,True
61425,2014,7,3,2.7,1.0,True
61425,2014,7,4,2.9,1.0,True
61425,2014,7,5,2.9,1.0,True
61425,2014,7,6,6.1,1.0,True
61425,2014,7,7,5.3,1.0,True
61425,2014,7,8,4.8,1.0,True
61425,2014,7,9,0.4,1.0,True
61425,2014,7,10,5.3,1.0,True
61425,2014,7,11,7.7,1.0,True
61425,2014,7,12,1.2,1.0,True
61425,2014,7,13,6.9,1.0,True
61425,2014,7,14,5.3,1.0,True
61425,2014,7,15,9.6,1.0,True
61425,2014,7,16,10.1,1.0,True
61425,2014,7,17,6.9,1.0,True
61425,2014,7,18,4.3,1.0,True
61425,2014,7,19,9.2,1.0,True
61425,2014,7,20,10.8,1.0,True
61425,2014,7,21,8.9,1.0,True
61425,2014,7,22,7.2,1.0,True
61425,2014,7,23,4.8,1.0,True
61425,2014,7,24,4.4,1.0,True
61425,2014,7,25,5.5,1.0,True
61425,2014,7,26,9.6,1.0,True
61425,2014,7,27,6.6,1.0,True
61425,2014,7,28,6.2,1.0,True
61425,2014,7,29,9.3,1.0,True
61425,2014,7,30,11.3,1.0,True
61425,2014,7,31,8.3,1.0,True
61425,2014,8,1,8.6,1.0,True
61425,2014,8,2,5.9,1.0,True
61425,2014,8,3,5.9,1.0,True
61425,2014,8,4,4.2,1.0,True
61425,2014,8,5,4.5,1.0,True
61425,2014,8,6,3.2,1.0,True
61425,2014,8,7,3.7,1.0,True
61425,2014,8,8,4.5,1.0,True
61425,2014,8,9,4.7,1.0,True
61425,2014,8,10,10.0,1.0,True
61425,2014,8,11,5.2,1.0,True
61425,2014,8,12,7.8,1.0,True
61425,2014,8,13,9.0,1.0,True
61425,2014,8,14,3.5,1.0,True
61425,2014,8,15,8.9,1.0,True
61425,2014,8,16,6.3,1.0,True
61425,2014,8,17,11.2,1.0,True
61425,2014,8,18,11.0,1.0,True
61425,2014,8,19,11.6,1.0,True
61425,2014,8,20,10.9,1.0,True
61425,2014,8,21,9.1,1.0,True
61425,2014,8,22,12.3,1.0,True
61425,2014,8,23,9.9,1.0,True
61425,2014,8,24,10.4,1.0,True
61425,2014,8,25,7.2,1.0,True
61425,2014,8,26,10.5,1.0,True
61425,2014,8,27,13.2,1.0,True
61425,2014,8,28,12.1,1.0,True
61425,2014,8,29,9.2,1.0,True
61425,2014,8,30,11.9,1.0,True
61425,2014,8,31,11.8,1.0,True
61425,2014,9,1,7.7,1.0,True
61425,2014,9,2,12.0,1.0,True
61425,2014,9,3,9.3,1.0,True
61425,2014,9,4,10.7,1.0,True
61425,2014,9,5,9.7,1.0,True
61425,2014,9,6,10.5,1.0,True
61425,2014,9,7,10.7,1.0,True
61425,2014,9,8,8.4,1.0,True
61425,2014,9,9,9.0,1.0,True
61425,2014,9,10,13.7,1.0,True
61425,2014,9,11,7.4,1.0,True
61425,2014,9,12,13.6,1.0,True
61425,2014,9,13,13.1,1.0,True
61425,2014,9,14,8.9,1.0,True
61425,2014,9,15,11.5,1.0,True
61425,2014,9,16,13.6,1.0,True
61425,2014,9,17,11.2,1.0,True
61425,2014,9,18,5.4,1.0,True
61425,2014,9,19,4.9,1.0,True
61425,2014,9,20,5.1,1.0,True
61425,2014,9,21,9.7,1.0,True
61425,2014,9,22,9.2,1.0,True
61425,2014,9,23,6.8,1.0,True
61425,2014,9,24,8.1,1.0,True
61425,2014,9,25,14.9,1.0,True
61425,2014,9,26,14.9,1.0,True
61425,2014,9,27,12.2,1.0,True
61425,2014,9,28,7.9,1.0,True
61425,2014,9,29,9.8,1.0,True
61425,2014,9,30,12.4,1.0,True
61425,2014,10,1,14.8,1.0,True
61425,2014,10,2,8.1,1.0,True
61425,2014,10,3,9.6,1.0,True
61425,2014,10,4,13.3,1.0,True
61425,2014,10,5,10.0,1.0,True
61425,2014,10,6,17.7,1.0,True
61425,2014,10,7,18.9,1.0,True
61425,2014,10,8,15.0,1.0,True
61425,2014,10,9,13.8,1.0,True
61425,2014,10,10,10.6,1.0,True
61425,2014,10,11,11.7,1.0,True
61425,2014,10,12,11.7,1.0,True
61425,2014,10,13,14.9,1.0,True
61425,2014,10,14,14.1,1.0,True
61425,2014,10,15,9.4,1.0,True
61425,2014,10,16,6.2,1.0,True
61425,2014,10,17,9.3,1.0,True
61425,2014,10,18,9.3,1.0,True
61425,2014,10,19,8.3,1.0,True
61425,2014,10,20,11.4,1.0,True
61425,2014,10,21,13.0,1.0,True
61425,2014,10,22,12.3,1.0,True
61425,2014,10,23,11.5,1.0,True
61425,2014,10,24,17.7,1.0,True
61425,2014,10,25,15.4,1.0,True
61425,2014,10,26,17.5,1.0,True
61425,2014,10,27,18.6,1.0,True
61425,2014,10,28,12.8,1.0,True
61425,2014,10,29,11.1,1.0,True
61425,2014,10,30,12.6,1.0,True
61425,2014,10,31,12.3,1.0,True
61425,2014,11,1,20.5,1.0,True
61425,2014,11,2,13.0,1.0,True
61425,2014,11,3,10.9,1.0,True
61425,2014,11,4,14.4,1.0,True
61425,2014,11,5,13.9,1.0,True
61425,2014,11,6,12.6,1.0,True
61425,2014,11,7,12.5,1.0,True
61425,2014,11,8,11.0,1.0,True
61425,2014,11,9,13.3,1.0,True
61425,2014,11,10,18.8,1.0,True
61425,2014,11,11,14.3,1.0,True
61425,2014,11,12,15.4,1.0,True
61425,2014,11,13,14.2,1.0,True
61425,2014,11,14,15.1,1.0,True
61425,2014,11,15,19.2,1.0,True
61425,2014,11,16,16.5,1.0,True
61425,2014,11,17,11.4,1.0,True
61425,2014,11,18,16.1,1.0,True
61425,2014,11,19,17.7,1.0,True
61425,2014,11,20,17.4,1.0,True
61425,2014,11,21,19.4,1.0,True
61425,2014,11,22,19.6,1.0,True
61425,2014,11,23,18.9,1.0,True
61425,2014,11,24,21.1,1.0,True
61425,2014,11,25,21.6,1.0,True
61425,2014,11,26,15.7,1.0,True
61425,2014,11,27,19.1,1.0,True
61425,2014,11,28,15.8,1.0,True
61425,2014,11,29,13.7,1.0,True
61425,2014,11,30,15.3,1.0,True
61425,2014,12,1,18.2,1.0,False
61425,2014,12,2,18.8,1.0,False
61425,2014,12,3,21.1,1.0,False
61425,2014,12,4,19.6,1.0,False
61425,2014,12,5,19.5,1.0,False
61425,2014,12,6,18.0,1.0,False
61425,2014,12,7,17.7,1.0,False
61425,2014,12,8,17.9,1.0,False
61425,2014,12,9,21.0,1.0,False
61425,2014,12,10,17.9,1.0,False
61425,2014,12,11,20.6,1.0,False
61425,2014,12,12,16.7,1.0,False
61425,2014,12,13,16.8,1.0,False
61425,2014,12,14,14.6,1.0,False
61425,2014,12,15,14.4,1.0,False
61425,2014,12,16,16.5,1.0,False
61425,2014,12,17,20.1,1.0,False
61425,2014,12,18,19.0,1.0,False
61425,2014,12,19,17.6,1.0,False
61425,2014,12,20,16.5,1.0,False
61425,2014,12,21,14.0,1.0,False
61425,2014,12,22,17.0,1.0,False
61425,2014,12,23,19.4,1.0,False
61425,2014,12,24,19.7,1.0,False
61425,2014,12,25,19.2,1.0,False
61425,2014,12,26,19.5,1.0,False
61425,2014,12,27,18.6,1.0,False
61425,2014,12,28,18.1,1.0,False
61425,2014,12,29,16.6,1.0,False
61425,2014,12,30,19.5,1.0,False
61425,2014,12,31,18.2,1.0,False
61425,2015,1,1,18.4,1.0,True
61425,2015,1,2,21.6,1.0,True
61425,2015,1,3,20.7,1.0,True
61425,2015,1,4,20.4,1.0,True
61425,2015,1,5,20.6,1.0,True
61425,2015,1,6,19.7,1.0,True
61425,2015,1,7,19.5,1.0,True
61425,2015,1,8,17.9,1.0,True
61425,2015,1,9,19.9,1.0,True
61425,2015,1,10,20.8,1.0,True
61425,2015,1,11,20.9,1.0,True
61425,2015,1,12,20.5,1.0,True
61425,2015,1,13,19.3,1.0,True
61425,2015,1,14,21.3,1.0,True
61425,2015,1,15,19.4,1.0,True
61425,2015,1,16,19.2,1.0,True
61425,2015,1,17,18.5,1.0,True
61425,2015,1,18,21.1,1.0,True
61425,2015,1,19,18.7,1.0,True
61425,2015,1,20,17.9,1.0,True
61425,2015,1,21,20.1,1.0,True
61425,2015,1,22,19.6,1.0,True
61425,2015,1,23,20.9,1.0,True
61425,2015,1,24,21.0,1.0,True
61425,2015,1,25,20.9,1.0,True
61425,2015,1,26,20.7,1.0,True
61425,2015,1,27,18.7,1.0,True
61425,2015,1,28,17.2,1.0,True
61425,2015,1,29,15.7,1.0,True
61425,2015,1,30,14.2,1.0,True
61425,2015,1,31,14.0,1.0,True
61425,2015,2,1,17.8,1.0,True
61425,2015,2,2,17.5,1.0,True
61425,2015,2,3,16.2,1.0,True
61425,2015,2,4,13.7,1.0,True
61425,2015,2,5,17.3,1.0,True
61425,2015,2,6,15.8,1.0,True
61425,2015,2,7,18.3,1.0,True
61425,2015,2,8,16.1,1.0,True
61425,2015,2,9,19.7,1.0,True
61425,2015,2,10,19.8,1.0,True
61425,2015,2,11,20.1,1.0,True
61425,2015,2,12,18.3,1.0,True
61425,2015,2,13,19.1,1.0,True
61425,2015,2,14,18.8,1.0,True
61425,2015,2,15,18.0,1.0,True
61425,2015,2,16,17.8,1.0,True
61425,2015,2,17,17.9,1.0,True
61425,2015,2,18,18.4,1.0,True
61425,2015,2,19,17.9,1.0,True
61425,2015,2,20,18.4,1.0,True
61425,2015,2,21,19.7,1.0,True
61425,2015,2,22,19.9,1.0,True
61425,2015,2,23,20.8,1.0,True
61425,2015,2,24,19.8,1.0,True
61425,2015,2,25,20.5,1.0,True
61425,2015,2,26,19.5,1.0,True
61425,2015,2,27,19.8,1.0,True
61425,2015,2,28,16.7,1.0,True
61425,2015,3,1,18.3,1.0,True
61425,2015,3,2,19.1,1.0,True
61425,2015,3,3,13.4,1.0,True
61425,2015,3,4,19.6,1.0,True
61425,2015,3,5,17.4,1.0,True
61425,2015,3,6,13.5,1.0,True
61425,2015,3,7,14.9,1.0,True
61425,2015,3,8,18.0,1.0,True
61425,2015,3,9,18.4,1.0,True
61425,2015,3,10,20.9,1.0,True
61425,2015,3,11,20.8,1.0,True
61425,2015,3,12,18.2,1.0,True
61425,2015,3,13,19.1,1.0,True
61425,2015,3,14,15.3,1.0,True
61425,2015,3,15,14.7,1.0,True
61425,2015,3,16,15.6,1.0,True
61425,2015,3,17,11.5,1.0,True
61425,2015,3,18,17.1,1.0,True
61425,2015,3,19,18.3,1.0,True
61425,2015,3,20,16.8,1.0,True
61425,2015,3,21,17.9,1.0,True
61425,2015,3,22,17.7,1.0,True
61425,2015,3,23,16.2,1.0,True
61425,2015,3,24,17.4,1.0,True
61425,2015,3,25,16.4,1.0,True
61425,2015,3,26,15.5,1.0,True
61425,2015,3,27,9.2,1.0,True
61425,2015,3,28,10.3,1.0,True
61425,2015,3,29,12.8,1.0,True
61425,2015,3,30,16.4,1.0,True
61425,2015,3,31,17.2,1.0,True
61425,2015,4,1,16.0,1.0,True
61425,2015,4,2,15.6,1.0,True
61425,2015,4,3,18.4,1.0,True
61425,2015,4,4,17.6,1.0,True
61425,2015,4,5,15.8,1.0,True
61425,2015,4,6,13.7,1.0,True
61425,2015,4,7,12.9,1.0,True
61425,2015,4,8,12.2,1.0,True
61425,2015,4,9,16.0,1.0,True
61425,2015,4,10,13.7,1.0,True
61425,2015,4,11,15.3,1.0,True
61425,2015,4,12,11.7,1.0,True
61425,2015,4,13,13.3,1.0,True
61425,2015,4,14,10.2,1.0,True
61425,2015,4,15,11.9,1.0,True
61425,2015,4,16,15.2,1.0,True
61425,2015,4,17,19.7,1.0,True
61425,2015,4,18,19.0,1.0,True
61425,2015,4,19,18.3,1.0,True
61425,2015,4,20,12.6,1.0,True
61425,2015,4,21,14.1,1.0,True
61425,2015,4,22,13.7,1.0,True
61425,2015,4,23,13.3,1.0,True
61425,2015,4,24,12.7,1.0,True
61425,2015,4,25,11.8,1.0,True
61425,2015,4,26,11.2,1.0,True
61425,2015,4,27,10.9,1.0,True
61425,2015,4,28,9.8,1.0,True
61425,2015,4,29,9.7,1.0,True
