Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality_Y
61425,2013,6,5,7.5,1.0,True
61425,2013,6,6,9.6,1.0,True
61425,2013,6,7,14.4,1.0,True
61425,2013,6,8,12.2,1.0,True
61425,2013,6,9,9.0,1.0,True
61425,2013,6,10,8.1,1.0,True
61425,2013,6,11,8.3,1.0,True
61425,2013,6,12,8.2,1.0,True
61425,2013,6,13,9.3,1.0,True
61425,2013,6,14,10.3,1.0,True
61425,2013,6,15,12.8,1.0,True
61425,2013,6,16,9.8,1.0,True
61425,2013,6,17,5.6,1.0,True
61425,2013,6,18,7.5,1.0,True
61425,2013,6,19,9.6,1.0,True
61425,2013,6,20,9.6,1.0,True
61425,2013,6,21,8.6,1.0,True
61425,2013,6,22,6.1,1.0,True
61425,2013,6,23,9.3,1.0,True
61425,2013,6,24,9.5,1.0,True
61425,2013,6,25,7.4,1.0,True
61425,2013,6,26,9.8,1.0,True
61425,2013,6,27,11.6,1.0,True
61425,2013,6,28,11.7,1.0,True
61425,2013,6,29,12.3,1.0,True
61425,2013,6,30,11.9,1.0,True
61425,2013,7,1,8.3,1.0,True
61425,2013,7,2,6.7,1.0,True
61425,2013,7,3,4.9,1.0,True
61425,2013,7,4,4.9,1.0,True
61425,2013,7,5,9.9,1.0,True
61425,2013,7,6,5.0,1.0,True
61425,2013,7,7,5.5,1.0,True
61425,2013,7,8,3.0,1.0,True
61425,2013,7,9,5.6,1.0,True
61425,2013,7,10,7.8,1.0,True
61425,2013,7,11,5.0,1.0,True
61425,2013,7,12,5.1,1.0,True
61425,2013,7,13,5.9,1.0,True
61425,2013,7,14,5.7,1.0,True
61425,2013,7,15,10.2,1.0,True
61425,2013,7,16,12.4,1.0,True
61425,2013,7,17,10.7,1.0,True
61425,2013,7,18,9.0,1.0,True
61425,2013,7,19,12.7,1.0,True
61425,2013,7,20,12.2,1.0,True
61425,2013,7,21,3.5,1.0,True
61425,2013,7,22,3.6,1.0,True
61425,2013,7,23,4.6,1.0,True
61425,2013,7,24,10.1,1.0,True
61425,2013,7,25,8.3,1.0,True
61425,2013,7,26,4.5,1.0,True
