year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,Date_03APR2009,Date_04APR2009,Date_05APR2009,Date_11APR2009,Date_12APR2009,Date_13APR2009,Date_14APR2009,Date_15APR2009,Date_16APR2009,Date_18APR2009,Date_19APR2009,Date_20APR2009,Date_21APR2009,Date_22APR2009,Date_23APR2009,Date_24APR2009,Date_25APR2009,Date_26APR2009,Date_27APR2009,Date_28APR2009,Date_29APR2009
2009,14.06365,16.03654,14.89624,13.77405,13.37585,15.33064,14.31705,13.73785,13.14055,12.45275,12.07265,11.74686,11.49346,11.20386,11.24006,11.11336,11.18576,10.95046,11.43916,11.29436,11.60206,11.56586,11.81925,11.74686,11.98215,12.36225,13.06815,12.70615,13.77405,15.02294,15.89174,16.21754,17.10443,17.01394,18.48003,19.58413,19.94612,20.25382,20.88732,20.99592,21.21312,21.21312,21.10452,21.64752,21.30362,21.93712,21.50272,21.43032,21.06832,21.26742,21.32172,20.59772,20.07282,20.23572,20.36242,19.87372,20.03662,19.94612,20.10902,19.89182,20.16332,19.89182,19.81942,20.07282,20.16332,19.90992,20.32622,19.20403,17.82843,17.71983,18.57053,19.34883,19.09543,18.29903,17.86463,17.57503,17.41213,17.33973,16.52524,16.12704,16.05464,15.94604,15.92794,15.45734,16.07274,15.04104,14.75144,14.33515,14.24465,15.96414,15.51164,14.31705,15.36684,14.60664,14.71524,13.99125,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2009,13.68355,15.42114,14.64284,13.81025,13.26725,14.93244,14.49804,13.91885,12.97765,12.61565,12.36225,11.87355,12.09075,11.78306,11.89165,12.07265,12.14505,12.38035,12.34415,12.63375,12.76045,12.65185,12.94145,12.65185,12.92335,13.14055,13.59305,13.03195,13.61115,13.77405,14.40755,15.16774,16.01844,16.10894,16.68814,17.55693,18.24473,18.58863,19.05923,20.03662,20.23572,20.45292,20.83302,20.59772,21.26742,21.32172,21.41222,21.66562,22.33531,21.81042,21.81042,21.90092,19.69272,19.51173,19.43933,19.07733,19.36693,18.93253,18.86013,18.55243,18.42573,18.51623,20.86922,21.30362,19.51173,18.93253,18.82393,18.44383,19.67462,20.05472,20.19952,20.56152,20.65202,20.43482,19.63843,19.54793,18.96873,19.31263,19.00493,18.73343,18.71533,18.40763,18.55243,18.08183,17.97323,17.99133,17.62933,16.85104,17.32163,18.22663,17.66553,17.03204,17.55693,16.83294,17.41213,16.72434,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2009,16.21754,17.66553,16.99584,16.16324,15.36684,17.39403,17.33973,16.61574,15.85554,15.22204,14.71524,14.44374,14.13605,14.19035,14.24465,13.77405,14.13605,13.97315,14.46184,14.69714,15.38494,15.71074,16.43474,17.50263,18.20853,18.62483,19.83752,19.54793,11.13146,22.75161,23.18601,23.89191,25.2494,25.9915,26.7517,27.2404,27.81959,28.54359,28.43499,28.92369,28.88749,28.95989,28.86939,29.21329,29.43049,29.82869,29.32189,29.21329,29.28569,28.99609,28.81509,28.77889,29.05039,28.88749,29.08659,28.92369,28.90559,29.17709,29.06849,29.28569,28.45309,28.74269,28.45309,28.27209,28.14539,28.50739,28.63409,28.12729,27.74719,28.01869,26.806,26.2811,25.5752,25.6838,24.43491,23.51181,23.54801,23.51181,23.05931,22.80591,22.89641,22.26292,22.31721,21.55702,21.53892,21.05022,20.05472,19.54793,19.45743,21.14072,20.70632,19.78322,19.76512,18.93253,19.27643,17.91893,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2009,16.97774,19.09543,18.26283,17.66553,16.77864,18.75153,17.82843,17.23113,16.57954,15.90984,15.71074,15.47544,14.73334,15.27634,15.09534,14.75144,15.04104,15.27634,15.07724,15.67454,15.42114,15.98224,17.19493,18.35333,18.73343,19.56603,20.21762,19.98232,21.30362,22.33531,23.69281,24.81501,26.4802,26.5888,26.6793,27.0232,27.72909,28.19969,28.25399,28.07299,27.72909,28.50739,28.90559,29.28569,29.23139,29.39429,29.50289,29.93729,30.10019,30.26308,29.93729,30.26308,30.26308,29.93729,29.93729,30.37168,29.33999,29.70199,29.46669,29.61149,29.81059,28.72459,28.27209,28.12729,28.10919,27.65669,27.83769,27.65669,27.67479,27.76529,27.168,26.1363,26.0277,25.5752,24.56161,24.88741,23.98241,23.31271,22.95071,23.54801,23.76521,22.86021,23.00501,22.02762,21.97332,21.43032,21.12262,20.43482,20.12712,21.57512,20.72442,19.69272,20.23572,19.62033,20.19952,19.02303,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2009,18.22663,20.45292,19.27643,18.09993,16.99584,18.78773,18.28093,17.52073,17.01394,16.59764,16.14514,16.00034,15.43924,15.27634,15.05914,15.11344,15.62024,15.40304,15.69264,16.12704,16.67004,17.12253,17.97323,18.73343,19.63843,19.78322,21.03212,20.63392,22.13622,23.13171,24.03671,25.7924,25.6114,26.8603,26.8603,27.52999,27.85579,28.83319,28.65219,29.30379,29.64769,29.55719,29.30379,29.23139,29.46669,29.41239,30.04589,31.00518,30.55268,30.11829,30.35358,30.29928,30.24498,30.51648,30.95088,30.38978,29.88299,30.48028,30.17258,30.08209,29.84679,29.28569,28.99609,28.92369,28.99609,27.71099,28.03679,26.8784,27.81959,27.78339,26.7336,26.4259,26.2449,25.6295,25.5752,24.41681,23.62041,23.20411,23.24031,23.16791,23.20411,22.04572,22.02762,21.46652,22.20862,20.32622,19.92802,19.27643,19.07733,20.16332,20.52532,19.58413,20.29002,19.22213,19.63843,18.35333,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2009,17.48453,19.58413,18.82393,17.93703,17.30353,19.24023,18.48003,17.77413,17.15873,16.67004,16.25374,15.56594,15.45734,15.38494,15.56594,15.42114,15.72884,15.72884,15.49354,15.52974,16.10894,16.72434,17.28543,18.48003,19.45743,19.62033,20.92352,21.23122,21.88282,22.28101,22.73351,23.74711,24.9417,25.9915,26.625,27.1861,27.81959,28.43499,28.45309,28.57979,28.94179,28.54359,28.48929,28.68839,29.24949,29.79249,29.08659,30.31738,30.31738,29.62959,29.97349,29.73819,29.64769,29.57529,29.95539,29.72009,29.93729,29.73819,29.43049,29.66579,29.23139,29.08659,28.50739,28.83319,28.56169,28.03679,27.80149,27.4576,27.67479,27.81959,28.52549,28.41689,28.67029,28.59789,28.41689,27.65669,27.3309,26.7155,26.1182,25.9553,26.3716,25.9553,25.4666,24.67021,22.76971,21.52082,21.14072,20.27192,19.78322,21.19502,20.47102,19.40313,19.78322,19.22213,19.72892,18.69723,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2009,17.86463,19.38503,18.49813,17.68363,16.83294,18.62483,18.33523,17.59313,16.99584,16.05464,15.54784,15.38494,15.02294,15.07724,14.66094,14.80574,14.73334,14.98674,14.91434,15.60214,15.76504,16.38044,16.99584,18.22663,18.86013,19.51173,20.30812,20.21762,21.66562,22.33531,22.89641,23.98241,25.2132,25.0503,25.3218,26.7336,27.2042,27.0232,26.5526,27.0594,27.2947,27.63859,27.2585,27.2947,26.7879,27.69289,27.98249,27.98249,28.54359,27.89199,28.39879,27.94629,28.36259,27.85579,27.4214,27.4938,27.1499,26.9508,26.8784,26.2449,26.6431,26.1906,25.9915,25.7924,25.0865,25.177,25.3399,24.41681,24.52541,24.45301,23.11361,21.81042,21.30362,20.92352,20.79682,20.59772,19.72892,19.69272,19.54793,19.02303,19.18593,18.91443,18.98683,17.71983,17.64743,17.41213,16.48904,16.01844,16.00034,17.19493,16.95964,15.74694,15.87364,15.13154,15.81934,14.75144,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2009,13.71975,15.47544,14.86004,13.81025,13.10435,14.89624,14.38945,13.73785,13.23105,12.56135,12.38035,11.87355,11.60206,11.51156,11.33056,11.20386,10.93236,11.05906,11.45726,11.42106,10.96856,11.09526,11.18576,11.40296,11.83735,11.69256,11.52966,11.38486,11.96405,11.92785,12.61565,12.81475,13.26725,13.61115,14.26275,14.64284,14.60664,14.84194,15.02294,15.36684,15.18584,15.29444,16.01844,16.61574,16.50714,16.57954,16.48904,17.03204,18.26283,18.62483,18.48003,18.69723,18.82393,19.02303,18.98683,19.31263,18.86013,18.75153,18.95063,18.49813,18.76963,18.57053,18.67913,18.76963,18.87823,18.80583,19.05923,18.26283,17.41213,17.61123,18.69723,18.29903,17.97323,17.86463,17.10443,17.05013,16.70624,16.39854,16.18134,15.69264,16.10894,16.00034,16.03654,15.72884,16.00034,15.34874,14.76954,14.44374,14.53424,15.90984,15.51164,14.42564,15.09534,14.51614,14.67904,14.46184,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2009,13.84645,15.04104,14.58854,13.62925,13.23105,14.69714,14.26275,13.50255,13.01385,12.59755,12.70615,12.18125,12.27175,12.48895,12.30795,11.87355,11.65636,11.56586,11.45726,11.96405,11.90975,12.21745,11.96405,12.18125,12.39845,12.21745,12.32605,11.89165,12.43465,12.59755,13.32155,13.77405,14.64284,15.27634,15.94604,16.90534,16.67004,17.64743,18.06373,18.71533,18.93253,19.74702,19.92802,19.76512,20.10902,19.98232,19.92802,20.16332,19.92802,20.03662,20.10902,18.76963,18.89633,18.76963,19.20403,18.86013,18.40763,18.84203,18.75153,18.46193,20.50722,19.51173,19.29453,19.02303,18.38953,18.33523,17.93703,17.99133,18.26283,18.82393,19.76512,20.25382,19.67462,19.65652,19.22213,18.80583,18.48003,18.06373,17.90083,17.66553,17.99133,17.62933,17.41213,16.63384,17.19493,16.30804,15.87364,15.36684,15.16774,16.86914,16.50714,15.58404,16.50714,16.09084,16.32614,15.80124,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2009,15.13154,16.68814,16.05464,15.58404,15.18584,17.03204,16.10894,15.34874,14.75144,14.20845,13.73785,13.33965,12.86905,13.01385,12.99575,12.95955,13.08625,13.33965,13.26725,14.19035,14.67904,14.78764,15.43924,16.50714,17.82843,17.93703,19.02303,19.14973,20.27192,21.06832,21.37602,22.40771,23.51181,23.96431,25.0322,25.6476,26.444,26.6974,26.2992,26.2992,26.9689,27.349,26.7517,26.9146,26.7155,27.0413,26.4983,27.0232,26.987,27.2223,26.987,26.8422,26.7336,27.0775,26.8603,26.8965,26.5707,26.3354,26.5164,26.5526,26.625,26.3354,25.2313,24.86931,25.0141,24.61591,24.67021,24.63401,25.4123,25.7381,25.0503,25.0503,24.34441,24.30821,24.45301,24.07291,23.78331,23.33081,22.78781,22.86021,23.34891,22.26292,22.37151,21.62942,21.79232,21.01402,20.12712,19.60223,18.67913,20.41672,19.56603,19.05923,18.82393,18.19043,18.38953,17.62933,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2009,17.05013,19.24023,18.38953,17.68363,17.46643,19.31263,18.98683,18.46193,17.91893,16.94154,16.68814,16.27184,15.89174,15.54784,15.52974,15.85554,15.58404,15.14964,16.00034,15.51164,15.63834,16.95964,17.77413,18.84203,20.19952,21.53892,22.20862,21.66562,22.78781,23.72901,24.50731,25.358,26.3535,26.806,27.52999,27.65669,28.30829,28.76079,28.27209,28.76079,28.94179,28.68839,28.92369,29.26759,29.35809,29.39429,29.50289,29.46669,28.16349,28.59789,29.10469,28.63409,29.33999,28.67029,29.68389,29.24949,29.33999,28.70649,28.76079,28.77889,28.67029,28.47119,27.2766,27.2766,26.9689,26.9508,27.0413,26.9689,27.0594,27.52999,27.2766,26.8965,26.7517,26.4983,25.8105,25.2132,24.50731,24.03671,23.43941,23.63851,24.36251,23.56611,23.45751,22.86021,22.91451,22.40771,21.59322,21.05022,20.25382,21.90092,20.94162,19.85562,19.52983,18.98683,19.60223,18.62483,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2009,17.91893,19.51173,18.67913,18.22663,17.46643,19.07733,18.60673,17.91893,17.70173,17.12253,16.52524,16.28994,15.83744,15.85554,15.80124,15.85554,16.00034,15.58404,15.90984,15.56594,16.23564,17.14063,17.70173,18.96873,20.81492,21.84662,22.93261,22.76971,23.56611,24.65211,25.9553,26.0277,27.71099,27.96439,28.23589,28.68839,29.68389,29.52099,29.43049,29.39429,29.35809,29.41239,29.35809,28.92369,28.79699,28.94179,29.44859,30.02779,29.33999,29.44859,29.30379,29.19519,29.50289,28.88749,29.21329,29.64769,29.35809,28.74269,28.59789,27.96439,28.27209,28.19969,27.67479,27.87389,28.12729,27.63859,28.57979,28.14539,28.18159,28.68839,28.48929,27.56619,27.5119,27.4395,26.4259,26.3535,25.6657,25.5752,24.59781,24.30821,24.67021,24.07291,24.76071,23.09551,23.56611,22.53441,21.86472,21.48462,20.48912,21.50272,20.88732,20.32622,20.47102,19.22213,19.62033,18.67913,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
