Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),index
61381,2015,5,18,0.0,1.0,137
61381,2015,5,19,0.0,1.0,138
61381,2015,5,20,0.0,1.0,139
61381,2015,5,21,1.0,1.0,140
61381,2015,5,22,2.0,1.0,141
61381,2015,5,23,46.0,1.0,142
61381,2015,5,24,0.0,1.0,143
61381,2015,5,25,0.0,1.0,144
61381,2015,5,26,0.0,1.0,145
61381,2015,5,27,0.0,1.0,146
61381,2015,5,28,0.0,1.0,147
61381,2015,5,29,0.0,1.0,148
61381,2015,5,30,0.0,1.0,149
61381,2015,5,31,2.0,1.0,150
61381,2015,6,1,0.0,1.0,151
61381,2015,6,2,0.0,1.0,152
61381,2015,6,3,0.0,1.0,153
61381,2015,6,4,0.0,1.0,154
61381,2015,6,5,1.0,1.0,155
61381,2015,6,6,0.0,1.0,156
61381,2015,6,7,0.0,1.0,157
61381,2015,6,8,0.0,1.0,158
61381,2015,6,9,0.0,1.0,159
61381,2015,6,10,1.0,1.0,160
61381,2015,6,11,14.0,1.0,161
61381,2015,6,12,10.0,1.0,162
61381,2015,6,13,0.0,1.0,163
61381,2015,6,14,0.0,1.0,164
61381,2015,6,15,2.0,1.0,165
61381,2015,6,16,11.0,1.0,166
61381,2015,6,17,12.0,1.0,167
61381,2015,6,18,1.0,1.0,168
61381,2015,6,19,13.0,1.0,169
61381,2015,6,20,9.0,1.0,170
61381,2015,6,21,1.0,1.0,171
61381,2015,6,22,0.0,1.0,172
61381,2015,6,23,0.0,1.0,173
61381,2015,6,24,0.0,1.0,174
61381,2015,6,25,0.0,1.0,175
61381,2015,6,26,30.0,1.0,176
61381,2015,6,27,0.0,1.0,177
61381,2015,6,28,0.0,1.0,178
61381,2015,6,29,0.0,1.0,179
61381,2015,6,30,0.0,1.0,180
61381,2015,7,1,1.0,1.0,181
61381,2015,7,2,0.0,1.0,182
61381,2015,7,3,0.0,1.0,183
61381,2015,7,4,0.0,1.0,184
61381,2015,7,5,0.0,1.0,185
61381,2015,7,6,0.0,1.0,186
61381,2015,7,7,0.0,1.0,187
61381,2015,7,8,1.0,1.0,188
61381,2015,7,9,0.0,1.0,189
61381,2015,7,10,0.0,1.0,190
61381,2015,7,11,4.0,1.0,191
61381,2015,7,12,4.0,1.0,192
61381,2015,7,13,2.0,1.0,193
61381,2015,7,14,0.0,1.0,194
61381,2015,7,15,0.0,1.0,195
61381,2015,7,16,0.0,1.0,196
61381,2015,7,17,1.0,1.0,197
61381,2015,7,18,1.0,1.0,198
61381,2015,7,19,2.0,1.0,199
61381,2015,7,20,2.0,1.0,200
61381,2015,7,21,0.0,1.0,201
61381,2015,7,22,0.0,1.0,202
61381,2015,7,23,4.0,1.0,203
61381,2015,7,24,0.0,1.0,204
61381,2015,7,25,1.0,1.0,205
61381,2015,7,26,0.0,1.0,206
61381,2015,7,27,0.0,1.0,207
61381,2015,7,28,0.0,1.0,208
61381,2015,7,29,0.0,1.0,209
61381,2015,7,30,0.0,1.0,210
61381,2015,7,31,0.0,1.0,211
61381,2015,8,1,0.0,1.0,212
61381,2015,8,2,0.0,1.0,213
61381,2015,8,3,0.0,1.0,214
61381,2015,8,4,0.0,1.0,215
61381,2015,8,5,0.0,1.0,216
61381,2015,8,6,0.0,1.0,217
61381,2015,8,7,0.0,1.0,218
61381,2015,8,8,0.0,1.0,219
61381,2015,8,9,0.0,1.0,220
61381,2015,8,10,0.0,1.0,221
61381,2015,8,11,0.0,1.0,222
61381,2015,8,12,0.0,1.0,223
61381,2015,8,13,0.0,1.0,224
61381,2015,8,14,0.0,1.0,225
61381,2015,8,15,0.0,1.0,226
61381,2015,8,16,0.0,1.0,227
61381,2015,8,17,0.0,1.0,228
61381,2015,8,18,0.0,1.0,229
61381,2015,8,19,0.0,1.0,230
61381,2015,8,20,0.0,1.0,231
61381,2015,8,21,0.0,1.0,232
61381,2015,8,22,0.0,1.0,233
61381,2015,8,23,11.0,1.0,234
61381,2015,8,24,6.0,1.0,235
61381,2015,8,25,17.0,1.0,236
61381,2015,8,26,2.0,1.0,237
61381,2015,8,27,0.0,1.0,238
61381,2015,8,28,0.0,1.0,239
61381,2015,8,29,0.0,1.0,240
61381,2015,8,30,0.0,1.0,241
61381,2015,8,31,0.0,1.0,242
61381,2015,9,1,0.0,1.0,243
61381,2015,9,2,0.0,1.0,244
61381,2015,9,3,4.0,1.0,245
61381,2015,9,4,4.0,1.0,246
61381,2015,9,5,1.0,1.0,247
61381,2015,9,6,1.0,1.0,248
61381,2015,9,7,2.0,1.0,249
61381,2015,9,8,0.0,1.0,250
61381,2015,9,9,0.0,1.0,251
61381,2015,9,10,0.0,1.0,252
61381,2015,9,11,0.0,1.0,253
61381,2015,9,12,0.0,1.0,254
61381,2015,9,13,0.0,1.0,255
61381,2015,9,14,0.0,1.0,256
61381,2015,9,15,0.0,1.0,257
61381,2015,9,16,0.0,1.0,258
61381,2015,9,17,0.0,1.0,259
61381,2015,9,18,25.0,1.0,260
61381,2015,9,19,3.0,1.0,261
61381,2015,9,20,8.0,1.0,262
61381,2015,9,21,2.0,1.0,263
61381,2015,9,22,1.0,1.0,264
61381,2015,9,23,1.0,1.0,265
61381,2015,9,24,2.0,1.0,266
61381,2015,9,25,53.0,1.0,267
61381,2015,9,26,13.0,1.0,268
61381,2015,9,27,5.0,1.0,269
61381,2015,9,28,0.0,1.0,270
61381,2015,9,29,0.0,1.0,271
61381,2015,9,30,0.0,1.0,272
61381,2015,10,1,0.0,1.0,273
61381,2015,10,2,0.0,1.0,274
61381,2015,10,3,0.0,1.0,275
61381,2015,10,4,0.0,1.0,276
61381,2015,10,5,0.0,1.0,277
61381,2015,10,6,0.0,1.0,278
61381,2015,10,7,0.0,1.0,279
61381,2015,10,8,0.0,1.0,280
61381,2015,10,9,0.0,1.0,281
61381,2015,10,10,0.0,1.0,282
