Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m),index
66125,2015,6,22,10.3,172
66125,2015,6,23,10.2,173
66125,2015,6,24,9.5,174
66125,2015,6,25,8.5,175
66125,2015,6,26,9.9,176
66125,2015,6,27,10.5,177
66125,2015,6,28,10.2,178
66125,2015,6,29,8.1,179
66125,2015,6,30,8.5,180
66125,2015,7,1,9.8,181
66125,2015,7,2,10.1,182
66125,2015,7,3,10.4,183
66125,2015,7,4,10.8,184
66125,2015,7,5,10.6,185
66125,2015,7,6,10.8,186
66125,2015,7,7,8.0,187
66125,2015,7,8,9.3,188
66125,2015,7,9,10.7,189
66125,2015,7,10,4.8,190
66125,2015,7,11,10.7,191
66125,2015,7,12,9.2,192
66125,2015,7,13,8.4,193
66125,2015,7,14,11.3,194
66125,2015,7,15,11.2,195
66125,2015,7,16,3.6,196
66125,2015,7,17,8.2,197
66125,2015,7,18,9.6,198
66125,2015,7,19,11.0,199
66125,2015,7,20,10.4,200
66125,2015,7,21,11.5,201
66125,2015,7,22,7.4,202
66125,2015,7,23,7.3,203
66125,2015,7,24,8.1,204
66125,2015,7,25,12.1,205
66125,2015,7,26,11.1,206
66125,2015,7,27,12.5,207
66125,2015,7,28,12.1,208
66125,2015,7,29,11.1,209
66125,2015,7,30,12.2,210
66125,2015,7,31,12.5,211
66125,2015,8,1,9.8,212
66125,2015,8,2,9.4,213
66125,2015,8,3,13.1,214
66125,2015,8,4,11.9,215
66125,2015,8,5,7.6,216
66125,2015,8,6,12.2,217
66125,2015,8,7,11.9,218
66125,2015,8,8,13.1,219
66125,2015,8,9,13.6,220
66125,2015,8,10,13.9,221
66125,2015,8,11,12.2,222
66125,2015,8,12,10.2,223
66125,2015,8,13,14.5,224
66125,2015,8,14,14.4,225
66125,2015,8,15,10.5,226
66125,2015,8,16,12.6,227
66125,2015,8,17,14.0,228
66125,2015,8,18,13.7,229
66125,2015,8,19,8.1,230
66125,2015,8,20,15.2,231
66125,2015,8,21,15.0,232
66125,2015,8,22,14.3,233
66125,2015,8,23,4.6,234
66125,2015,8,24,4.5,235
66125,2015,8,25,9.6,236
66125,2015,8,26,11.1,237
66125,2015,8,27,11.8,238
66125,2015,8,28,12.9,239
66125,2015,8,29,16.5,240
66125,2015,8,30,16.4,241
66125,2015,8,31,16.8,242
66125,2015,9,1,17.6,243
66125,2015,9,2,15.8,244
66125,2015,9,3,16.3,245
66125,2015,9,4,15.7,246
66125,2015,9,5,14.6,247
66125,2015,9,6,9.7,248
66125,2015,9,7,15.8,249
66125,2015,9,8,18.3,250
66125,2015,9,9,18.2,251
66125,2015,9,10,15.3,252
66125,2015,9,11,19.2,253
66125,2015,9,12,19.4,254
66125,2015,9,13,19.1,255
66125,2015,9,14,19.5,256
66125,2015,9,15,19.2,257
66125,2015,9,16,18.8,258
66125,2015,9,17,17.5,259
66125,2015,9,18,19.8,260
66125,2015,9,19,14.8,261
66125,2015,9,20,13.9,262
66125,2015,9,21,19.2,263
66125,2015,9,22,17.1,264
66125,2015,9,23,18.3,265
66125,2015,9,24,15.4,266
66125,2015,9,25,9.5,267
66125,2015,9,26,14.5,268
66125,2015,9,27,16.7,269
66125,2015,9,28,22.5,270
66125,2015,9,29,22.0,271
66125,2015,9,30,15.0,272
66125,2015,10,1,20.6,273
66125,2015,10,2,20.3,274
66125,2015,10,3,23.8,275
66125,2015,10,4,15.2,276
66125,2015,10,5,23.6,277
66125,2015,10,6,24.3,278
66125,2015,10,7,9.3,279
66125,2015,10,8,8.7,280
66125,2015,10,9,23.1,281
66125,2015,10,10,19.3,282
66125,2015,10,11,13.5,283
66125,2015,10,12,21.5,284
66125,2015,10,13,8.4,285
66125,2015,10,14,18.8,286
66125,2015,10,15,25.6,287
66125,2015,10,16,25.5,288
66125,2015,10,17,18.7,289
66125,2015,10,18,13.8,290
66125,2015,10,19,21.0,291
66125,2015,10,20,17.1,292
66125,2015,10,21,8.7,293
66125,2015,10,22,9.6,294
66125,2015,10,23,13.5,295
66125,2015,10,24,26.2,296
66125,2015,10,25,25.4,297
66125,2015,10,26,12.8,298
66125,2015,10,27,10.3,299
66125,2015,10,28,18.5,300
66125,2015,10,29,26.7,301
66125,2015,10,30,24.8,302
66125,2015,10,31,16.0,303
66125,2015,11,1,23.4,304
66125,2015,11,2,24.6,305
66125,2015,11,3,6.8,306
66125,2015,11,4,3.7,307
66125,2015,11,5,4.6,308
66125,2015,11,6,16.5,309
66125,2015,11,7,13.1,310
66125,2015,11,8,23.1,311
66125,2015,11,9,28.4,312
66125,2015,11,10,28.9,313
66125,2015,11,11,9.1,314
66125,2015,11,12,11.6,315
66125,2015,11,13,17.1,316
66125,2015,11,14,7.0,317
66125,2015,11,15,15.8,318
66125,2015,11,16,28.4,319
66125,2015,11,17,30.6,320
66125,2015,11,18,29.8,321
66125,2015,11,19,28.2,322
66125,2015,11,20,30.5,323
66125,2015,11,21,16.0,324
66125,2015,11,22,7.2,325
66125,2015,11,23,30.0,326
66125,2015,11,24,29.3,327
66125,2015,11,25,32.1,328
66125,2015,11,26,26.6,329
66125,2015,11,27,23.8,330
66125,2015,11,28,9.7,331
66125,2015,11,29,20.3,332
66125,2015,11,30,31.2,333
66125,2015,12,1,25.6,334
66125,2015,12,2,24.5,335
66125,2015,12,3,24.8,336
66125,2015,12,4,20.4,337
66125,2015,12,5,32.0,338
66125,2015,12,6,31.2,339
66125,2015,12,7,22.6,340
