year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,averagemwh
2021,10.98876,12.1617,11.53153,10.62528,9.70863,9.26984,9.68903,8.9152,8.07407,7.41083,6.92321,6.48457,6.21493,6.02343,5.87141,5.8166,5.7834,5.76078,5.77244,5.84744,6.0931,6.38487,6.57845,6.69983,7.21452,7.63494,7.84654,7.93524,7.33913,7.59278,7.53732,7.5704,7.40881,7.1777,6.77989,6.27976,5.82252,5.45263,5.12978,4.89166,4.74713,4.36573,4.32155,4.53704,4.21592,4.15237,4.56581,5.20985,5.12851,4.75463,4.86694,5.01131,5.00855,4.66436,4.35057,4.62036,4.73323,4.70363,4.7065,5.06561,5.97086,6.22871,6.72512,7.10134,7.96005,8.43476,8.96702,9.65537,10.21942,11.29987,12.35412,12.91611,13.08943,13.223,13.03782,12.76433,12.41303,11.96065,11.74454,11.42943,11.87605,11.43774,11.50274,11.03783,11.2287,10.62053,10.32719,9.94244,10.11582,10.47375,10.55462,10.03539,10.92457,10.45332,11.9643,11.83885,8.018764270833334
2021,11.92278,12.99726,12.3156,11.15767,10.26876,9.8448,10.32436,9.67575,8.63613,7.87318,7.43425,7.00168,6.62921,6.21879,6.07821,6.06112,5.89412,5.91732,5.81361,5.78529,5.9478,5.96698,5.95417,6.1369,6.40697,6.59635,6.83722,7.26523,6.99967,7.18782,7.16204,7.16881,7.14956,7.1388,6.87623,6.76511,6.50274,6.16061,5.93524,5.67308,5.40937,5.02523,4.72984,4.54547,4.3412,4.15787,3.97748,3.88647,4.04398,3.8864,3.85052,3.86911,3.69078,3.76686,3.8361,3.91345,4.16599,4.40636,4.74567,5.11165,5.40036,5.77181,6.10523,6.62054,7.11269,7.80019,8.45802,9.40405,9.88832,10.76512,11.71342,12.16671,12.08538,11.99504,11.79925,11.47337,11.14136,10.80437,10.51459,10.2128,10.65217,10.15305,10.51558,9.92011,10.03397,9.44351,9.40246,9.03668,9.21068,9.78496,10.05592,9.65419,10.58668,10.00417,11.59196,11.53633,7.686000625000002
2021,11.49611,12.59272,11.87768,11.10449,10.26981,9.83703,10.00573,9.26777,8.37034,7.73085,7.19578,6.75756,6.52292,6.24076,6.11061,5.88367,5.57975,5.58594,5.58551,5.56419,5.70175,5.78615,5.98448,6.08849,6.29699,6.43597,6.78214,7.10702,6.70956,6.94341,7.19678,7.02038,7.31642,7.28217,7.1898,6.98493,6.68487,6.16503,5.84535,5.60542,5.30629,5.12561,4.94483,4.59564,4.3716,4.18114,3.9212,3.95631,3.96671,3.90461,3.71987,3.88386,3.664,3.72462,3.93043,3.93896,4.30377,4.5657,5.19273,5.34746,5.92609,6.21176,6.46626,6.81197,7.44461,8.17764,9.01467,9.72899,10.15607,11.07128,11.89788,12.31634,12.41822,12.35578,12.02014,11.94962,11.73844,11.46384,11.18186,10.7825,11.06826,10.67086,10.83624,10.24339,10.41585,9.86779,9.66994,9.21708,9.22748,9.61028,9.86989,9.52172,10.34823,10.05205,11.50527,11.34596,7.748499166666665
2021,11.39262,12.52457,11.84435,11.0009,10.32469,9.9968,10.32033,9.48417,8.81109,8.26639,7.63833,7.00683,6.66074,6.41467,6.25235,5.94841,5.91322,5.86704,6.15203,6.26908,6.49139,6.7316,6.90037,7.2522,7.49757,7.98257,8.3853,8.79188,8.38864,8.60948,8.65617,8.29535,8.09818,7.84024,7.49097,6.96358,6.52476,6.0647,5.72836,5.29671,4.95709,4.5723,4.18827,3.92095,3.71991,3.56906,3.35558,3.50708,3.35936,3.37221,3.40984,3.45548,3.5119,3.4522,3.46315,3.58307,3.89188,4.1064,4.42344,4.82325,5.14882,5.63184,5.91703,6.41343,6.92427,7.70014,8.68572,9.53767,10.2379,11.45318,12.50974,12.89194,12.9863,12.78624,12.31657,12.08063,11.59463,11.14836,10.923,10.7234,11.12708,10.69218,10.80322,10.14665,10.21769,9.68957,9.51463,9.00013,9.20531,9.68598,9.8881,9.42096,10.3328,9.9708,11.42636,11.17322,7.839859791666669
2021,11.16399,12.31386,11.74249,10.6521,10.01251,9.76863,10.10592,9.2182,8.25693,7.74801,7.19869,6.72705,6.42622,6.46447,6.22606,5.95147,5.78582,5.71827,5.69537,5.96464,6.22824,6.33854,6.4243,6.8733,7.32566,7.43307,7.66019,8.08125,7.55893,7.91761,8.14877,8.16744,8.1787,8.0712,7.50767,7.99799,7.59465,6.5021,6.00057,6.58473,7.23073,7.47845,6.60851,6.42793,6.50977,7.36184,7.5395,7.5748,7.84532,7.72305,6.8199,6.60449,6.51694,6.55739,6.74322,6.58153,7.0836,7.65415,7.73239,7.52271,7.69701,8.05417,8.38039,8.73006,9.22322,9.73797,10.27064,10.97027,11.24458,12.09692,12.9699,13.27925,13.14394,13.09139,12.65822,12.43547,11.90925,11.477,11.17776,10.77167,11.21051,10.63719,10.70614,10.13624,10.31948,9.75199,9.56251,9.12796,9.13613,9.67171,9.83687,9.44138,10.30904,9.95779,11.51518,11.29196,8.685239479166668
2021,11.35209,12.51621,11.73497,10.74445,9.98504,9.69492,10.21805,9.41461,8.4912,7.94966,7.42364,6.87415,6.45584,6.10971,5.97827,5.85057,5.90484,5.95846,6.01218,6.0842,6.36148,6.57577,6.77598,7.06911,7.52567,7.93404,8.35646,8.69188,8.03317,8.14768,8.18275,7.86226,7.53508,7.22881,6.79977,6.3262,5.88844,5.48744,5.13386,4.8231,4.53787,4.12879,3.75293,3.53998,3.46505,3.39459,3.08039,3.13327,3.24248,3.29627,3.25388,3.35258,3.18223,3.33852,3.62884,3.46223,3.61632,3.91625,4.17518,4.59935,4.86447,5.18689,5.55842,5.99378,6.58758,7.22608,7.86032,8.57426,9.05822,10.2156,11.06064,11.7005,11.63972,11.60526,11.15193,10.90489,10.65393,10.39697,10.1537,9.92374,10.26226,9.79854,10.07672,9.52617,9.60826,9.01241,8.82474,8.46035,8.65663,9.10733,9.32316,8.96895,9.96784,9.46347,10.98312,10.74164,7.402994791666664
2021,10.87014,12.07959,11.37701,10.3565,9.73464,9.44277,9.89036,9.12612,8.16545,7.61941,7.01353,6.55037,6.2584,6.02856,5.89142,5.82557,5.76977,5.73676,5.85375,5.90344,6.17703,6.39019,6.58694,6.87407,7.2252,7.63249,8.10454,8.1453,7.49234,7.42579,7.45213,7.36889,7.37496,7.08995,7.12967,7.15072,6.9941,6.52622,6.16191,6.03313,5.95751,5.53946,5.34365,5.20647,5.22928,4.86338,4.432,4.73273,5.06107,5.21729,4.75029,4.25558,4.27622,4.49904,3.81321,3.96876,4.54109,4.39081,5.0204,5.31204,5.43584,5.71883,6.26269,6.6806,6.71522,7.21469,7.87307,8.5821,9.05244,9.94074,10.62375,11.03101,11.15097,10.95258,10.68878,10.45594,10.12848,9.81911,9.51329,9.19924,9.665,9.25063,9.45032,9.09286,9.28055,8.72337,8.61171,8.31479,8.53592,8.96894,9.20486,8.90918,9.85544,9.59148,11.11574,10.87395,7.538786666666668
2021,11.01767,12.04759,11.15379,10.18704,9.43295,9.06514,9.67053,8.93508,8.37287,7.64249,7.07626,6.61592,6.13863,5.86894,5.73995,5.64141,5.67408,5.61016,5.69925,5.89182,5.96524,6.27414,6.3841,6.56816,6.93317,7.20568,7.61505,7.79324,7.19645,7.33782,7.21957,6.92138,6.62588,6.42446,6.05584,5.69413,5.3915,5.04928,4.71728,4.42075,4.14455,3.8485,3.63877,3.45794,3.30617,3.25634,3.21295,3.15976,3.33719,3.31537,3.22741,3.26552,3.32914,3.37699,3.46671,3.61169,3.78951,3.95805,4.36329,4.70551,5.05722,5.35188,5.68654,6.02741,6.48829,6.9219,7.4462,7.90133,8.16047,8.81273,9.44192,9.7907,9.89215,9.82235,9.64318,9.41759,9.0428,8.69228,8.50215,8.31219,8.85471,8.44368,8.59538,8.17079,8.46927,7.98005,7.93964,7.64069,7.88205,8.55388,8.98725,8.75536,9.69595,9.29125,10.76052,10.54166,6.854369375
2021,10.47757,11.61311,10.85526,9.97966,9.41581,9.03,9.46267,8.73126,7.82799,7.14008,6.73817,6.33607,5.97334,5.8647,5.74928,5.56038,5.43071,5.3965,5.33349,5.33953,5.34378,5.38594,5.48227,5.61919,5.86664,5.90209,6.21848,6.33814,6.01886,6.14169,6.20619,5.63403,6.45269,7.06016,6.19544,6.40388,6.20201,5.49244,5.22688,4.87139,6.01999,6.15594,5.63067,4.75099,3.77568,3.5393,3.56341,5.57898,5.8711,5.73617,5.61756,4.94217,5.45979,5.981,5.33083,5.40759,5.67953,6.03756,6.64437,6.91415,7.05764,7.46421,7.88491,8.18125,7.38158,7.48055,7.97242,8.30191,8.46151,9.23852,9.84149,10.10517,10.0361,10.08226,9.99764,9.75162,9.56865,9.22597,8.87141,8.52092,8.94002,8.47789,8.74122,8.26892,8.68843,8.05894,8.12022,7.84275,8.19934,8.77266,9.15124,8.73828,9.77522,9.42795,10.98766,10.76164,7.263881875
2021,10.70396,11.8681,11.0952,10.14893,9.50023,9.11391,9.55291,8.84322,8.03216,7.54688,6.94859,6.48423,6.15384,5.89957,5.72568,5.63682,5.57868,5.50705,5.44487,5.56107,5.58425,5.48771,5.61329,5.71249,5.80966,5.95925,6.4546,6.74845,6.54448,6.77348,6.95025,7.10367,7.16764,7.21292,6.97718,6.88497,6.816,6.45592,6.09444,5.70912,5.36966,5.12731,4.83799,4.53197,4.26138,4.06855,3.83876,3.78385,3.63929,3.66855,3.70529,3.68904,3.58725,3.60547,3.64645,3.6581,3.89584,4.044,4.2432,4.72447,5.17564,5.6372,6.06283,6.58215,7.25272,7.85496,8.7562,9.43942,10.03113,11.1725,12.09741,12.37724,12.55291,12.64174,12.44133,12.17715,11.97629,11.76432,11.64714,11.3963,11.77732,11.25153,11.42153,11.03754,11.16251,10.45354,10.07056,9.60457,9.65615,10.14803,10.19421,9.64276,10.62144,10.37211,11.77448,11.49195,7.656759374999999
