Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,index,Quality_Y
66037,2015,1,1,21.2,1.0,0,True
66037,2015,1,2,21.1,1.0,1,True
66037,2015,1,3,22.3,1.0,2,True
66037,2015,1,4,22.9,1.0,3,True
66037,2015,1,5,20.6,1.0,4,True
66037,2015,1,6,21.3,1.0,5,True
66037,2015,1,7,22.2,1.0,6,True
66037,2015,1,8,21.4,1.0,7,True
66037,2015,1,9,22.4,1.0,8,True
66037,2015,1,10,21.7,1.0,9,True
66037,2015,1,11,20.3,1.0,10,True
66037,2015,1,12,20.3,1.0,11,True
66037,2015,1,13,19.0,1.0,12,True
66037,2015,1,14,21.1,1.0,13,True
66037,2015,1,15,22.0,1.0,14,True
66037,2015,1,16,21.1,1.0,15,True
66037,2015,1,17,21.2,1.0,16,True
66037,2015,1,18,21.5,1.0,17,True
66037,2015,1,19,20.5,1.0,18,True
66037,2015,1,20,18.4,1.0,19,True
66037,2015,1,21,19.5,1.0,20,True
66037,2015,1,22,22.3,1.0,21,True
66037,2015,1,23,23.4,1.0,22,True
66037,2015,1,24,23.2,1.0,23,True
66037,2015,1,25,21.6,1.0,24,True
66037,2015,1,26,19.8,1.0,25,True
66037,2015,1,27,18.6,1.0,26,True
66037,2015,1,28,16.9,1.0,27,True
66037,2015,1,29,15.2,1.0,28,True
66037,2015,1,30,14.3,1.0,29,True
66037,2015,1,31,17.0,1.0,30,True
66037,2015,2,1,19.6,1.0,31,True
66037,2015,2,2,19.4,1.0,32,True
66037,2015,2,3,20.0,1.0,33,True
66037,2015,2,4,17.6,1.0,34,True
66037,2015,2,5,18.7,1.0,35,True
66037,2015,2,6,18.1,1.0,36,True
66037,2015,2,7,19.2,1.0,37,True
66037,2015,2,8,19.6,1.0,38,True
66037,2015,2,9,21.8,1.0,39,True
66037,2015,2,10,22.0,1.0,40,True
66037,2015,2,11,22.1,1.0,41,True
66037,2015,2,12,21.7,1.0,42,True
66037,2015,2,13,20.2,1.0,43,True
66037,2015,2,14,21.0,1.0,44,True
66037,2015,2,15,19.6,1.0,45,True
66037,2015,2,16,22.5,1.0,46,True
66037,2015,2,17,22.4,1.0,47,True
66037,2015,2,18,22.8,1.0,48,True
66037,2015,2,19,22.0,1.0,49,True
66037,2015,2,20,21.5,1.0,50,True
66037,2015,2,21,20.8,1.0,51,True
66037,2015,2,22,20.5,1.0,52,True
66037,2015,2,23,21.8,1.0,53,True
66037,2015,2,24,22.0,1.0,54,True
66037,2015,2,25,19.7,1.0,55,True
66037,2015,2,26,19.5,1.0,56,True
66037,2015,2,27,21.2,1.0,57,True
66037,2015,2,28,20.3,1.0,58,True
66037,2015,3,1,21.5,1.0,59,True
66037,2015,3,2,18.6,1.0,60,True
66037,2015,3,3,17.9,1.0,61,True
66037,2015,3,4,21.4,1.0,62,True
66037,2015,3,5,19.6,1.0,63,True
66037,2015,3,6,16.5,1.0,64,True
66037,2015,3,7,18.3,1.0,65,True
66037,2015,3,8,19.7,1.0,66,True
66037,2015,3,9,20.0,1.0,67,True
66037,2015,3,10,21.4,1.0,68,True
66037,2015,3,11,21.2,1.0,69,True
66037,2015,3,12,20.5,1.0,70,True
66037,2015,3,13,20.2,1.0,71,True
66037,2015,3,14,16.2,1.0,72,True
66037,2015,3,15,17.4,1.0,73,True
66037,2015,3,16,17.3,1.0,74,True
66037,2015,3,17,15.6,1.0,75,True
66037,2015,3,18,19.1,1.0,76,True
66037,2015,3,19,19.9,1.0,77,True
66037,2015,3,20,20.3,1.0,78,True
66037,2015,3,21,18.1,1.0,79,True
66037,2015,3,22,18.4,1.0,80,True
66037,2015,3,23,18.6,1.0,81,True
66037,2015,3,24,20.4,1.0,82,True
66037,2015,3,25,15.2,1.0,83,True
66037,2015,3,26,17.9,1.0,84,True
66037,2015,3,27,14.0,1.0,85,True
66037,2015,3,28,15.1,1.0,86,True
66037,2015,3,29,15.3,1.0,87,True
66037,2015,3,30,17.9,1.0,88,True
66037,2015,3,31,16.5,1.0,89,True
66037,2015,4,1,17.7,1.0,90,True
66037,2015,4,2,19.0,1.0,91,True
66037,2015,4,3,17.7,1.0,92,True
66037,2015,4,4,17.5,1.0,93,True
66037,2015,4,5,15.8,1.0,94,True
66037,2015,4,6,15.5,1.0,95,True
66037,2015,4,7,15.2,1.0,96,True
66037,2015,4,8,14.6,1.0,97,True
66037,2015,4,9,15.2,1.0,98,True
66037,2015,4,10,14.7,1.0,99,True
66037,2015,4,11,15.6,1.0,100,True
66037,2015,4,12,15.0,1.0,101,True
66037,2015,4,13,15.0,1.0,102,True
66037,2015,4,14,14.5,1.0,103,True
66037,2015,4,15,15.2,1.0,104,True
66037,2015,4,16,17.0,1.0,105,True
66037,2015,4,17,19.8,1.0,106,True
66037,2015,4,18,20.2,1.0,107,True
66037,2015,4,19,17.8,1.0,108,True
66037,2015,4,20,13.9,1.0,109,True
66037,2015,4,21,14.3,1.0,110,True
66037,2015,4,22,13.6,1.0,111,True
66037,2015,4,23,14.0,1.0,112,True
66037,2015,4,24,15.4,1.0,113,True
66037,2015,4,25,14.1,1.0,114,True
66037,2015,4,26,12.5,1.0,115,True
66037,2015,4,27,12.6,1.0,116,True
66037,2015,4,28,10.6,1.0,117,True
66037,2015,4,29,10.7,1.0,118,True
66037,2015,4,30,14.8,1.0,119,True
66037,2015,5,1,14.6,1.0,120,True
66037,2015,5,2,16.3,1.0,121,True
66037,2015,5,3,18.6,1.0,122,True
66037,2015,5,4,17.9,1.0,123,True
66037,2015,5,5,15.0,1.0,124,True
66037,2015,5,6,13.5,1.0,125,True
66037,2015,5,7,10.9,1.0,126,True
66037,2015,5,8,10.8,1.0,127,True
66037,2015,5,9,11.3,1.0,128,True
66037,2015,5,10,11.4,1.0,129,True
66037,2015,5,11,15.4,1.0,130,True
66037,2015,5,12,11.8,1.0,131,True
66037,2015,5,13,13.2,1.0,132,True
66037,2015,5,14,7.3,1.0,133,True
66037,2015,5,15,11.0,1.0,134,True
66037,2015,5,16,14.1,1.0,135,True
66037,2015,5,17,10.5,1.0,136,True
66037,2015,5,18,11.3,1.0,137,True
66037,2015,5,19,14.7,1.0,138,True
66037,2015,5,20,14.8,1.0,139,True
66037,2015,5,21,14.8,1.0,140,True
66037,2015,5,22,12.5,1.0,141,True
66037,2015,5,23,11.7,1.0,142,True
66037,2015,5,24,8.2,1.0,143,True
66037,2015,5,25,9.2,1.0,144,True
66037,2015,5,26,8.4,1.0,145,True
66037,2015,5,27,11.3,1.0,146,True
66037,2015,5,28,11.6,1.0,147,True
66037,2015,5,29,15.7,1.0,148,True
66037,2015,5,30,11.0,1.0,149,True
66037,2015,5,31,10.7,1.0,150,True
66037,2015,6,1,9.4,1.0,151,True
66037,2015,6,2,6.9,1.0,152,True
66037,2015,6,3,6.7,1.0,153,True
66037,2015,6,4,7.1,1.0,154,True
66037,2015,6,5,8.6,1.0,155,True
66037,2015,6,6,10.4,1.0,156,True
66037,2015,6,7,9.1,1.0,157,True
66037,2015,6,8,11.1,1.0,158,True
66037,2015,6,9,12.0,1.0,159,True
66037,2015,6,10,12.5,1.0,160,True
66037,2015,6,11,12.5,1.0,161,True
66037,2015,6,12,13.4,1.0,162,True
66037,2015,6,13,13.6,1.0,163,True
66037,2015,6,14,9.4,1.0,164,True
66037,2015,6,15,10.3,1.0,165,True
66037,2015,6,16,14.5,1.0,166,True
66037,2015,6,17,14.5,1.0,167,True
66037,2015,6,18,11.0,1.0,168,True
66037,2015,6,19,9.9,1.0,169,True
66037,2015,6,20,8.4,1.0,170,True
66037,2015,6,21,8.9,1.0,171,True
66037,2015,6,22,8.3,1.0,172,True
66037,2015,6,23,8.5,1.0,173,True
66037,2015,6,24,11.3,1.0,174,True
66037,2015,6,25,12.5,1.0,175,True
66037,2015,6,26,10.1,1.0,176,True
66037,2015,6,27,8.0,1.0,177,True
66037,2015,6,28,6.9,1.0,178,True
66037,2015,6,29,8.5,1.0,179,True
66037,2015,6,30,8.9,1.0,180,True
66037,2015,7,1,11.1,1.0,181,True
66037,2015,7,2,6.1,1.0,182,True
66037,2015,7,3,6.1,1.0,183,True
66037,2015,7,4,5.0,1.0,184,True
66037,2015,7,5,5.4,1.0,185,True
66037,2015,7,6,5.8,1.0,186,True
66037,2015,7,7,6.9,1.0,187,True
66037,2015,7,8,8.4,1.0,188,True
66037,2015,7,9,6.2,1.0,189,True
66037,2015,7,10,7.2,1.0,190,True
66037,2015,7,11,6.2,1.0,191,True
66037,2015,7,12,7.9,1.0,192,True
66037,2015,7,13,8.3,1.0,193,True
66037,2015,7,14,9.2,1.0,194,True
66037,2015,7,15,5.8,1.0,195,True
66037,2015,7,16,8.5,1.0,196,True
66037,2015,7,17,6.2,1.0,197,True
66037,2015,7,18,6.4,1.0,198,True
66037,2015,7,19,7.1,1.0,199,True
66037,2015,7,20,7.8,1.0,200,True
66037,2015,7,21,7.9,1.0,201,True
66037,2015,7,22,9.7,1.0,202,True
66037,2015,7,23,11.6,1.0,203,True
66037,2015,7,24,11.3,1.0,204,True
66037,2015,7,25,10.4,1.0,205,True
66037,2015,7,26,10.7,1.0,206,True
66037,2015,7,27,8.5,1.0,207,True
66037,2015,7,28,6.7,1.0,208,True
66037,2015,7,29,7.5,1.0,209,True
66037,2015,7,30,8.1,1.0,210,True
66037,2015,7,31,10.6,1.0,211,True
66037,2015,8,1,7.4,1.0,212,True
66037,2015,8,2,11.2,1.0,213,True
66037,2015,8,3,9.3,1.0,214,True
