Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),index,Quality_Y
66052,2015,5,14,0.8,1.0,133,True
66052,2015,5,15,0.0,,134,True
66052,2015,5,16,1.0,1.0,135,True
66052,2015,5,17,0.6,1.0,136,True
66052,2015,5,18,0.0,,137,True
66052,2015,5,19,0.4,1.0,138,True
66052,2015,5,20,1.8,1.0,139,True
66052,2015,5,21,0.0,,140,True
66052,2015,5,22,10.4,1.0,141,True
66052,2015,5,23,20.6,1.0,142,True
66052,2015,5,24,0.0,,143,True
66052,2015,5,25,0.0,,144,True
66052,2015,5,26,0.0,,145,True
66052,2015,5,27,0.0,,146,True
66052,2015,5,28,0.0,,147,True
66052,2015,5,29,0.6,1.0,148,True
66052,2015,5,30,0.0,,149,True
66052,2015,5,31,0.0,,150,True
66052,2015,6,1,0.0,,151,True
66052,2015,6,2,0.0,,152,True
66052,2015,6,3,0.0,,153,True
66052,2015,6,4,0.0,,154,True
66052,2015,6,5,0.0,,155,True
66052,2015,6,6,3.8,1.0,156,True
66052,2015,6,7,0.0,,157,True
66052,2015,6,8,0.0,,158,True
66052,2015,6,9,0.0,,159,True
66052,2015,6,10,4.2,1.0,160,True
66052,2015,6,11,4.4,1.0,161,True
66052,2015,6,12,1.6,1.0,162,True
66052,2015,6,13,0.0,,163,True
66052,2015,6,14,0.0,,164,True
66052,2015,6,15,0.2,1.0,165,True
66052,2015,6,16,9.6,1.0,166,True
66052,2015,6,17,10.4,1.0,167,True
66052,2015,6,18,2.2,1.0,168,True
66052,2015,6,19,77.2,1.0,169,True
66052,2015,6,20,13.6,1.0,170,True
66052,2015,6,21,2.0,1.0,171,True
66052,2015,6,22,4.4,1.0,172,True
66052,2015,6,23,0.0,,173,True
66052,2015,6,24,0.0,,174,True
66052,2015,6,25,0.0,,175,True
66052,2015,6,26,1.0,1.0,176,True
66052,2015,6,27,0.0,,177,True
66052,2015,6,28,0.0,,178,True
66052,2015,6,29,0.0,,179,True
66052,2015,6,30,0.0,,180,True
66052,2015,7,1,1.4,1.0,181,True
66052,2015,7,2,0.0,,182,True
66052,2015,7,3,0.0,,183,True
66052,2015,7,4,0.0,,184,True
66052,2015,7,5,0.0,,185,True
66052,2015,7,6,0.0,,186,True
66052,2015,7,7,0.0,,187,True
66052,2015,7,8,14.6,1.0,188,True
66052,2015,7,9,0.8,1.0,189,True
66052,2015,7,10,0.0,,190,True
66052,2015,7,11,0.6,1.0,191,True
66052,2015,7,12,2.2,1.0,192,True
66052,2015,7,13,4.2,1.0,193,True
66052,2015,7,14,0.8,1.0,194,True
66052,2015,7,15,0.0,,195,True
66052,2015,7,16,1.8,1.0,196,True
66052,2015,7,17,19.0,1.0,197,True
66052,2015,7,18,11.0,1.0,198,True
66052,2015,7,19,3.4,1.0,199,True
66052,2015,7,20,1.0,1.0,200,True
66052,2015,7,21,4.8,1.0,201,True
66052,2015,7,22,0.0,,202,True
66052,2015,7,23,1.4,1.0,203,True
66052,2015,7,24,0.0,,204,True
66052,2015,7,25,0.1,1.0,205,True
66052,2015,7,26,0.0,,206,True
66052,2015,7,27,0.0,,207,True
66052,2015,7,28,0.0,,208,True
66052,2015,7,29,0.0,,209,True
66052,2015,7,30,0.0,,210,True
66052,2015,7,31,0.0,,211,True
66052,2015,8,1,0.0,,212,True
66052,2015,8,2,0.0,,213,True
66052,2015,8,3,0.0,,214,True
66052,2015,8,4,0.2,1.0,215,True
66052,2015,8,5,0.0,,216,True
66052,2015,8,6,0.0,,217,True
66052,2015,8,7,0.0,,218,True
66052,2015,8,8,0.0,,219,True
66052,2015,8,9,0.0,,220,True
66052,2015,8,10,0.0,,221,True
66052,2015,8,11,0.0,,222,True
66052,2015,8,12,0.0,,223,True
66052,2015,8,13,0.0,,224,True
66052,2015,8,14,0.0,,225,True
66052,2015,8,15,0.0,,226,True
66052,2015,8,16,0.4,1.0,227,True
66052,2015,8,17,2.0,1.0,228,True
66052,2015,8,18,0.0,,229,True
66052,2015,8,19,0.0,,230,True
66052,2015,8,20,0.0,,231,True
66052,2015,8,21,0.0,,232,True
66052,2015,8,22,0.0,,233,True
66052,2015,8,23,3.4,1.0,234,True
66052,2015,8,24,5.8,1.0,235,True
66052,2015,8,25,62.2,1.0,236,True
66052,2015,8,26,3.8,1.0,237,True
66052,2015,8,27,0.1,1.0,238,True
66052,2015,8,28,0.0,,239,True
66052,2015,8,29,0.0,,240,True
66052,2015,8,30,0.0,,241,True
66052,2015,8,31,0.0,,242,True
66052,2015,9,1,0.0,,243,True
66052,2015,9,2,0.0,,244,True
66052,2015,9,3,2.8,1.0,245,True
66052,2015,9,4,28.8,1.0,246,True
66052,2015,9,5,0.0,,247,True
66052,2015,9,6,2.6,1.0,248,True
66052,2015,9,7,1.6,1.0,249,True
66052,2015,9,8,0.0,,250,True
66052,2015,9,9,0.0,,251,True
66052,2015,9,10,4.2,1.0,252,True
66052,2015,9,11,0.0,,253,True
66052,2015,9,12,0.0,,254,True
66052,2015,9,13,0.0,,255,True
66052,2015,9,14,0.0,,256,True
66052,2015,9,15,0.0,,257,True
66052,2015,9,16,0.0,,258,True
66052,2015,9,17,0.0,,259,True
66052,2015,9,18,3.8,1.0,260,True
66052,2015,9,19,16.0,1.0,261,True
66052,2015,9,20,0.0,,262,True
66052,2015,9,21,0.6,1.0,263,True
66052,2015,9,22,0.0,,264,True
66052,2015,9,23,2.8,1.0,265,True
66052,2015,9,24,6.0,1.0,266,True
66052,2015,9,25,36.8,1.0,267,True
66052,2015,9,26,7.6,1.0,268,True
66052,2015,9,27,8.0,1.0,269,True
66052,2015,9,28,1.0,1.0,270,True
66052,2015,9,29,0.0,,271,True
66052,2015,9,30,0.0,,272,True
66052,2015,10,1,0.0,,273,True
66052,2015,10,2,0.0,,274,True
66052,2015,10,3,0.0,,275,True
66052,2015,10,4,0.0,,276,True
66052,2015,10,5,0.0,,277,True
66052,2015,10,6,0.0,,278,True
66052,2015,10,7,0.0,,279,True
66052,2015,10,8,0.0,,280,True
66052,2015,10,9,0.2,1.0,281,True
66052,2015,10,10,0.0,,282,True
66052,2015,10,11,0.0,,283,True
66052,2015,10,12,3.8,1.0,284,True
66052,2015,10,13,4.4,1.0,285,True
66052,2015,10,14,4.2,1.0,286,True
66052,2015,10,15,0.0,,287,True
66052,2015,10,16,0.0,,288,True
66052,2015,10,17,0.0,,289,True
66052,2015,10,18,1.8,1.0,290,True
66052,2015,10,19,0.0,,291,True
66052,2015,10,20,0.0,,292,True
66052,2015,10,21,1.2,1.0,293,True
66052,2015,10,22,3.4,1.0,294,True
66052,2015,10,23,7.8,1.0,295,True
66052,2015,10,24,0.0,,296,True
66052,2015,10,25,0.0,,297,True
66052,2015,10,26,0.0,,298,True
66052,2015,10,27,5.4,1.0,299,True
66052,2015,10,28,2.6,1.0,300,True
66052,2015,10,29,0.0,,301,True
66052,2015,10,30,0.0,,302,True
66052,2015,10,31,0.0,,303,True
66052,2015,11,1,0.0,,304,True
66052,2015,11,2,14.2,1.0,305,True
66052,2015,11,3,0.6,1.0,306,True
66052,2015,11,4,4.0,1.0,307,True
66052,2015,11,5,15.6,1.0,308,True
66052,2015,11,6,13.4,1.0,309,True
66052,2015,11,7,9.8,1.0,310,True
66052,2015,11,8,0.8,1.0,311,True
66052,2015,11,9,0.0,,312,True
66052,2015,11,10,0.0,,313,True
