year,averagemwh,rainfall_amount,daily_global_solar_exposure,minimum_temperature,maximum_temperature
2015,11.709489081950208,1539.6,15.960821917808218,15.655068493150686,21.177808219178083
2016,12.782802480593606,1439.3,16.753005464480875,16.155494505494506,21.809016393442622
2017,13.965692959592491,1088.1000000000001,16.43598901098901,15.896986301369862,21.65890410958904
2018,13.382562423019689,1084.7,16.792328767123287,15.740109890109888,21.240934065934066
2019,13.05744289205586,984.4,17.14027397260274,15.739275766016712,21.795277777777777
2020,16.02903390439498,1510.0,15.844535519125683,15.87622950819672,21.443169398907102
2021,18.666658566701198,1400.9,15.941917808219179,15.349863013698629,20.905205479452054
2022,18.114100829904192,2620.0,15.882417582417581,15.646027397260275,20.840384615384615
2023,17.096466415289257,1081.9,17.038630136986303,15.935342465753424,21.707458563535912
