Location,MSE,RMSE,R2,Samples
Greenacre,24.935749831261315,4.993570849728811,0.10520192182212085,2997
Kurri,9.745785247372458,3.121824025689542,-0.9315745269142415,2818
Broadmeadow,8.018206761834623,2.8316438267964816,0.21475022894060425,3114
Hurstville North,6.130836220139387,2.476052547935804,0.029378990646638847,1072
City South,68.55042912647188,8.279518653066244,0.5134535088298313,2991
Waverley,3.3572637090938073,1.8322837414259308,0.465130760197876,2117
Cronulla,13.988460885750005,3.7401150899069946,0.029264581472347895,2867
Dalley St,56.31642568777815,7.504427072587097,0.7762130701377685,2969
Pennant Hills,25.43758715901037,5.043568891074094,0.07802787859889693,2907
Meadowbank,16.93570445729104,4.115301259603122,0.14669330079750575,2886
Berkeley Vale,13.17407477677963,3.6296108299347507,0.003535156562701647,2557
Morisset,237.19033321536173,15.400984813165739,0.020567375970545476,2898
Top Ryde,10.57180252254981,3.2514308423446145,0.10992647095073971,2875
Rathmines,1.2801524444407524,1.1314382194537855,0.04051872266063339,3141
Mosman,25.020155673166634,5.002015161229186,0.04693457416214941,2844
Wamberal,1.0773616266385173,1.0379603203584025,-0.0013606250735556102,3143
Darling Harbour,12.719355241815165,3.566420508270886,0.0027709218229909904,2950
Bankstown,13.56954168842547,3.683685883517414,0.19226822253952303,2333
Milperra,21.936352626533836,4.683626012667305,-0.008150679209119716,2926
Argenton,5.084401514647345,2.254861750672831,0.09518445967802314,3021
Drummoyne,12.364951116453692,3.516383243682874,0.021457641435474573,2858
Castle Cove,16.38074326243838,4.04731309172374,0.19942528594661968,2942
Wyong,6.706970452772835,2.5897819315094535,-0.004850073071898997,2819
Revesby,7.695705443070117,2.774113451730141,0.0013780146337066812,2933
Kirrawee,4.50958003927855,2.12357717996746,0.0012347942599305606,2681
Zetland,12.216035659407932,3.4951445834769026,0.11215125095463618,2448
Flemington,55.74571202225193,7.466305111784003,0.5659262164428054,2956
Rothbury,2.509933553953701,1.5842769814504347,-0.005385690946162924,3177
Rose Bay,11.325240877157965,3.3652995226514335,0.22127589070796305,1294
West Gosford,8.210295466349322,2.8653613151484616,-0.005164939416510528,2575
Jesmond,6.870521634903676,2.6211679905919185,0.021301047487595537,3100
Potts Hill,8.358772128956463,2.89115411712286,0.08616658158422619,3163
Kogarah,17.271570056128972,4.155907849811997,0.012695496541745621,2535
Campbell St,8.961182696910745,2.9935234585536064,0.16841183898741285,2955
Kingsford,10.448488521842307,3.2324121831601715,0.16476060416443516,2423
Balgowlah North,4.350724264515565,2.0858389833627053,0.030389937881448836,3068
Green Square,21.7049548995771,4.658857681833295,0.3936652406639448,2945
Homebush Bay,13.287394368693676,3.6451878372305693,0.02694908820455666,2856
St Peters,38.629145690161785,6.21523496660921,0.19304821818011164,2876
Hornsby,22.65357022961682,4.759576685968703,0.02734458679710494,2923
Maroubra,5.592970812644361,2.3649462599907762,0.5309232045318841,2937
Marrickville,14.884370526892113,3.8580267659636722,0.07592722185468903,2899
Mayfield West,4.439922681326956,2.107112403581488,-0.015274975331463603,3082
City Central,168.13598847396943,12.966726204943537,0.3178035577119478,2984
Menai,6.809311261170398,2.609465704156772,0.07694146216966635,2896
Charmhaven,6.256136317416812,2.501226962396018,0.0802837770491649,2673
Sefton,25.261647600770523,5.026096656528853,0.000798199887266704,2868
Adamstown,3.332593369326533,1.8255391996137835,-0.001069430607071764,3114
Somersby,6.0755144712673745,2.464855872311275,0.005780949528841672,2440
Maryland,2.6064244679656103,1.614442463504231,0.008925864331725375,3098
City North,103.070859668117,10.152381970164292,0.09759929036599846,2792
Double Bay,12.518059171411561,3.5380869366667014,0.192775295258522,2981
Clovelly,21.62243471776734,4.649992980399792,0.6626352110750084,3004
Macquarie Park,40.17701081849212,6.338533806685275,0.15987243811162333,2706
Lake Munmorah,1.7220434699823293,1.312266539229866,8.416642016761955e-05,2889
Galston,0.9676603542233541,0.983697287900782,0.0202503966985087,2996
Gwawley Bay,4.779626202922367,2.1862356238343494,0.002439679219992996,2240
Burwood,21.55248132110716,4.642465004833872,0.07394542812358129,2937
Charlestown,4.499354455045604,2.1211681816974353,0.011908735601520282,2980
Brandy Hill,1.3600785464173752,1.1662240549814495,-0.03426341326711113,2849
Berowra,1.9228529526720184,1.3866697345337924,0.00676684498848934,2941
