year,averagemwh,rainfall_amount,daily_global_solar_exposure,minimum_temperature,maximum_temperature
2018,,782.4,16.64027397260274,12.360821917808218,23.630769230769232
2019,,695.4,17.017808219178082,12.408219178082192,24.029945054945053
2020,,1276.2,15.474043715846994,12.537978142076502,23.143835616438356
2021,,1190.2,15.694246575342465,11.797513812154696,22.493074792243767
2022,9.057399706179744,2074.6,15.63708791208791,12.377534246575342,22.23068493150685
2023,11.207020375918272,958.6,16.66821917808219,12.116438356164384,23.667857142857144
