Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,index,Quality_Y
66194,2015,1,1,17.6,1.0,0,True
66194,2015,1,2,20.7,1.0,1,True
66194,2015,1,3,19.8,1.0,2,True
66194,2015,1,4,21.5,1.0,3,True
66194,2015,1,5,20.1,1.0,4,True
66194,2015,1,6,19.0,1.0,5,True
66194,2015,1,7,19.5,1.0,6,True
66194,2015,1,8,16.8,1.0,7,True
66194,2015,1,9,20.3,1.0,8,True
66194,2015,1,10,21.5,1.0,9,True
66194,2015,1,11,20.0,1.0,10,True
66194,2015,1,12,19.9,1.0,11,True
66194,2015,1,13,18.4,1.0,12,True
66194,2015,1,14,21.1,1.0,13,True
66194,2015,1,15,21.0,1.0,14,True
66194,2015,1,16,18.7,1.0,15,True
66194,2015,1,17,15.4,1.0,16,True
66194,2015,1,18,18.5,1.0,17,True
66194,2015,1,19,19.8,1.0,18,True
66194,2015,1,20,17.8,1.0,19,True
66194,2015,1,21,18.9,1.0,20,True
66194,2015,1,22,19.3,1.0,21,True
66194,2015,1,23,21.0,1.0,22,True
66194,2015,1,24,21.5,1.0,23,True
66194,2015,1,25,20.0,1.0,24,True
66194,2015,1,26,19.6,1.0,25,True
66194,2015,1,27,17.7,1.0,26,True
66194,2015,1,28,16.4,1.0,27,True
66194,2015,1,29,13.1,1.0,28,True
66194,2015,1,30,10.3,1.0,29,True
66194,2015,1,31,13.1,1.0,30,True
66194,2015,2,1,16.8,1.0,31,True
66194,2015,2,2,18.2,1.0,32,True
66194,2015,2,3,15.4,1.0,33,True
66194,2015,2,4,14.4,1.0,34,True
66194,2015,2,5,17.9,1.0,35,True
66194,2015,2,6,14.3,1.0,36,True
66194,2015,2,7,16.1,1.0,37,True
66194,2015,2,8,15.6,1.0,38,True
66194,2015,2,9,21.7,1.0,39,True
66194,2015,2,10,19.5,1.0,40,True
66194,2015,2,11,19.0,1.0,41,True
66194,2015,2,12,17.6,1.0,42,True
66194,2015,2,13,19.0,1.0,43,True
66194,2015,2,14,17.8,1.0,44,True
66194,2015,2,15,18.0,1.0,45,True
66194,2015,2,16,18.6,1.0,46,True
66194,2015,2,17,17.5,1.0,47,True
66194,2015,2,18,17.6,1.0,48,True
66194,2015,2,19,19.3,1.0,49,True
66194,2015,2,20,18.6,1.0,50,True
