year,averagemwh,Rainfall amount (millimetres),Daily global solar exposure (MJ/m*m),Minimum temperature (Degree C),Maximum temperature (Degree C)
2011,21.432430625,0.0,9.0,5.4,18.7
2011,25.718112500000004,0.0,11.4,5.7,17.4
2011,24.689233958333336,0.0,11.0,9.1,17.8
2011,17.881660416666662,0.0,10.2,12.3,18.1
2011,17.072799583333328,48.0,10.5,10.2,17.6
2011,22.047929895833324,68.0,10.1,7.7,15.5
2011,26.644558958333324,24.0,7.6,9.0,16.9
2011,24.2928384375,22.0,8.5,12.3,18.4
2011,22.903168749999992,0.0,10.9,10.5,18.1
2011,16.67329968749999,0.0,10.7,10.8,14.6
2011,15.227209583333329,0.0,3.4,16.4,17.8
2011,21.83120020833333,17.0,8.2,6.8,13.1
2011,22.802015625000006,31.0,10.7,6.6,11.7
2011,20.8377440625,1.0,10.8,6.9,15.7
2011,20.86275854166667,7.0,10.6,8.1,14.4
2011,16.36052770833333,0.0,10.5,6.4,17.8
2011,23.05069906249999,0.0,7.8,5.9,17.1
2011,21.3237903125,0.0,5.4,9.2,16.7
2011,22.18359281250001,0.0,9.6,7.7,17.2
2011,18.613834375,0.0,10.9,7.5,17.4
2011,22.66945656250001,4.0,8.2,10.6,19.2
2011,20.60585885416665,2.0,8.9,7.5,20.0
2011,20.69532572916665,37.0,10.1,10.5,18.9
2011,15.812219270833332,1.0,10.8,13.4,17.5
2011,20.086946041666668,0.0,10.5,11.9,16.0
2011,20.17550083333333,0.0,9.6,9.9,16.0
2011,19.536081041666662,0.0,15.6,12.5,17.7
2011,16.590222395833333,0.0,7.0,8.7,11.2
2011,15.847640416666662,0.0,7.1,9.0,17.2
2011,18.94285604166667,1.0,11.8,7.2,15.6
2011,21.722925937500005,0.0,6.2,7.7,13.1
2011,20.855455,0.0,5.2,10.3,13.9
2011,15.823173749999992,13.0,5.8,9.3,15.0
2011,15.6486209375,0.0,7.7,6.7,14.2
2011,19.47181010416668,0.0,12.2,8.5,15.1
2011,20.645845416666663,0.0,3.6,10.2,16.2
2011,19.589031354166664,0.0,6.8,10.2,17.9
2011,15.80948010416666,0.0,4.6,10.2,18.8
2011,15.10651958333334,0.0,2.8,8.9,20.7
2011,19.3684665625,0.0,6.4,11.2,24.6
2011,20.71705395833333,0.0,9.9,13.1,24.0
2011,20.56185468750001,0.0,11.2,16.4,21.6
2011,19.31875916666667,0.0,5.4,16.7,16.2
2011,14.909508229166656,0.0,8.9,14.0,17.1
2011,18.2537721875,0.0,6.4,11.5,14.8
2011,19.84154927083333,0.0,7.0,10.5,16.2
2011,20.43240104166666,0.0,8.7,10.8,17.2
2011,19.91074989583333,0.0,11.3,11.9,19.4
2011,15.319050729166662,0.0,13.4,12.0,18.6
2011,20.25766489583333,0.0,13.9,12.1,18.2
2011,19.962603958333336,0.0,13.5,12.2,17.6
2011,20.63981947916666,0.0,7.6,12.6,19.0
2011,15.457269270833327,0.0,7.9,11.7,17.0
2011,19.50814510416667,0.0,14.1,11.8,20.3
2011,21.533035,0.0,14.9,9.2,20.5
2011,21.0402334375,0.0,14.3,9.5,20.5
2011,16.110748437499993,0.0,15.7,14.1,18.7
2011,15.969243020833336,0.0,15.6,16.5,17.6
2011,23.55253552083333,0.0,14.6,13.1,21.7
2011,21.21314239583333,0.0,12.8,14.7,17.9
2011,21.169870208333343,0.0,16.1,14.0,20.2
2011,20.535380000000004,57.0,10.7,13.0,19.5
2011,16.167167812499994,0.0,14.5,13.6,18.4
2011,16.031871145833332,19.0,15.8,14.8,19.7
2011,19.91914854166667,1.0,16.0,13.9,19.7
2011,20.2567521875,14.0,16.0,15.0,22.5
2011,15.225201770833328,6.0,14.4,13.3,26.3
2011,15.742287812499995,2.0,15.5,12.8,25.4
2011,21.168591458333324,0.0,2.7,16.6,24.0
2011,20.6960565625,0.0,0.2,17.4,21.5
2011,20.340809166666663,0.0,3.2,15.5,18.3
2011,20.933105520833333,10.0,8.2,15.2,19.9
2011,16.563044374999997,0.0,2.2,14.5,19.1
2011,16.025940729166663,0.0,9.2,14.8,17.7
2011,19.634376354166665,0.0,7.3,15.3,23.1
2011,21.22085947916668,0.0,18.0,13.1,19.4
2011,21.210499375,0.0,11.6,11.5,19.4
2011,16.855441250000002,0.0,2.3,11.6,22.0
2011,16.138469375000003,0.0,4.3,13.7,21.5
2011,18.8425640625,4.0,6.8,18.3,23.4
2011,21.62382114583333,0.0,16.0,18.1,23.5
2011,21.66883187500001,0.0,4.1,18.0,22.0
2011,20.976153125,0.0,14.5,15.4,22.2
2011,17.00387302083334,5.0,18.7,15.3,22.0
2011,16.166334583333327,1.0,18.4,15.2,21.7
2011,19.68617541666667,30.0,21.5,16.2,22.2
2011,22.29077947916665,0.0,15.0,14.0,21.6
2011,21.964980416666663,0.0,11.1,15.9,19.2
2011,17.61010135416666,4.0,18.7,15.7,21.6
2011,17.025843020833335,0.0,8.5,13.7,25.0
2011,21.109401562500008,0.0,15.6,21.1,24.4
2011,16.63788510416667,0.0,19.7,13.2,23.3
2011,23.24495552083334,4.0,15.5,18.2,23.9
2011,21.31963520833334,16.0,16.0,13.8,20.8
