Location,MSE,RMSE,R2,Samples
Greenacre,6.335496541283142,2.5170412275692153,0.772656119514975,2997
Kurri,28.978254556299785,5.383145414745898,-4.743370792053535,2818
Broadmeadow,2.546091607765764,1.5956477079122962,0.7506527442506538,3114
Hurstville North,1.6865780083595323,1.2986831824427127,0.7329845407630393,1072
City South,58.13119263407751,7.624381459113749,0.5874055324808256,2991
Waverley,0.6818190731949878,0.8257233636000545,0.8913746190462866,2117
Cronulla,4.566361533671239,2.1369046618113874,0.6831153254999964,2867
Dalley St,48.20579575814156,6.9430393746644965,0.8084426186049399,2969
Pennant Hills,10.577123798895009,3.2522490370349884,0.6166376470287558,2907
Meadowbank,7.489151071993679,2.736631336514599,0.6226585792644406,2886
Berkeley Vale,8.828860941479908,2.9713399235832827,0.3321998178355552,2557
Morisset,3.4581196938066046,1.8596020256513501,0.9857203487174259,2898
Top Ryde,5.2427377255669985,2.2897025408482645,0.558597310220129,2875
Rathmines,0.5118421926613939,0.715431473071596,0.6163714697076724,3141
Mosman,5.895166136615099,2.4279963213759403,0.7754418838247439,2844
Wamberal,0.34202452107001263,0.5848286253852599,0.6821031307029599,3143
Darling Harbour,4.06660902548443,2.0165835032262933,0.6811677406054264,2950
Bankstown,7.220946672146281,2.687181920180746,0.5701705905502243,2333
Milperra,18.36717230208337,4.285693911385106,0.15588167519250284,2926
Argenton,2.759750994585434,1.6612498290700992,0.5088771844382693,3021
Drummoyne,4.002728459325762,2.0006819985509345,0.683230502863052,2858
Castle Cove,5.664635451014875,2.3800494639849137,0.7231527389351309,2942
Wyong,4.2406618137227445,2.0592867245050517,0.3646566115956559,2819
Revesby,3.227773759646126,1.7966006121690279,0.5811526488356435,2933
Kirrawee,2.8272278537057147,1.6814362472914977,0.37383597044832817,2681
Zetland,7.016871532538475,2.6489378121312086,0.49002108490257534,2448
Flemington,21.379392011943235,4.623785463442615,0.833525606829234,2956
Rothbury,0.38519258292329966,0.6206388506396451,0.8457062297447486,3177
Rose Bay,2.4662166856439733,1.5704192706548061,0.8304228216705968,1294
West Gosford,7.049435432242449,2.655077293082529,0.13695610977551342,2575
Jesmond,3.3408394946372395,1.8277963493336011,0.5241007469792536,3100
Potts Hill,3.7590126636457097,1.9388173363279249,0.5890411487127843,3163
Kogarah,7.420333620139747,2.7240289315900714,0.5758272828400495,2535
Campbell St,4.774478420420285,2.185057990173324,0.5569335138317923,2955
Kingsford,2.959199780856236,1.7202324787238021,0.7634451880813004,2423
Balgowlah North,1.2943977172618972,1.1377160090558176,0.7115282480030563,3068
Green Square,6.286708205482362,2.5073308926989197,0.8243788238941966,2945
Homebush Bay,7.264095662691044,2.695198631398258,0.468042062136389,2856
St Peters,9.718329034256527,3.117423460849765,0.796986891881936,2876
Hornsby,8.222115991865474,2.8674232320788424,0.6469746028370154,2923
Maroubra,1.970851570448547,1.4038702113972457,0.8347066755794113,2937
Marrickville,6.958429436871504,2.6378835146517567,0.5679968320030406,2899
Mayfield West,2.403327640773066,1.5502669579053365,0.4504322290427708,3082
City Central,55.67800270752453,7.4617694086271875,0.7740915808357216,2984
Menai,3.0581899179849343,1.748768114412238,0.5854370279414371,2896
Charmhaven,2.946054680903794,1.7164074926729358,0.5668997371134259,2673
Sefton,10.666866928905261,3.2660169823357106,0.578081651467578,2868
Adamstown,1.2708606277165981,1.1273245440939348,0.6182493379844007,3114
Somersby,3.636995074145483,1.907090735687603,0.4048290385471014,2440
Maryland,0.9995286003342174,0.9997642723833541,0.6199364471032793,3098
City North,47.53819632597357,6.894794871928648,0.5837960191909715,2792
Double Bay,5.606571909416405,2.367820075389261,0.6384612588725934,2981
Clovelly,3.6366533308939655,1.9070011355250855,0.9432589900543312,3004
Macquarie Park,16.16453295902373,4.020514016767474,0.6619890482823483,2706
Lake Munmorah,0.7334872889092592,0.8564387245502502,0.5740957956668542,2889
Galston,0.329791965359677,0.5742751651949412,0.666087852186014,2996
Gwawley Bay,2.650955724151696,1.628175581487358,0.44671651499829346,2240
Burwood,7.145813271639953,2.673165402970784,0.6929628217101533,2937
Charlestown,2.020418218738364,1.4214141615793632,0.5563013289321568,2980
Brandy Hill,0.2720469871073271,0.5215812373037657,0.7931235323167043,2849
Berowra,0.8780359686561581,0.93703573499422,0.5464580720277796,2941
