Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),index,Quality_Y
66194,2015,1,1,0.2,1.0,0,False
66194,2015,1,2,0.2,1.0,1,False
66194,2015,1,3,0.0,1.0,2,False
66194,2015,1,4,0.0,1.0,3,False
66194,2015,1,5,0.0,1.0,4,False
66194,2015,1,6,0.0,1.0,5,False
66194,2015,1,7,0.0,1.0,6,False
66194,2015,1,8,0.0,1.0,7,False
66194,2015,1,9,0.0,1.0,8,False
66194,2015,1,10,0.2,1.0,9,False
66194,2015,1,13,5.6,1.0,12,False
66194,2015,1,14,0.8,1.0,13,False
66194,2015,1,15,0.0,1.0,14,False
66194,2015,1,16,0.0,1.0,15,False
66194,2015,1,17,0.0,1.0,16,False
66194,2015,1,18,0.0,1.0,17,False
66194,2015,1,19,0.0,1.0,18,False
66194,2015,1,20,2.6,1.0,19,False
66194,2015,1,21,12.2,1.0,20,False
66194,2015,1,22,0.0,1.0,21,False
66194,2015,1,23,0.0,1.0,22,False
66194,2015,1,24,0.0,1.0,23,False
66194,2015,1,25,0.8,1.0,24,False
66194,2015,1,26,0.0,1.0,25,False
66194,2015,1,27,34.6,1.0,26,False
66194,2015,1,28,63.8,1.0,27,False
66194,2015,1,29,8.0,1.0,28,False
66194,2015,1,30,0.0,1.0,29,False
66194,2015,1,31,0.0,1.0,30,False
66194,2015,2,1,0.0,1.0,31,False
66194,2015,2,2,0.0,1.0,32,False
66194,2015,2,3,0.0,1.0,33,False
66194,2015,2,4,0.0,1.0,34,False
66194,2015,2,5,3.2,1.0,35,False
66194,2015,2,6,1.6,1.0,36,False
66194,2015,2,7,0.0,1.0,37,False
66194,2015,2,8,0.0,1.0,38,False
66194,2015,2,9,0.0,1.0,39,False
66194,2015,2,10,0.0,1.0,40,False
66194,2015,2,11,0.0,1.0,41,False
66194,2015,2,12,0.2,1.0,42,False
66194,2015,2,13,1.2,1.0,43,False
66194,2015,2,14,9.6,1.0,44,False
66194,2015,2,15,0.8,1.0,45,False
66194,2015,2,16,0.2,1.0,46,False
66194,2015,2,17,0.0,1.0,47,False
66194,2015,2,18,0.0,1.0,48,False
66194,2015,2,19,2.4,1.0,49,False
66194,2015,2,20,0.2,1.0,50,False
66194,2015,2,21,1.6,1.0,51,False
66194,2015,2,22,4.8,1.0,52,False
66194,2015,2,23,0.6,1.0,53,False
66194,2015,2,24,0.2,1.0,54,False
66194,2015,2,25,0.0,1.0,55,False
66194,2015,2,26,5.6,1.0,56,False
66194,2015,2,27,18.8,1.0,57,False
66194,2015,2,28,0.2,1.0,58,False
66194,2015,3,1,0.0,1.0,59,False
66194,2015,3,2,7.2,1.0,60,False
66194,2015,3,3,0.0,1.0,61,False
66194,2015,3,4,0.0,1.0,62,False
66194,2015,3,5,0.0,1.0,63,False
66194,2015,3,6,0.0,1.0,64,False
66194,2015,3,7,0.4,1.0,65,False
66194,2015,3,8,0.0,1.0,66,False
66194,2015,3,9,0.0,1.0,67,False
66194,2015,3,10,0.0,1.0,68,False
66194,2015,3,11,0.0,1.0,69,False
66194,2015,3,12,0.4,1.0,70,False
66194,2015,3,13,0.4,1.0,71,False
66194,2015,3,14,0.2,1.0,72,False
66194,2015,3,15,0.0,1.0,73,False
66194,2015,3,16,0.0,1.0,74,False
66194,2015,3,17,0.0,1.0,75,False
66194,2015,3,18,0.0,1.0,76,False
66194,2015,3,19,0.6,1.0,77,False
66194,2015,3,20,0.0,1.0,78,False
66194,2015,3,21,2.2,1.0,79,False
66194,2015,3,22,1.8,1.0,80,False
66194,2015,3,23,1.2,1.0,81,False
66194,2015,3,24,0.2,1.0,82,False
66194,2015,3,25,22.2,1.0,83,False
66194,2015,3,26,0.0,1.0,84,False
66194,2015,3,27,0.0,1.0,85,False
66194,2015,3,28,0.0,1.0,86,False
66194,2015,3,29,0.0,1.0,87,False
66194,2015,3,30,0.0,1.0,88,False
66194,2015,3,31,0.8,1.0,89,False
66194,2015,4,1,18.0,1.0,90,False
66194,2015,4,2,1.0,1.0,91,False
66194,2015,4,3,1.4,1.0,92,False
66194,2015,4,4,21.8,1.0,93,False
66194,2015,4,5,11.4,1.0,94,False
66194,2015,4,6,0.0,1.0,95,False
66194,2015,4,7,2.4,1.0,96,False
66194,2015,4,8,0.2,1.0,97,False
66194,2015,4,9,0.2,1.0,98,False
66194,2015,4,10,0.0,1.0,99,False
66194,2015,4,11,4.0,1.0,100,False
66194,2015,4,12,0.0,1.0,101,False
66194,2015,4,13,0.0,1.0,102,False
66194,2015,4,14,0.0,1.0,103,False
66194,2015,4,15,0.0,1.0,104,False
66194,2015,4,16,0.4,1.0,105,False
66194,2015,4,17,0.8,1.0,106,False
66194,2015,4,18,0.6,1.0,107,False
66194,2015,4,19,2.4,1.0,108,False
66194,2015,4,20,5.4,1.0,109,False
66194,2015,4,21,123.0,1.0,110,False
66194,2015,4,22,101.8,1.0,111,False
66194,2015,4,23,57.2,1.0,112,False
66194,2015,4,24,0.0,1.0,113,False
66194,2015,4,25,0.2,1.0,114,False
66194,2015,4,26,32.4,1.0,115,False
66194,2015,4,27,1.4,1.0,116,False
66194,2015,4,28,0.4,1.0,117,False
66194,2015,4,29,0.0,1.0,118,False
66194,2015,4,30,11.2,1.0,119,False
66194,2015,5,1,12.4,1.0,120,False
66194,2015,5,2,10.2,1.0,121,False
66194,2015,5,3,35.4,1.0,122,False
66194,2015,5,4,0.4,1.0,123,False
66194,2015,5,5,0.0,1.0,124,False
66194,2015,5,6,0.0,1.0,125,False
66194,2015,5,7,0.0,1.0,126,False
66194,2015,5,8,0.0,1.0,127,False
66194,2015,5,9,0.0,1.0,128,False
66194,2015,5,10,0.0,1.0,129,False
66194,2015,5,11,0.8,1.0,130,False
66194,2015,5,12,0.6,1.0,131,False
66194,2015,5,13,0.2,1.0,132,False
66194,2015,5,14,1.6,1.0,133,False
66194,2015,5,15,0.2,1.0,134,False
66194,2015,5,16,2.4,1.0,135,False
66194,2015,5,17,0.4,1.0,136,False
66194,2015,5,18,0.2,1.0,137,False
66194,2015,5,19,0.2,1.0,138,False
66194,2015,5,20,2.0,1.0,139,False
66194,2015,5,21,0.0,1.0,140,False
66194,2015,5,22,8.6,1.0,141,False
66194,2015,5,23,29.0,1.0,142,False
66194,2015,5,24,0.0,1.0,143,False
66194,2015,5,25,0.0,1.0,144,False
66194,2015,5,26,0.0,1.0,145,False
66194,2015,5,27,0.2,1.0,146,False
66194,2015,5,28,0.0,1.0,147,False
66194,2015,5,29,0.4,1.0,148,False
66194,2015,5,30,0.0,1.0,149,False
66194,2015,5,31,0.0,1.0,150,False
66194,2015,6,1,0.0,1.0,151,False
66194,2015,6,2,0.0,1.0,152,False
66194,2015,6,3,0.0,1.0,153,False
66194,2015,6,4,0.0,1.0,154,False
66194,2015,6,5,0.0,1.0,155,False
66194,2015,6,6,0.0,1.0,156,False
66194,2015,6,7,0.0,1.0,157,False
66194,2015,6,8,0.0,1.0,158,False
66194,2015,6,9,0.0,1.0,159,False
66194,2015,6,10,0.8,1.0,160,False
66194,2015,6,11,6.0,1.0,161,False
66194,2015,6,12,0.2,1.0,162,False
66194,2015,6,13,0.0,1.0,163,False
66194,2015,6,14,0.2,1.0,164,False
66194,2015,6,15,0.0,1.0,165,False
66194,2015,6,16,1.6,1.0,166,False
66194,2015,6,17,10.6,1.0,167,False
66194,2015,6,18,1.8,1.0,168,False
66194,2015,6,19,54.2,1.0,169,False
66194,2015,6,20,1.0,1.0,170,False
66194,2015,6,21,0.2,1.0,171,False
66194,2015,6,22,4.6,1.0,172,False
66194,2015,6,23,0.0,1.0,173,False
66194,2015,6,24,0.0,1.0,174,False
66194,2015,6,25,0.0,1.0,175,False
66194,2015,6,26,1.8,1.0,176,False
66194,2015,6,27,0.2,1.0,177,False
66194,2015,6,28,0.0,1.0,178,False
66194,2015,6,29,0.0,1.0,179,False
66194,2015,6,30,0.0,1.0,180,True
66194,2015,7,1,2.2,1.0,181,False
66194,2015,7,2,0.2,1.0,182,False
66194,2015,7,3,0.0,1.0,183,False
66194,2015,7,4,0.0,1.0,184,False
66194,2015,7,5,0.0,1.0,185,False
66194,2015,7,6,0.0,1.0,186,False
66194,2015,7,7,0.0,1.0,187,False
66194,2015,7,8,0.4,1.0,188,False
66194,2015,7,9,0.0,1.0,189,False
66194,2015,7,10,0.0,1.0,190,False
66194,2015,7,11,0.8,1.0,191,False
66194,2015,7,12,7.0,1.0,192,False
66194,2015,7,13,5.6,1.0,193,False
66194,2015,7,14,0.2,1.0,194,False
66194,2015,7,15,0.0,1.0,195,False
66194,2015,7,16,0.0,1.0,196,False
66194,2015,7,17,26.4,1.0,197,False
66194,2015,7,18,5.0,1.0,198,False
66194,2015,7,19,0.2,1.0,199,False
66194,2015,7,20,0.0,1.0,200,False
66194,2015,7,21,0.6,1.0,201,False
66194,2015,7,22,0.2,1.0,202,False
66194,2015,7,23,3.6,1.0,203,False
66194,2015,7,24,0.8,1.0,204,False
