Location,MSE,RMSE,R2,Samples
Greenacre,32.90248084920831,5.736068413923278,-0.18067741416969696,2997
Kurri,444.95384067396003,21.09392900040104,-87.18801999871654,2818
Broadmeadow,11.096154738890448,3.331089122027576,-0.08668349759038874,3114
Hurstville North,6.430827495928715,2.5359076276411794,-0.018114992955033715,1072
City South,145.56013900737182,12.064830666336425,-0.03313393936041398,2991
Waverley,6.015920133414288,2.4527372736219197,0.041561549140826215,2117
Cronulla,15.235834250935627,3.9033106782493787,-0.05729744387149971,2867
Dalley St,269.71354429146027,16.422957842345582,-0.07177196141455244,2969
Pennant Hills,27.98854359085659,5.290419982464208,-0.014430211013504168,2907
Meadowbank,21.350073606512456,4.620613985880281,-0.07572500942293448,2886
Berkeley Vale,13.900025932771992,3.728273854315425,-0.05137456706161525,2557
Morisset,252.56997562071092,15.89245027114167,-0.04293994877370877,2898
Top Ryde,13.439503256239309,3.6659928063540046,-0.13151433413881075,2875
Rathmines,1.4726777396028174,1.2135393440687523,-0.10378004185325662,3141
Mosman,28.08029751743842,5.29908459240258,-0.06963206227420926,2844
Wamberal,1.1229471167311862,1.0596919914443,-0.04373034915209373,3143
Darling Harbour,13.238243928808208,3.638439765724892,-0.03791124147609026,2950
Bankstown,17.338173964315136,4.163913299327345,-0.03206094912261115,2333
Milperra,24.9775377733125,4.997753272552828,-0.14791743640543897,2926
Argenton,6.106004753011971,2.471033134745864,-0.08661913774689123,3021
Drummoyne,13.547470379768239,3.6806888458233247,-0.0721250325333711,2858
Castle Cove,21.802392344109197,4.669303196849525,-0.06554652233567948,2942
Wyong,7.104058939016898,2.665344056405645,-0.06434256632619584,2819
Revesby,8.3672481545654,2.892619600736571,-0.08576374524427388,2933
Kirrawee,4.858589542458756,2.2042208470248066,-0.07606254722483996,2681
Zetland,15.081778630087697,3.883526571312175,-0.09612796355830588,2448
Flemington,138.87100437422814,11.784354219651926,-0.08134348111020517,2956
Rothbury,2.8899345845941347,1.6999807600658705,-0.1575999191470956,3177
Rose Bay,15.446423556527147,3.9301938319282863,-0.06209682922193682,1294
West Gosford,9.528624546161062,3.0868470234465883,-0.16656451085351875,2575
Jesmond,7.385144663261571,2.717562264836184,-0.052006489488044094,3100
Potts Hill,10.28894794201158,3.2076389980812334,-0.1248523496864613,3163
Kogarah,18.842074391722928,4.340745833577788,-0.07708012884689097,2535
Campbell St,11.66750628583144,3.4157731607692337,-0.08273209284999905,2955
Kingsford,13.572646921306553,3.6841073438903154,-0.08498079801141012,2423
Balgowlah North,4.119693059713166,2.0297027022973504,0.08187795854660573,3068
Green Square,37.990225023003205,6.1636210966446665,-0.06126891546289448,2945
Homebush Bay,13.975394440429397,3.7383678845760215,-0.023433934872946205,2856
St Peters,50.79958660473061,7.127382872045714,-0.061188804308486056,2876
Hornsby,25.05461875992288,5.005458896037693,-0.07574701539599227,2923
Maroubra,12.524860967548557,3.539048031257637,-0.05044739962867806,2937
Marrickville,16.465332546744545,4.057749690006093,-0.02222432329717061,2899
Mayfield West,4.8343678803816506,2.1987196002177383,-0.10547256850670794,3082
City Central,270.866577690577,16.45802472019583,-0.09901644087256178,2984
Menai,8.28160906825116,2.877778495341704,-0.12264069951010148,2896
Charmhaven,7.1741707117008735,2.6784642449920577,-0.054676697405222185,2673
Sefton,27.50176473138226,5.2442124986867436,-0.0878076228502156,2868
Adamstown,3.1976677259733535,1.7882023727680694,0.039460547700229553,3114
Somersby,6.421787988584391,2.534124698704543,-0.05088449489045477,2440
Maryland,2.8093590817266745,1.6761142806284643,-0.0682385612644647,3098
City North,119.72739168190827,10.94200126493816,-0.04823112530808582,2792
Double Bay,17.46860687979992,4.179546252860461,-0.1264598479447332,2981
Clovelly,63.41639328990838,7.963441045798504,0.010543520380978055,3004
Macquarie Park,53.691127572359264,7.327422983038393,-0.12271657804971814,2706
Lake Munmorah,1.7269658515335942,1.3141407274464916,-0.0027740467073336106,2889
Galston,1.0081390999715623,1.004061302895178,-0.020734061242603463,2996
Gwawley Bay,5.203152854716054,2.2810420545698085,-0.08595497021177012,2240
Burwood,25.740098957022834,5.073470109996001,-0.10598570830720155,2937
Charlestown,4.5883328512738935,2.142039414033713,-0.007631573327634422,2980
Brandy Hill,1.4703338807516515,1.2125732475820385,-0.1181064080116816,2849
Berowra,2.004390261889011,1.4157649034670308,-0.035350550817676796,2941
