year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,Date_01JUN2018,Date_01MAY2018,Date_02APR2019,Date_02JUN2018,Date_02MAY2018,Date_03APR2019,Date_03JUN2018,Date_03MAY2018,Date_04APR2019,Date_04JUN2018,Date_04MAY2018,Date_05APR2019,Date_05JUN2018,Date_05MAY2018,Date_06APR2019,Date_06MAY2018,Date_07APR2019,Date_07MAY2018,Date_08APR2019,Date_08MAY2018,Date_09APR2019,Date_09MAY2018,Date_10APR2019,Date_10MAY2018,Date_11APR2019,Date_11MAY2018,Date_12APR2019,Date_12MAY2018,Date_13APR2019,Date_13MAY2018,Date_14APR2019,Date_14MAY2018,Date_15APR2019,Date_15MAR2019,Date_15MAY2018,Date_16APR2019,Date_16MAR2019,Date_16MAY2018,Date_17APR2019,Date_17MAR2019,Date_17MAY2018,Date_18APR2019,Date_18MAR2019,Date_18MAY2018,Date_19APR2019,Date_19MAR2019,Date_19MAY2018,Date_20APR2019,Date_20MAR2019,Date_20MAY2018,Date_21APR2019,Date_21MAR2019,Date_21MAY2018,Date_22APR2019,Date_22MAR2019,Date_22MAY2018,Date_23APR2019,Date_23MAR2019,Date_23MAY2018,Date_24APR2019,Date_24MAR2019,Date_24MAY2018,Date_25APR2019,Date_25MAR2019,Date_25MAY2018,Date_26APR2019,Date_26MAR2019,Date_26MAY2018,Date_27APR2019,Date_27MAR2019,Date_27MAY2018,Date_28APR2019,Date_28MAR2019,Date_28MAY2018,Date_29APR2019,Date_29MAR2019,Date_29MAY2018,Date_30APR2019,Date_30MAR2019,Date_30MAY2018,Date_31MAR2019,Date_31MAY2018
2019,0.87686,0.88007,0.86723,0.86143,0.83544,0.8474,0.84265,0.85107,0.83503,0.79289,0.75751,0.84312,0.79292,0.83068,0.81236,0.81563,0.84718,0.88838,0.87713,0.9687,0.95153,0.97493,1.04783,1.01147,1.12018,1.18454,1.06728,1.21105,1.86592,2.02365,2.07788,2.09932,2.10248,2.08227,1.9314,1.75349,1.78766,1.53306,1.91458,1.9188,2.01235,2.0278,1.75563,1.72605,1.68185,2.04619,1.94378,1.74107,1.75897,2.10098,1.9793,1.74327,1.85675,2.23759,2.37256,1.94588,1.75946,1.7305,2.01019,1.96746,1.78942,1.94157,2.39519,2.56336,2.5771,2.28216,2.33682,2.42159,2.49712,2.35042,2.14849,1.6618,1.85271,1.66786,1.49861,1.64743,1.44391,1.70745,1.45384,1.40366,1.33024,1.33324,1.37012,1.33392,1.3395,1.32746,1.29309,1.22096,1.27355,1.19052,1.02915,1.04471,0.991,0.94822,0.9217,1.0065,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,0.86489,0.84843,0.87705,0.84526,0.79663,0.83947,0.82573,0.85705,0.83727,0.79264,0.78164,0.85036,0.8279,0.82425,0.8222,0.83167,0.88413,0.94796,0.91017,0.87858,0.906,0.98934,0.97893,1.01038,1.05515,1.07517,1.07787,1.14957,1.44568,1.60099,1.83134,1.89948,1.78902,1.59175,1.56942,1.50397,1.41415,1.48638,1.53313,1.48852,1.58554,1.54719,1.81056,2.0878,1.68182,1.83437,1.8174,1.97127,2.20265,2.07539,1.87612,2.11851,2.0685,1.88864,1.86015,1.82637,2.06922,1.98615,1.80892,1.7568,1.81528,2.22307,2.04809,1.80557,1.86459,2.26782,2.61512,2.46216,1.89001,1.61805,1.57787,1.84787,1.83081,1.55514,1.49776,1.4958,1.56763,1.58557,1.90313,1.56482,1.37754,1.43367,1.39138,1.32889,1.29988,1.2912,1.27578,1.25162,1.18112,1.17099,1.11571,1.0318,0.97289,0.99007,0.96415,0.98259,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,0.91145,0.87426,0.864,0.8663,0.84828,0.85196,0.83391,0.8391,0.83364,0.82469,0.87476,0.81428,0.88938,0.81819,0.83753,0.85344,0.86499,0.95657,0.8667,0.8987,0.87283,1.0458,0.97239,1.02054,1.05105,1.10232,0.98836,1.09356,1.64352,1.89162,2.02293,2.06399,2.09088,2.06851,2.03828,2.0963,2.09568,2.18079,2.22304,2.2988,2.36044,2.63494,2.63515,2.43695,2.4161,2.66376,2.76236,2.66363,2.49929,2.50654,2.79256,2.85034,2.97986,2.87376,2.79262,2.81219,2.81824,2.77366,2.72781,2.70938,2.72772,2.62791,2.59495,2.67703,2.56441,2.68361,2.55728,2.4659,2.10817,1.77015,1.80203,1.86975,1.76581,1.71002,1.62594,1.68518,1.89784,1.69943,1.70958,1.57655,1.40345,1.37455,1.31715,1.3216,1.22744,1.30307,1.22746,1.21783,1.20331,1.22066,1.07115,0.97638,0.98602,0.99593,0.95279,1.00871,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,0.92243,0.84672,0.91986,0.89275,0.88819,0.91798,0.88194,0.86425,0.85055,0.89827,0.87613,0.87789,0.85454,0.848,0.82498,0.80461,0.87142,0.87829,0.88598,0.87939,0.91533,0.99426,1.00823,1.00996,1.05482,1.09206,1.05402,1.14469,1.56172,2.0175,1.99073,2.07424,2.10705,2.1224,2.16936,2.17599,2.09653,2.24163,2.22202,2.32596,2.65767,2.76312,2.78785,2.71291,2.6584,2.66092,2.64682,2.73683,2.77757,2.73296,2.77655,2.69573,2.7526,2.69522,2.67687,2.64667,2.66775,2.59737,2.64384,2.81615,2.59127,2.63912,2.61158,2.40491,1.98527,2.1414,2.28456,2.36737,1.71322,1.74635,1.69417,1.67159,1.54428,1.4189,1.321,1.30487,1.29566,1.25502,1.26674,1.26279,1.16997,1.13357,1.24487,1.19308,1.16821,1.15853,1.15497,1.046,1.08581,1.03373,1.02595,1.03203,0.98138,1.00095,0.97354,0.98077,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,0.88061,0.83132,0.8851,0.82321,0.85165,0.82588,0.77984,0.78485,0.84123,0.81488,0.87715,0.83072,0.87123,0.80358,0.84109,0.83914,0.83956,0.88327,0.90329,0.89651,0.92499,0.9539,0.93318,1.02529,0.9982,1.00501,0.91493,0.90955,0.96684,1.05248,1.06345,1.33812,1.15678,1.39486,1.48725,1.41258,1.44342,1.69885,1.38539,1.54605,1.97627,1.92496,1.8799,1.97011,1.72659,2.03173,2.12131,2.20331,1.97239,2.01413,2.2166,2.04653,2.10619,2.07683,2.00049,2.04565,1.57557,1.39275,1.43615,1.87709,1.5882,1.69998,1.76977,1.85148,1.44241,1.5167,1.64785,1.52939,1.45408,1.81114,1.6316,1.49058,1.45817,1.38444,1.34123,1.29933,1.3216,1.34522,1.31118,1.33241,1.21045,1.28453,1.31268,1.3362,1.28543,1.25365,1.1324,1.10897,0.98403,0.98808,0.96439,0.93393,0.93224,0.8579,0.89337,0.84787,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,0.86049,0.58111,0.78189,0.71103,0.68174,0.66671,0.76597,0.66551,0.74875,0.72429,0.79154,0.53798,0.7909,0.3083,0.68651,0.60717,0.70769,0.52409,0.70449,0.76104,0.67232,0.65889,0.82299,0.50999,0.747,0.80771,0.56044,0.29551,0.667,0.79547,0.78317,0.6002,0.6005,0.77998,0.81592,0.8629,0.8621,1.00449,0.99696,1.06359,1.10665,1.18037,1.10404,1.15187,1.1221,1.46042,1.31055,1.21509,1.17032,1.4393,1.40882,1.18827,1.22861,1.21057,1.54826,1.43507,1.1688,1.27752,1.36836,1.56854,1.39715,1.22171,1.25084,1.44027,1.51581,1.45555,1.3561,1.255,1.33581,1.54763,1.3298,1.36141,1.35568,1.23959,1.20084,1.25568,1.15024,1.14135,1.12723,1.15208,0.99862,1.02663,1.0159,1.0389,0.94284,0.94613,0.92147,0.94022,0.93896,0.90911,0.9245,0.86795,0.85919,0.88179,0.85722,0.89922,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,0.80337,0.84718,0.84551,0.86311,0.85183,0.86611,0.8308,0.85566,0.81353,0.88374,0.83573,0.88655,0.83291,0.91033,0.87722,0.92807,0.88584,0.94805,0.90073,0.98596,0.9615,0.99883,0.98074,1.00255,1.07955,1.10231,1.09321,1.14232,1.68341,1.98464,2.08462,2.12885,2.24425,2.28446,2.36202,2.12599,2.13041,1.95904,1.87903,2.00019,2.2474,2.4467,1.99329,2.11837,2.007,2.4233,2.32978,2.07172,2.25628,2.64904,2.67404,2.27102,2.17477,2.11198,2.2058,2.57407,2.56529,2.43224,2.1969,2.47084,2.25931,2.36193,2.27335,2.25306,1.81172,1.90618,1.94965,1.88629,1.68733,1.64004,1.53512,1.76725,2.10375,1.90138,2.01806,2.0148,2.10522,1.95725,1.50674,1.67882,1.24043,1.27029,1.2732,1.27252,1.20452,1.21833,1.20374,1.17167,1.19453,1.21044,1.17206,1.12161,1.10981,1.0368,1.03584,1.03431,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,0.93848,0.91701,0.91766,0.86382,0.82232,0.86223,0.81083,0.85002,0.68897,0.89874,0.79437,0.82579,0.84743,0.79058,0.79432,0.83534,0.79047,0.87205,0.87653,0.86877,0.96814,0.98238,1.02554,1.00361,1.1033,1.12705,1.37506,1.48206,1.62029,1.97069,2.07223,2.23783,2.11874,2.19391,1.97142,1.75993,1.83191,1.87535,1.71975,2.07511,1.93857,2.12513,2.25711,1.9911,1.93936,1.90145,2.32051,2.41802,2.39942,2.43365,2.5654,2.39325,2.22635,2.16686,2.26587,2.86036,2.72114,3.00373,2.64809,2.52117,2.84578,3.18028,3.05829,2.53186,2.27121,2.59218,2.65363,2.39561,2.04847,1.92236,1.92535,2.19169,2.09538,1.96638,2.32402,2.07204,2.19982,1.99453,1.80208,1.68737,1.34183,1.38235,1.34943,1.32486,1.28754,1.21116,1.2986,1.20495,1.22398,1.19898,1.19787,1.07802,1.0177,1.01059,0.9606,1.0157,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,0.88603,0.87074,0.83231,0.85234,0.82685,0.89362,0.81406,0.86682,0.80934,0.86964,0.79454,0.84115,0.82718,0.82578,0.80992,0.8464,0.84416,0.84604,0.88561,0.84372,0.91911,0.94035,1.00536,0.99146,1.13278,1.26481,1.28608,1.35682,1.57873,2.19717,2.22327,2.22004,2.35797,2.30869,2.31195,2.33936,2.20995,2.40122,2.45327,2.51159,2.41227,2.67429,2.68475,2.46248,2.50067,2.91726,2.77597,2.56804,2.67383,2.63154,2.82153,2.55013,2.47103,2.55409,2.92101,3.06328,3.02708,2.70531,2.64342,3.06905,3.1406,3.07977,2.8379,2.87216,2.77914,2.66376,2.33765,1.94068,2.25686,2.34687,2.30292,2.23281,2.08884,1.94267,1.86512,1.82024,1.74142,1.80199,1.76372,1.80574,1.72773,1.67847,1.6391,1.6676,1.63979,1.65927,1.60578,1.55283,1.5403,1.55722,1.18882,1.24075,1.14328,1.02722,1.0468,0.97342,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,0.97567,0.85736,0.88466,0.89468,0.79948,0.82633,0.78008,0.88725,0.80289,0.91527,0.80468,0.87281,0.82816,0.8693,0.76856,0.73267,0.72838,0.90091,0.8254,0.90892,0.84894,0.98429,0.98521,1.17119,1.30742,1.33932,1.27018,1.28436,1.4352,2.00995,2.09751,1.92711,2.04078,1.66226,1.72467,1.73083,1.74766,1.79444,1.6157,1.83105,2.32845,2.05633,1.91795,1.96711,2.18387,2.10457,2.12633,2.21226,2.55735,2.29371,2.12649,2.51567,2.31036,2.79613,2.40875,2.00268,2.09405,1.996,2.39217,2.21522,2.35058,1.97885,1.89819,2.09008,2.16632,1.98199,1.8686,1.87664,2.12243,1.99573,1.87205,1.83211,1.76081,1.79354,1.73929,1.74581,1.69436,1.7321,1.70095,1.64439,1.63084,1.53872,1.50334,1.50494,1.4782,1.35119,1.26871,1.28638,1.21506,1.20599,1.16048,1.09152,1.11063,1.03877,1.07688,1.05837,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
