year,averagemwh,rainfall_amount,daily_global_solar_exposure,minimum_temperature,maximum_temperature
2015,32.156189968514596,1539.6,16.066027397260275,14.916438356164383,23.396164383561644
2016,30.899743232658288,1439.3,16.812841530054644,15.314754098360655,24.12185792349727
2017,29.112234291551562,1088.1000000000001,16.376923076923077,14.96510989010989,24.08712328767123
2018,27.368330281657357,1084.7,16.82082191780822,14.775068493150684,23.876986301369865
2019,27.39875004328255,984.4,17.132328767123287,14.8375,24.47013698630137
2020,25.574074101198786,1510.0,15.861748633879781,14.774725274725276,23.535792349726776
2021,26.148279859706168,1400.9,16.021095890410958,14.159279778393351,22.815616438356166
2022,24.649056544626365,2620.0,15.87087912087912,14.430939226519337,22.412054794520547
2023,23.825556592056937,1081.9,17.015890410958903,14.579338842975208,23.833977900552487
