averagemwh,year,index
25.47289144329897,2015,0
26.45822061855669,2015,1
29.72007969072165,2015,2
30.749002061855677,2015,3
24.453041546391752,2015,4
24.17434721649484,2015,5
23.41972649484535,2015,6
23.412449278350515,2015,7
23.303390927835054,2015,8
23.229018969072165,2015,9
23.350437113402062,2015,10
23.758815567010323,2015,11
23.47746835051546,2015,12
23.676218556701023,2015,13
23.802565463917524,2015,14
23.101962061855662,2015,15
26.31329659793815,2015,16
21.82950577319587,2015,17
23.10236134020618,2015,18
23.106567113402065,2015,19
23.392566804123717,2015,20
23.928812268041234,2015,21
23.888117216494848,2015,22
24.54106680412372,2015,23
21.418067113402067,2015,24
21.40040288659794,2015,25
22.232185567010305,2015,26
22.29309855670102,2015,27
22.041058969072164,2015,28
22.216352783505148,2015,29
21.42453206185567,2015,30
24.895825773195877,2015,31
28.817128762886583,2015,32
25.47521989690722,2015,33
26.084429690721645,2015,34
26.17630907216495,2015,35
26.925253917525787,2015,36
24.496285567010315,2015,37
23.947937628865983,2015,38
25.97365979381443,2015,39
25.14003463917525,2015,40
23.46645072164948,2015,41
23.83005835051545,2015,42
23.42473515463917,2015,43
23.204630103092796,2015,44
22.26630020618557,2015,45
27.915957010309278,2015,46
28.610711237113406,2015,47
27.918049793814426,2015,48
26.55464072164948,2015,49
26.60742546391752,2015,50
26.41015773195877,2015,51
27.62746742268042,2015,52
28.765619072164966,2015,53
28.96510670103093,2015,54
26.126802680412368,2015,55
24.979450206185568,2015,56
25.23951515463918,2015,57
25.6426056701031,2015,58
25.701970721649488,2015,59
26.21828175257732,2015,60
27.133476701030936,2015,61
31.38820670103093,2015,62
31.01946298969072,2015,63
31.964814536082468,2015,64
29.766089793814427,2015,65
29.923966288659795,2015,66
28.756485051546388,2015,67
28.60973164948455,2015,68
29.431834123711344,2015,69
28.267063917525785,2015,70
27.906642371134016,2015,71
28.348440618556708,2015,72
27.99827628865981,2015,73
27.878811134020623,2015,74
27.708831649484534,2015,75
27.72890824742268,2015,76
27.62299030927835,2015,77
28.1749806185567,2015,78
28.27073041237114,2015,79
28.3081924742268,2015,80
28.63254587628868,2015,81
25.97752340206184,2015,82
24.674707216494863,2015,83
26.47011896907216,2015,84
27.742006701030927,2015,85
26.44272649484536,2015,86
27.71867804123711,2015,87
28.624583608247427,2015,88
28.45363701030927,2015,89
27.967221340206184,2015,90
27.573317113402076,2015,91
28.8486887628866,2015,92
29.82349443298969,2015,93
28.358895567010308,2015,94
29.92070515463918,2015,95
23.588581340206197,2015,96
33.44804773195875,2015,97
30.059511134020617,2015,98
28.93848092783505,2015,99
27.37734195876289,2015,100
28.74464463917527,2015,101
29.4140449484536,2015,102
32.15992701030929,2015,103
30.88542020618556,2015,104
27.863447010309272,2015,105
26.669258865979383,2015,106
28.606921546391742,2015,107
28.41197577319587,2015,108
28.16361340206187,2015,109
26.99958804123712,2015,110
27.635599587628857,2015,111
22.20281164948453,2015,112
28.80034628865979,2015,113
27.17499164948454,2015,114
24.730647731958765,2015,115
25.389166597938143,2015,116
28.771405876288657,2015,117
28.489948247422685,2015,118
27.61258329896907,2015,119
29.81578216494845,2015,120
30.819424020618552,2015,121
26.096821855670104,2015,122
26.023226701030936,2015,123
27.500846288659798,2015,124
26.61167567010309,2015,125
22.86810958762886,2015,126
22.92034742268041,2015,127
22.565257422680418,2015,128
23.894609072164947,2015,129
23.43035907216495,2015,130
22.83911824742267,2015,131
23.131879381443294,2015,132
22.7720630927835,2015,133
22.581314742268045,2015,134
23.81417845360825,2015,135
23.476161855670103,2015,136
22.770628556701027,2015,137
23.347126597938143,2015,138
23.742616082474225,2015,139
25.044851340206197,2015,140
25.7509918556701,2015,141
21.656714329896907,2015,142
21.90057432989692,2015,143
21.709622886597938,2015,144
21.363656701030926,2015,145
21.407859484536075,2015,146
21.99667690721649,2015,147
21.72840762886598,2015,148
21.794481958762884,2015,149
22.869272577319585,2015,150
22.441033917525772,2015,151
21.5480506185567,2015,152
21.89255453608248,2015,153
22.484404329896904,2015,154
22.817347113402068,2015,155
22.180617835051542,2015,156
22.543317525773197,2015,157
22.201684536082475,2015,158
22.40024494845361,2015,159
22.91247659793815,2015,160
22.424736185567014,2015,161
23.023408969072168,2015,162
22.93823309278352,2015,163
21.916933298969077,2015,164
22.655484432989688,2015,165
23.336038247422675,2015,166
23.599989484536085,2015,167
27.264424948453616,2015,168
23.245975051546395,2015,169
22.574560412371124,2015,170
21.6529569072165,2015,171
21.747461443298963,2015,172
21.78036597938144,2015,173
22.29221907216496,2015,174
22.35488164948454,2015,175
23.64224525773196,2015,176
21.57952659793814,2015,177
21.80955,2015,178
21.801894536082468,2015,179
22.67444855670104,2015,180
21.832450206185573,2015,181
21.976803711340207,2015,182
21.19223546391752,2015,183
25.70769268041236,2015,184
22.867899484536075,2015,185
22.08522670103093,2015,186
22.123628453608244,2015,187
23.102892268041234,2015,188
22.10168360824743,2015,189
22.58264092783505,2015,190
22.76907103092783,2015,191
21.21167340206186,2015,192
24.64401278350515,2015,193
25.05599226804123,2015,194
22.669267319587625,2015,195
26.23476484536082,2015,196
24.5870443298969,2015,197
22.41108432989691,2015,198
22.224316288659804,2015,199
22.113931958762883,2015,200
22.09206072164948,2015,201
22.011811443298964,2015,202
26.185722886597944,2015,203
22.32250391752577,2015,204
21.99623597938145,2015,205
22.46119917525773,2015,206
23.234057010309275,2015,207
23.28336515463917,2015,208
23.98125298969073,2015,209
23.836941134020616,2015,210
25.2419056701031,2015,211
24.217193092783504,2015,212
24.63068865979381,2015,213
