year,averagemwh,rainfall_amount,daily_global_solar_exposure,minimum_temperature,maximum_temperature
2015,10.181201403388279,1123.4,16.228219178082192,11.170136986301369,24.201652892561984
2016,11.031101426940639,822.7,17.146174863387976,11.274863387978144,25.17103825136612
2017,9.660498803800367,714.0,16.531868131868134,11.020821917808219,25.50055096418733
2018,11.084855759214744,637.8,17.093424657534246,10.650964187327824,25.44159779614325
2019,11.208632494276557,467.4,17.674520547945203,10.887087912087912,26.557575757575755
2020,10.659431092093639,844.4,15.890384615384617,11.758469945355193,24.18415300546448
2021,9.35934131227043,980.4,15.932328767123288,10.424383561643836,23.372252747252748
2022,9.214898862388477,1380.4,16.10716253443526,11.17403314917127,22.89388888888889
2023,17.513255705492426,653.0,17.702739726027396,10.285205479452054,25.389285714285716
