Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),index
67112,2015,1,1,0.0,1.0,0
67112,2015,1,2,0.0,1.0,1
67112,2015,1,3,0.0,1.0,2
67112,2015,1,4,0.0,1.0,3
67112,2015,1,5,0.0,1.0,4
67112,2015,1,6,0.0,1.0,5
67112,2015,1,7,0.0,1.0,6
67112,2015,1,8,0.0,1.0,7
67112,2015,1,9,0.0,1.0,8
67112,2015,1,10,1.0,1.0,9
67112,2015,1,11,22.5,1.0,10
67112,2015,1,12,16.0,1.0,11
67112,2015,1,13,2.5,1.0,12
67112,2015,1,14,1.0,1.0,13
67112,2015,1,15,0.0,1.0,14
67112,2015,1,16,0.0,1.0,15
67112,2015,1,17,0.0,1.0,16
67112,2015,1,18,0.0,1.0,17
67112,2015,1,19,0.0,1.0,18
67112,2015,1,20,2.5,1.0,19
67112,2015,1,21,2.0,1.0,20
67112,2015,1,22,0.0,1.0,21
67112,2015,1,23,0.0,1.0,22
67112,2015,1,24,0.5,1.0,23
67112,2015,1,25,2.5,1.0,24
67112,2015,1,26,0.0,1.0,25
67112,2015,1,27,30.0,1.0,26
67112,2015,1,28,46.5,1.0,27
67112,2015,1,29,11.5,1.0,28
67112,2015,1,30,0.0,1.0,29
67112,2015,1,31,0.0,1.0,30
67112,2015,2,1,0.0,1.0,31
67112,2015,2,2,0.0,1.0,32
67112,2015,2,3,0.5,1.0,33
67112,2015,2,4,0.0,1.0,34
67112,2015,2,5,4.5,1.0,35
67112,2015,2,6,0.0,1.0,36
67112,2015,2,7,0.0,1.0,37
67112,2015,2,8,0.0,1.0,38
67112,2015,2,9,0.0,1.0,39
67112,2015,2,10,0.0,1.0,40
67112,2015,2,11,1.0,1.0,41
67112,2015,2,12,0.0,1.0,42
67112,2015,2,13,12.5,1.0,43
67112,2015,2,14,0.0,1.0,44
67112,2015,2,15,2.0,1.0,45
67112,2015,2,16,3.5,1.0,46
67112,2015,2,17,0.0,1.0,47
67112,2015,2,18,0.0,1.0,48
67112,2015,2,19,0.0,1.0,49
67112,2015,2,20,0.0,1.0,50
67112,2015,2,21,2.5,1.0,51
67112,2015,2,22,2.5,1.0,52
67112,2015,2,23,1.5,1.0,53
67112,2015,2,24,0.5,1.0,54
67112,2015,2,25,0.0,1.0,55
67112,2015,2,26,6.5,1.0,56
67112,2015,2,27,1.5,1.0,57
67112,2015,2,28,0.0,1.0,58
67112,2015,3,1,0.0,1.0,59
67112,2015,3,2,2.0,1.0,60
67112,2015,3,3,0.0,1.0,61
67112,2015,3,4,0.0,1.0,62
67112,2015,3,5,0.0,1.0,63
67112,2015,3,6,0.0,1.0,64
67112,2015,3,7,0.0,1.0,65
67112,2015,3,8,0.0,1.0,66
67112,2015,3,9,0.0,1.0,67
67112,2015,3,10,0.0,1.0,68
67112,2015,3,11,0.0,1.0,69
67112,2015,3,12,6.5,1.0,70
67112,2015,3,13,2.5,1.0,71
67112,2015,3,14,0.0,1.0,72
67112,2015,3,15,0.0,1.0,73
67112,2015,3,16,0.5,1.0,74
67112,2015,3,17,0.0,1.0,75
67112,2015,3,18,0.0,1.0,76
67112,2015,3,19,0.5,1.0,77
67112,2015,3,20,0.0,1.0,78
67112,2015,3,21,3.0,1.0,79
67112,2015,3,22,1.0,1.0,80
67112,2015,3,23,0.5,1.0,81
67112,2015,3,24,0.0,1.0,82
67112,2015,3,25,14.5,1.0,83
67112,2015,3,26,0.0,1.0,84
67112,2015,3,27,0.0,1.0,85
67112,2015,3,28,0.0,1.0,86
67112,2015,3,29,0.0,1.0,87
67112,2015,3,30,0.0,1.0,88
67112,2015,3,31,4.0,1.0,89
67112,2015,4,1,38.0,1.0,90
67112,2015,4,2,0.0,1.0,91
67112,2015,4,3,3.5,1.0,92
67112,2015,4,4,25.5,1.0,93
67112,2015,4,5,11.0,1.0,94
67112,2015,4,6,0.0,1.0,95
67112,2015,4,7,2.0,1.0,96
67112,2015,4,8,2.5,1.0,97
67112,2015,4,9,0.0,1.0,98
67112,2015,4,10,0.0,1.0,99
67112,2015,4,11,3.0,1.0,100
67112,2015,4,12,0.0,1.0,101
67112,2015,4,13,0.0,1.0,102
67112,2015,4,14,0.0,1.0,103
67112,2015,4,15,0.0,1.0,104
67112,2015,4,16,4.0,1.0,105
67112,2015,4,17,3.0,1.0,106
67112,2015,4,18,0.5,1.0,107
67112,2015,4,19,4.0,1.0,108
67112,2015,4,20,7.0,1.0,109
67112,2015,4,21,134.0,1.0,110
67112,2015,4,22,110.0,1.0,111
67112,2015,4,23,48.5,1.0,112
67112,2015,4,24,8.5,1.0,113
67112,2015,4,25,0.0,1.0,114
67112,2015,4,26,7.5,1.0,115
67112,2015,4,27,0.0,1.0,116
67112,2015,4,28,0.0,1.0,117
67112,2015,4,29,0.0,1.0,118
67112,2015,4,30,3.0,1.0,119
67112,2015,5,1,7.5,1.0,120
67112,2015,5,2,5.0,1.0,121
67112,2015,5,3,28.0,1.0,122
67112,2015,5,4,0.0,1.0,123
67112,2015,5,5,0.0,1.0,124
67112,2015,5,6,0.0,1.0,125
67112,2015,5,7,0.0,1.0,126
67112,2015,5,8,0.0,1.0,127
67112,2015,5,9,0.0,1.0,128
67112,2015,5,10,0.0,1.0,129
67112,2015,5,11,0.0,1.0,130
67112,2015,5,12,0.0,1.0,131
67112,2015,5,13,0.0,1.0,132
67112,2015,5,14,0.5,1.0,133
67112,2015,5,15,0.0,1.0,134
67112,2015,5,16,0.0,1.0,135
67112,2015,5,17,0.0,1.0,136
67112,2015,5,18,0.0,1.0,137
67112,2015,5,19,0.0,1.0,138
67112,2015,5,20,0.5,1.0,139
67112,2015,5,21,0.0,1.0,140
67112,2015,5,22,6.5,1.0,141
67112,2015,5,23,18.0,1.0,142
67112,2015,5,24,0.0,1.0,143
67112,2015,5,25,0.0,1.0,144
67112,2015,5,26,0.0,1.0,145
67112,2015,5,27,0.0,1.0,146
67112,2015,5,28,0.0,1.0,147
67112,2015,5,29,0.0,1.0,148
67112,2015,5,30,0.0,1.0,149
67112,2015,5,31,1.5,1.0,150
67112,2015,6,1,1.0,1.0,151
67112,2015,6,2,0.0,1.0,152
67112,2015,6,3,0.0,1.0,153
67112,2015,6,4,0.0,1.0,154
67112,2015,6,5,0.0,1.0,155
67112,2015,6,6,0.0,1.0,156
67112,2015,6,7,0.0,1.0,157
67112,2015,6,8,0.0,1.0,158
67112,2015,6,9,0.0,1.0,159
67112,2015,6,10,0.5,1.0,160
67112,2015,6,11,0.5,1.0,161
67112,2015,6,12,0.0,1.0,162
67112,2015,6,13,0.0,1.0,163
67112,2015,6,14,0.0,1.0,164
67112,2015,6,15,0.0,1.0,165
67112,2015,6,16,2.0,1.0,166
67112,2015,6,17,9.5,1.0,167
67112,2015,6,18,2.5,1.0,168
67112,2015,6,19,35.5,1.0,169
67112,2015,6,20,0.0,1.0,170
67112,2015,6,21,0.0,1.0,171
