year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,Date_01DEC2013,Date_01MAY2013,Date_01NOV2013,Date_02DEC2013,Date_02MAY2013,Date_02NOV2013,Date_03DEC2013,Date_03MAY2013,Date_03NOV2013,Date_04APR2014,Date_04DEC2013,Date_04MAY2013,Date_04NOV2013,Date_05APR2014,Date_05DEC2013,Date_05MAY2013,Date_05NOV2013,Date_06APR2014,Date_06NOV2013,Date_07APR2014,Date_07MAY2013,Date_07NOV2013,Date_08MAY2013,Date_08NOV2013,Date_09APR2014,Date_09DEC2013,Date_09MAY2013,Date_09NOV2013,Date_10APR2014,Date_10DEC2013,Date_10MAY2013,Date_10NOV2013,Date_11APR2014,Date_11DEC2013,Date_11MAY2013,Date_11NOV2013,Date_12APR2014,Date_12DEC2013,Date_12MAY2013,Date_12NOV2013,Date_13APR2014,Date_13DEC2013,Date_13MAY2013,Date_13NOV2013,Date_14APR2014,Date_14DEC2013,Date_14MAR2014,Date_14MAY2013,Date_14NOV2013,Date_15APR2014,Date_15DEC2013,Date_15MAR2014,Date_15NOV2013,Date_16APR2014,Date_16DEC2013,Date_16MAR2014,Date_16NOV2013,Date_17APR2014,Date_17DEC2013,Date_17MAR2014,Date_17NOV2013,Date_18APR2014,Date_18DEC2013,Date_18MAR2014,Date_18NOV2013,Date_19APR2014,Date_19DEC2013,Date_19MAR2014,Date_19NOV2013,Date_20APR2014,Date_20DEC2013,Date_20MAR2014,Date_20NOV2013,Date_21APR2014,Date_21DEC2013,Date_21MAR2014,Date_21NOV2013,Date_22APR2014,Date_22DEC2013,Date_22MAR2014,Date_22NOV2013,Date_22OCT2013,Date_23APR2014,Date_23DEC2013,Date_23MAR2014,Date_23NOV2013,Date_23OCT2013,Date_24APR2014,Date_24DEC2013,Date_24NOV2013,Date_24OCT2013,Date_25APR2014,Date_25DEC2013,Date_25NOV2013,Date_25OCT2013,Date_26APR2014,Date_26DEC2013,Date_26MAR2014,Date_26NOV2013,Date_26OCT2013,Date_27APR2014,Date_27DEC2013,Date_27MAR2014,Date_27NOV2013,Date_27OCT2013,Date_28APR2014,Date_28MAR2014,Date_28NOV2013,Date_28OCT2013,Date_29APR2014,Date_29MAR2014,Date_29NOV2013,Date_29OCT2013,Date_30APR2014,Date_30MAR2014,Date_30NOV2013,Date_30OCT2013,Date_31MAR2014
2014,16.63025,15.86186,15.47766,15.47766,14.83733,14.65438,14.65438,14.65438,14.65438,14.65438,14.65438,14.65438,14.65438,14.65438,14.65438,14.65438,13.66644,13.50179,13.50179,14.12382,14.74585,14.74585,14.74585,15.13005,16.59366,17.21569,18.51465,19.20986,21.58822,23.5458,25.0277,25.75951,27.25971,27.84515,27.99151,27.99151,28.7599,29.30876,30.05886,30.00397,30.29669,30.29669,30.29669,30.29669,30.29669,30.97361,30.88214,30.88214,31.10168,31.61394,31.61394,31.61394,31.61394,31.61394,31.61394,31.61394,31.61394,31.61394,31.61394,31.61394,31.15656,30.38817,30.38817,30.38817,30.38817,30.38817,29.80273,29.1441,29.1441,29.12581,27.91833,27.91833,26.80233,26.1437,25.28383,24.84475,24.46055,24.46055,23.5275,23.38114,22.90547,22.64934,21.77117,21.73458,21.40527,21.24062,20.39904,19.59406,19.77701,19.59406,18.42317,18.36828,18.13045,17.30717,16.55707,16.55707,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,16.55707,15.77038,15.47766,15.47766,15.47766,14.91051,14.32507,14.32507,14.32507,14.32507,14.32507,14.32507,14.32507,14.32507,14.32507,14.32507,14.32507,14.32507,14.01405,13.20907,14.41654,14.41654,14.5629,15.14835,16.28264,17.45353,18.60612,18.91714,21.14914,22.96036,23.9117,25.0277,26.60108,26.60108,26.76574,27.24141,28.08299,28.55866,28.08299,28.08299,28.08299,28.08299,28.08299,29.07092,29.1441,29.1441,29.1441,29.61977,29.8942,29.54659,28.65013,28.65013,29.03433,29.80273,29.80273,29.80273,29.80273,29.80273,29.80273,28.94286,28.65013,28.65013,28.65013,28.24764,28.32082,28.7782,27.91833,27.91833,27.02187,26.93039,26.93039,26.74744,24.99111,24.62521,24.62521,23.72875,23.47262,23.47262,22.94206,22.32003,22.32003,22.32003,21.46016,21.07596,20.36245,20.08802,20.08802,20.08802,19.52088,18.93543,18.93543,18.58783,17.78284,16.86809,16.63025,16.63025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,16.28264,15.40448,15.40448,15.40448,15.40448,15.40448,15.40448,14.28848,14.08723,14.08723,14.08723,14.08723,14.08723,14.08723,14.08723,14.08723,14.08723,14.08723,14.08723,14.08723,14.08723,14.08723,14.08723,14.69097,16.15458,16.46559,17.69137,18.77078,20.74665,22.21026,23.47262,24.95452,25.61315,26.43643,26.41813,26.96698,27.49754,27.99151,27.69879,28.08299,28.21105,27.99151,28.50377,29.23558,29.23558,29.23558,29.23558,29.23558,29.23558,29.23558,29.23558,29.23558,29.23558,29.23558,29.23558,29.23558,29.23558,29.23558,29.23558,29.23558,28.92456,28.57695,28.57695,28.57695,28.57695,28.35741,27.75367,27.00357,27.00357,27.00357,26.87551,25.7778,24.69839,24.2959,23.38114,23.71046,22.88718,22.88718,22.21026,21.6614,21.00278,20.9113,20.9113,20.9113,20.5454,19.75871,19.75871,19.75871,19.75871,18.77078,18.60612,18.60612,18.20363,17.87432,17.76455,16.63025,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,16.63025,16.24605,15.89845,15.89845,15.89845,15.89845,15.45936,14.65438,14.65438,14.65438,14.65438,14.65438,14.65438,14.65438,13.94087,13.50179,13.50179,13.50179,14.03235,14.25189,14.25189,14.25189,14.25189,14.25189,14.25189,15.3313,15.47766,15.47766,16.02651,16.63025,16.63025,17.03274,17.78284,17.78284,18.42317,18.93543,18.93543,19.48429,20.08802,20.08802,20.08802,20.43563,21.33209,21.33209,21.33209,21.33209,21.33209,21.33209,21.33209,21.33209,21.33209,21.33209,21.33209,21.33209,21.33209,21.33209,21.33209,21.33209,21.33209,21.24062,20.58199,20.58199,20.58199,20.58199,20.12461,20.63688,20.9113,20.9113,20.9113,20.9113,20.9113,20.9113,20.9113,20.9113,20.9113,20.9113,20.9113,20.30757,19.85019,19.85019,19.85019,19.85019,19.85019,19.85019,19.17327,18.53294,18.53294,18.53294,17.96579,17.78284,17.78284,17.78284,17.78284,16.90468,16.72173,16.72173,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,16.72173,16.15458,15.56913,15.56913,15.56913,15.56913,15.56913,15.56913,14.50802,14.41654,14.41654,14.41654,14.41654,14.41654,14.41654,14.41654,14.41654,14.41654,14.41654,13.48349,13.26395,13.26395,13.26395,13.26395,13.59326,14.41654,14.41654,14.41654,14.41654,14.41654,14.72756,15.64231,15.64231,16.19117,16.79491,17.25228,17.54501,17.54501,17.54501,17.80114,18.77078,18.77078,19.24645,18.73419,19.19156,19.59406,19.59406,19.59406,19.33793,18.86225,18.86225,18.86225,18.86225,18.86225,18.86225,18.86225,18.86225,18.86225,18.34999,18.11215,18.11215,18.66101,18.11215,18.11215,18.11215,18.11215,18.62442,19.26474,19.26474,19.26474,19.86848,20.58199,20.58199,20.58199,20.58199,20.58199,20.58199,20.58199,20.58199,19.70383,19.35622,19.35622,19.13668,18.20363,18.20363,18.20363,18.20363,18.20363,18.20363,17.39864,16.95956,16.95956,16.0631,15.73379,15.73379,15.18494,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,15.55084,15.313,15.313,15.313,15.313,14.83733,14.08723,14.08723,14.08723,14.08723,14.08723,14.08723,14.08723,14.08723,13.68474,12.93464,13.59326,14.16041,13.02611,13.00782,13.00782,13.95916,14.25189,14.28848,16.09969,16.99615,18.53294,19.24645,21.77117,22.75911,23.71046,25.32042,26.61938,27.25971,27.25971,27.53413,27.46095,28.4123,28.48548,28.08299,27.90003,28.97945,29.40023,29.40023,29.40023,29.40023,29.21728,28.65013,28.65013,28.65013,29.43682,28.88797,28.65013,29.19899,29.40023,29.40023,29.40023,29.40023,29.40023,29.30876,28.4123,28.4123,28.4123,28.4123,28.4123,27.55243,27.57072,28.11958,27.25971,27.25971,27.20482,26.10711,25.22895,24.95452,24.95452,24.91793,23.80193,23.80193,23.80193,22.53957,22.48468,22.33832,21.33209,21.33209,20.87471,20.58199,20.58199,20.58199,19.8136,19.15497,18.60612,18.60612,17.41694,17.38035,16.97786,16.22776,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,16.22776,16.02651,15.47766,15.47766,15.3313,14.32507,14.32507,14.32507,14.32507,13.8128,13.59326,13.59326,13.59326,13.59326,13.59326,13.59326,13.66644,13.66644,14.14212,14.32507,14.32507,14.32507,14.32507,14.34336,15.75208,16.79491,18.05727,19.20986,21.14914,22.72252,24.62521,25.046,26.71085,26.45472,26.49131,27.09505,27.79026,28.32082,28.0281,28.19276,28.4123,28.4123,28.4123,28.4123,28.4123,28.4123,28.4123,28.74161,29.56489,29.56489,29.10751,28.74161,28.74161,28.74161,29.49171,28.88797,28.4123,28.4123,29.05263,28.7782,28.08299,28.08299,27.62561,28.13787,28.06469,27.25971,27.25971,27.25971,27.25971,27.25971,26.80233,26.50961,25.59485,25.28383,24.97282,24.03977,24.03977,23.38114,23.30796,23.30796,22.08219,22.0639,22.0639,22.0639,21.13085,20.9113,20.9113,20.9113,20.36245,19.10009,18.2951,17.78284,17.78284,17.10592,16.63025,16.63025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,16.48389,15.56913,15.56913,15.56913,15.56913,14.80074,14.48972,14.48972,14.48972,14.48972,14.48972,14.48972,14.48972,13.26395,13.26395,13.26395,13.90428,13.92257,13.92257,13.92257,13.92257,13.95916,14.41654,14.50802,15.97163,16.79491,18.05727,19.26474,20.94789,22.63104,24.16783,25.37531,26.27177,26.80233,27.49754,27.49754,27.49754,27.49754,27.49754,27.57072,28.74161,28.74161,28.74161,28.74161,28.74161,28.74161,28.74161,29.1441,29.47341,29.56489,30.22351,30.22351,29.30876,30.09545,30.22351,30.22351,29.45512,30.00397,29.51,29.1441,29.1441,29.58318,29.1624,29.1441,29.1441,29.1441,28.65013,28.33912,27.58902,27.09505,27.09505,27.05846,25.44849,24.78987,24.78987,24.24101,24.03977,24.03977,23.01524,22.814,22.72252,22.0639,21.40527,21.33209,20.65517,20.50881,20.50881,20.21609,20.1795,18.97202,18.93543,18.45976,18.11215,16.88638,16.88638,16.8132,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,15.64231,15.64231,15.64231,15.38618,14.65438,14.65438,14.65438,14.65438,14.65438,13.75792,13.75792,13.75792,13.75792,13.75792,13.75792,13.75792,13.20907,13.17248,13.17248,13.17248,13.17248,13.42861,14.5812,15.20323,16.26435,16.94127,18.07556,18.71589,21.27721,22.30173,23.89341,24.88134,25.81439,26.43643,27.71708,28.15617,28.15617,28.15617,28.4123,29.07092,27.90003,28.0281,29.07092,29.07092,29.07092,29.07092,29.07092,29.36364,29.96738,29.96738,29.96738,29.63807,29.32705,29.30876,29.30876,29.30876,29.30876,29.9125,30.46135,29.1624,29.1441,29.1441,29.1441,28.48548,28.4123,28.4123,29.19899,28.0281,27.93662,28.15617,27.44266,26.96698,25.17406,24.78987,24.25931,23.63727,23.08842,22.39321,22.39321,21.86265,21.6614,21.60652,20.50881,20.50881,19.77701,19.75871,19.75871,19.75871,18.82566,18.60612,18.60612,18.42317,17.87432,17.25228,16.79491,16.79491,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,16.79491,16.24605,16.0631,15.3313,16.02651,15.42277,15.14835,15.03858,14.41654,14.41654,14.41654,14.41654,14.41654,14.41654,14.41654,14.41654,14.30677,13.17248,13.17248,13.17248,13.17248,13.17248,13.17248,13.79451,14.32507,14.32507,14.65438,15.47766,15.47766,16.19117,16.63025,16.63025,16.84979,17.78284,17.78284,18.73419,19.02691,19.35622,20.1795,20.1795,20.21609,21.16744,21.16744,21.16744,21.16744,21.16744,21.16744,21.16744,21.16744,21.16744,21.16744,21.16744,21.16744,21.16744,21.16744,21.16744,21.16744,21.16744,21.16744,21.16744,21.16744,21.16744,21.16744,21.16744,21.16744,20.67347,20.81983,20.83812,20.83812,20.96619,21.99072,21.93583,21.24062,21.24062,21.16744,20.63688,20.67347,20.34416,19.52088,19.52088,19.52088,19.52088,19.52088,19.24645,18.77078,18.77078,18.77078,18.77078,18.77078,18.77078,18.20363,17.61819,17.61819,17.61819,17.61819,17.10592,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
