Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),index,Quality_Y
66078,2015,1,1,0.0,,0,True
66078,2015,1,2,10.0,1.0,1,True
66078,2015,1,3,0.0,,2,True
66078,2015,1,4,0.0,,3,True
66078,2015,1,5,0.6,1.0,4,True
66078,2015,1,6,0.0,,5,True
66078,2015,1,7,0.0,,6,True
66078,2015,1,8,0.0,,7,True
66078,2015,1,9,0.0,,8,True
66078,2015,1,10,0.2,1.0,9,True
66078,2015,1,11,20.6,1.0,10,True
66078,2015,1,12,7.6,1.0,11,True
66078,2015,1,13,0.2,1.0,12,True
66078,2015,1,14,1.6,1.0,13,True
66078,2015,1,15,0.0,,14,True
66078,2015,1,16,0.0,,15,True
66078,2015,1,17,0.0,,16,True
66078,2015,1,18,0.0,,17,True
66078,2015,1,19,0.0,,18,True
66078,2015,1,20,4.6,1.0,19,True
66078,2015,1,21,7.8,1.0,20,True
66078,2015,1,22,0.0,,21,True
66078,2015,1,23,0.0,,22,True
66078,2015,1,24,0.0,,23,True
66078,2015,1,25,0.5,1.0,24,True
66078,2015,1,26,0.0,,25,True
66078,2015,1,27,16.6,1.0,26,True
66078,2015,1,28,74.6,1.0,27,True
66078,2015,1,29,3.0,1.0,28,True
66078,2015,1,30,0.0,,29,True
66078,2015,1,31,0.0,,30,True
66078,2015,2,1,0.0,,31,True
66078,2015,2,2,0.0,,32,True
66078,2015,2,3,0.0,,33,True
66078,2015,2,4,0.0,,34,True
66078,2015,2,5,6.2,1.0,35,True
66078,2015,2,6,1.2,1.0,36,True
66078,2015,2,7,0.0,,37,True
66078,2015,2,8,0.0,,38,True
66078,2015,2,9,0.0,,39,True
66078,2015,2,10,0.0,,40,True
66078,2015,2,11,3.4,1.0,41,True
66078,2015,2,12,0.0,,42,True
66078,2015,2,13,33.0,1.0,43,True
66078,2015,2,14,2.0,1.0,44,True
66078,2015,2,15,2.4,1.0,45,True
66078,2015,2,16,0.2,1.0,46,True
66078,2015,2,17,0.0,,47,True
66078,2015,2,18,0.0,,48,True
66078,2015,2,19,0.0,1.0,49,True
66078,2015,2,20,1.4,1.0,50,True
66078,2015,2,21,3.5,1.0,51,True
66078,2015,2,22,1.8,1.0,52,True
66078,2015,2,23,0.0,1.0,53,True
66078,2015,2,24,0.0,1.0,54,True
66078,2015,2,25,1.8,1.0,55,True
66078,2015,2,26,6.0,1.0,56,True
66078,2015,2,27,3.2,1.0,57,True
66078,2015,2,28,0.0,,58,True
66078,2015,3,1,0.0,,59,True
66078,2015,3,2,13.2,1.0,60,True
66078,2015,3,3,0.0,,61,True
66078,2015,3,4,0.0,,62,True
66078,2015,3,5,0.0,,63,True
66078,2015,3,6,0.0,,64,True
66078,2015,3,7,0.0,,65,True
66078,2015,3,8,0.0,,66,True
66078,2015,3,9,0.0,,67,True
66078,2015,3,10,0.0,,68,True
66078,2015,3,11,0.0,,69,True
66078,2015,3,12,1.2,1.0,70,True
66078,2015,3,13,2.2,1.0,71,True
66078,2015,3,14,0.0,,72,True
66078,2015,3,15,0.0,,73,True
66078,2015,3,16,0.0,1.0,74,True
66078,2015,3,17,0.0,,75,True
66078,2015,3,18,0.0,,76,True
66078,2015,3,19,0.0,,77,True
66078,2015,3,20,0.0,,78,True
66078,2015,3,21,0.8,1.0,79,True
66078,2015,3,22,0.1,1.0,80,True
66078,2015,3,23,0.9,1.0,81,True
66078,2015,3,24,0.2,1.0,82,True
66078,2015,3,25,9.2,1.0,83,True
66078,2015,3,26,0.0,,84,True
66078,2015,3,27,0.0,,85,True
66078,2015,3,28,0.0,,86,True
66078,2015,3,29,0.0,,87,True
66078,2015,3,30,0.0,1.0,88,True
66078,2015,3,31,1.2,1.0,89,True
66078,2015,4,1,5.2,1.0,90,True
66078,2015,4,2,0.0,1.0,91,True
66078,2015,4,3,0.4,1.0,92,True
66078,2015,4,4,11.8,1.0,93,True
66078,2015,4,5,3.2,1.0,94,True
66078,2015,4,6,0.0,,95,True
66078,2015,4,7,1.8,1.0,96,True
66078,2015,4,8,0.6,1.0,97,True
