Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m),index
61387,2015,6,22,10.8,172
61387,2015,6,23,10.6,173
61387,2015,6,24,9.3,174
61387,2015,6,25,7.7,175
61387,2015,6,26,9.4,176
61387,2015,6,27,10.8,177
61387,2015,6,28,10.8,178
61387,2015,6,29,9.3,179
61387,2015,6,30,6.0,180
61387,2015,7,1,9.4,181
61387,2015,7,2,10.9,182
61387,2015,7,3,10.7,183
61387,2015,7,4,11.1,184
61387,2015,7,5,11.2,185
61387,2015,7,6,11.3,186
61387,2015,7,7,7.4,187
61387,2015,7,8,9.5,188
61387,2015,7,9,11.0,189
61387,2015,7,10,10.5,190
61387,2015,7,11,11.1,191
61387,2015,7,12,10.2,192
61387,2015,7,13,8.0,193
61387,2015,7,14,11.6,194
61387,2015,7,15,11.5,195
61387,2015,7,16,7.6,196
61387,2015,7,17,5.5,197
61387,2015,7,18,8.8,198
61387,2015,7,19,9.4,199
61387,2015,7,20,10.2,200
61387,2015,7,21,11.7,201
61387,2015,7,22,6.0,202
61387,2015,7,23,9.3,203
61387,2015,7,24,8.1,204
61387,2015,7,25,12.6,205
61387,2015,7,26,11.9,206
61387,2015,7,27,12.9,207
61387,2015,7,28,12.8,208
61387,2015,7,29,12.2,209
61387,2015,7,30,13.0,210
61387,2015,7,31,12.7,211
61387,2015,8,1,12.3,212
61387,2015,8,2,11.3,213
61387,2015,8,3,13.6,214
61387,2015,8,4,8.4,215
61387,2015,8,5,10.1,216
61387,2015,8,6,13.6,217
61387,2015,8,7,13.8,218
61387,2015,8,8,11.0,219
61387,2015,8,9,13.8,220
61387,2015,8,10,14.1,221
61387,2015,8,11,14.2,222
61387,2015,8,12,10.3,223
61387,2015,8,13,14.7,224
61387,2015,8,14,14.7,225
61387,2015,8,15,5.9,226
61387,2015,8,16,12.9,227
61387,2015,8,17,14.9,228
61387,2015,8,18,15.5,229
61387,2015,8,19,13.8,230
61387,2015,8,20,14.6,231
61387,2015,8,21,15.7,232
61387,2015,8,22,15.3,233
61387,2015,8,23,3.6,234
61387,2015,8,24,4.1,235
61387,2015,8,25,8.6,236
61387,2015,8,26,8.1,237
61387,2015,8,27,7.3,238
61387,2015,8,28,15.6,239
61387,2015,8,29,16.6,240
61387,2015,8,30,16.8,241
61387,2015,8,31,15.6,242
61387,2015,9,1,17.9,243
61387,2015,9,2,16.0,244
61387,2015,9,3,13.3,245
61387,2015,9,4,9.7,246
61387,2015,9,5,15.0,247
61387,2015,9,6,10.3,248
61387,2015,9,7,17.9,249
61387,2015,9,8,18.8,250
61387,2015,9,9,19.0,251
61387,2015,9,10,10.2,252
61387,2015,9,11,18.5,253
61387,2015,9,12,19.6,254
61387,2015,9,13,19.1,255
61387,2015,9,14,19.8,256
61387,2015,9,15,19.6,257
61387,2015,9,16,20.2,258
61387,2015,9,17,11.3,259
61387,2015,9,18,15.5,260
61387,2015,9,19,16.0,261
61387,2015,9,20,11.2,262
61387,2015,9,21,19.3,263
61387,2015,9,22,17.4,264
61387,2015,9,23,17.2,265
61387,2015,9,24,14.2,266
61387,2015,9,25,9.5,267
61387,2015,9,26,15.4,268
61387,2015,9,27,13.2,269
61387,2015,9,28,22.6,270
61387,2015,9,29,22.4,271
61387,2015,9,30,18.2,272
61387,2015,10,1,21.5,273
61387,2015,10,2,22.5,274
61387,2015,10,3,23.7,275
61387,2015,10,4,23.1,276
61387,2015,10,5,23.4,277
61387,2015,10,6,24.4,278
61387,2015,10,7,7.0,279
61387,2015,10,8,11.0,280
61387,2015,10,9,23.8,281
61387,2015,10,10,22.2,282
61387,2015,10,11,17.3,283
61387,2015,10,12,21.7,284
61387,2015,10,13,7.8,285
61387,2015,10,14,23.0,286
61387,2015,10,15,25.4,287
61387,2015,10,16,25.7,288
61387,2015,10,17,21.9,289
61387,2015,10,18,13.6,290
61387,2015,10,19,23.6,291
61387,2015,10,20,21.7,292
61387,2015,10,21,18.1,293
61387,2015,10,22,11.4,294
61387,2015,10,23,19.0,295
61387,2015,10,24,25.2,296
61387,2015,10,25,23.5,297
61387,2015,10,26,12.7,298
61387,2015,10,27,9.4,299
61387,2015,10,28,23.0,300
61387,2015,10,29,26.5,301
61387,2015,10,30,25.8,302
61387,2015,10,31,15.0,303
61387,2015,11,1,23.2,304
61387,2015,11,2,21.2,305
61387,2015,11,3,3.2,306
61387,2015,11,4,3.8,307
61387,2015,11,5,7.3,308
61387,2015,11,6,15.4,309
61387,2015,11,7,21.7,310
61387,2015,11,8,8.3,311
61387,2015,11,9,29.2,312
61387,2015,11,10,29.6,313
61387,2015,11,11,24.5,314
61387,2015,11,12,22.2,315
61387,2015,11,13,18.0,316
61387,2015,11,14,8.6,317
