year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,Date_01DEC2018,Date_01FEB2019,Date_01JAN2019,Date_01JUL2018,Date_01JUN2018,Date_01MAR2019,Date_01MAY2018,Date_01NOV2018,Date_01OCT2018,Date_01SEP2018,Date_02AUG2018,Date_02DEC2018,Date_02FEB2019,Date_02JAN2019,Date_02JUL2018,Date_02JUN2018,Date_02MAR2019,Date_02MAY2018,Date_02NOV2018,Date_02OCT2018,Date_02SEP2018,Date_03AUG2018,Date_03DEC2018,Date_03FEB2019,Date_03JAN2019,Date_03JUL2018,Date_03JUN2018,Date_03MAR2019,Date_03MAY2018,Date_03NOV2018,Date_03OCT2018,Date_03SEP2018,Date_04AUG2018,Date_04DEC2018,Date_04FEB2019,Date_04JAN2019,Date_04JUL2018,Date_04JUN2018,Date_04MAR2019,Date_04MAY2018,Date_04NOV2018,Date_04OCT2018,Date_04SEP2018,Date_05AUG2018,Date_05DEC2018,Date_05FEB2019,Date_05JAN2019,Date_05JUL2018,Date_05JUN2018,Date_05MAR2019,Date_05MAY2018,Date_05NOV2018,Date_05OCT2018,Date_05SEP2018,Date_06AUG2018,Date_06DEC2018,Date_06FEB2019,Date_06JAN2019,Date_06JUL2018,Date_06JUN2018,Date_06MAR2019,Date_06MAY2018,Date_06NOV2018,Date_06OCT2018,Date_06SEP2018,Date_07AUG2018,Date_07DEC2018,Date_07FEB2019,Date_07JAN2019,Date_07JUL2018,Date_07JUN2018,Date_07MAR2019,Date_07MAY2018,Date_07NOV2018,Date_07SEP2018,Date_08AUG2018,Date_08DEC2018,Date_08FEB2019,Date_08JAN2019,Date_08JUL2018,Date_08JUN2018,Date_08MAR2019,Date_08MAY2018,Date_08NOV2018,Date_08OCT2018,Date_08SEP2018,Date_09AUG2018,Date_09DEC2018,Date_09FEB2019,Date_09JAN2019,Date_09JUL2018,Date_09JUN2018,Date_09MAR2019,Date_09MAY2018,Date_09NOV2018,Date_09OCT2018,Date_09SEP2018,Date_10AUG2018,Date_10DEC2018,Date_10FEB2019,Date_10JAN2019,Date_10JUL2018,Date_10JUN2018,Date_10MAR2019,Date_10NOV2018,Date_10OCT2018,Date_10SEP2018,Date_11AUG2018,Date_11DEC2018,Date_11FEB2019,Date_11JAN2019,Date_11JUL2018,Date_11JUN2018,Date_11MAR2019,Date_11MAY2018,Date_11NOV2018,Date_11OCT2018,Date_11SEP2018,Date_12AUG2018,Date_12DEC2018,Date_12FEB2019,Date_12JAN2019,Date_12JUL2018,Date_12JUN2018,Date_12MAR2019,Date_12MAY2018,Date_12NOV2018,Date_12OCT2018,Date_12SEP2018,Date_13AUG2018,Date_13DEC2018,Date_13FEB2019,Date_13JAN2019,Date_13JUL2018,Date_13JUN2018,Date_13MAR2019,Date_13MAY2018,Date_13NOV2018,Date_13OCT2018,Date_13SEP2018,Date_14AUG2018,Date_14DEC2018,Date_14FEB2019,Date_14JAN2019,Date_14JUL2018,Date_14JUN2018,Date_14MAR2019,Date_14MAY2018,Date_14NOV2018,Date_14OCT2018,Date_14SEP2018,Date_15AUG2018,Date_15DEC2018,Date_15FEB2019,Date_15JAN2019,Date_15JUL2018,Date_15JUN2018,Date_15MAR2019,Date_15MAY2018,Date_15NOV2018,Date_15OCT2018,Date_15SEP2018,Date_16AUG2018,Date_16DEC2018,Date_16FEB2019,Date_16JAN2019,Date_16JUL2018,Date_16JUN2018,Date_16MAR2019,Date_16MAY2018,Date_16NOV2018,Date_16OCT2018,Date_16SEP2018,Date_17AUG2018,Date_17DEC2018,Date_17FEB2019,Date_17JAN2019,Date_17JUL2018,Date_17JUN2018,Date_17MAR2019,Date_17MAY2018,Date_17NOV2018,Date_17OCT2018,Date_17SEP2018,Date_18AUG2018,Date_18DEC2018,Date_18FEB2019,Date_18JAN2019,Date_18JUL2018,Date_18JUN2018,Date_18MAR2019,Date_18MAY2018,Date_18NOV2018,Date_18OCT2018,Date_18SEP2018,Date_19AUG2018,Date_19DEC2018,Date_19FEB2019,Date_19JAN2019,Date_19JUL2018,Date_19JUN2018,Date_19MAY2018,Date_19NOV2018,Date_19OCT2018,Date_19SEP2018,Date_20AUG2018,Date_20DEC2018,Date_20FEB2019,Date_20JAN2019,Date_20JUL2018,Date_20JUN2018,Date_20MAY2018,Date_20NOV2018,Date_20OCT2018,Date_20SEP2018,Date_21AUG2018,Date_21DEC2018,Date_21FEB2019,Date_21JAN2019,Date_21JUL2018,Date_21JUN2018,Date_21MAY2018,Date_21NOV2018,Date_21OCT2018,Date_21SEP2018,Date_22AUG2018,Date_22DEC2018,Date_22FEB2019,Date_22JAN2019,Date_22JUL2018,Date_22JUN2018,Date_22MAY2018,Date_22NOV2018,Date_22OCT2018,Date_22SEP2018,Date_23AUG2018,Date_23DEC2018,Date_23FEB2019,Date_23JAN2019,Date_23JUL2018,Date_23JUN2018,Date_23MAY2018,Date_23NOV2018,Date_23OCT2018,Date_23SEP2018,Date_24AUG2018,Date_24DEC2018,Date_24FEB2019,Date_24JAN2019,Date_24JUL2018,Date_24JUN2018,Date_24MAY2018,Date_24NOV2018,Date_24OCT2018,Date_24SEP2018,Date_25AUG2018,Date_25DEC2018,Date_25FEB2019,Date_25JAN2019,Date_25JUL2018,Date_25JUN2018,Date_25MAY2018,Date_25NOV2018,Date_25OCT2018,Date_25SEP2018,Date_26AUG2018,Date_26DEC2018,Date_26FEB2019,Date_26JAN2019,Date_26JUN2018,Date_26MAY2018,Date_26NOV2018,Date_26OCT2018,Date_26SEP2018,Date_27AUG2018,Date_27DEC2018,Date_27FEB2019,Date_27JAN2019,Date_27JUL2018,Date_27JUN2018,Date_27MAY2018,Date_27NOV2018,Date_27OCT2018,Date_27SEP2018,Date_28AUG2018,Date_28DEC2018,Date_28FEB2019,Date_28JAN2019,Date_28JUL2018,Date_28JUN2018,Date_28MAY2018,Date_28NOV2018,Date_28OCT2018,Date_28SEP2018,Date_29AUG2018,Date_29DEC2018,Date_29JAN2019,Date_29JUL2018,Date_29JUN2018,Date_29MAY2018,Date_29NOV2018,Date_29OCT2018,Date_29SEP2018,Date_30AUG2018,Date_30DEC2018,Date_30JAN2019,Date_30JUL2018,Date_30JUN2018,Date_30MAY2018,Date_30NOV2018,Date_30OCT2018,Date_30SEP2018,Date_31AUG2018,Date_31DEC2018,Date_31JAN2019,Date_31MAY2018,Date_31OCT2018
2019,41.45472,41.11739,40.36775,40.3865,40.61139,40.40524,40.19909,39.74931,39.39323,38.99967,38.81227,38.81227,38.81227,38.81227,38.81227,38.60612,38.71856,38.83101,38.83101,38.86849,39.54316,39.86175,40.74257,41.99821,44.02222,45.3903,46.85208,47.84535,50.56277,51.93085,53.24271,53.37389,54.27345,54.29219,54.87316,54.83568,55.99761,56.6348,56.91591,57.19702,57.92792,58.4714,58.8837,59.07111,60.17682,59.95193,60.02689,60.32674,60.43919,59.70829,59.20229,59.3897,60.814,60.66408,60.88897,60.6266,60.90771,61.20756,60.75778,60.308,60.49541,60.55163,60.25178,60.25178,59.67081,58.78999,58.11532,57.34695,56.18502,55.28546,54.91064,54.27345,51.85589,50.4878,49.25091,48.87609,47.78912,47.58298,46.98327,46.96453,46.55223,46.06497,45.61519,45.72763,44.99674,44.11592,43.98474,43.85355,43.60992,43.75985,43.77859,42.95399,42.11065,42.18562,42.24184,41.58591,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,41.41724,41.41724,41.09865,40.63013,40.76131,40.31153,40.23657,39.89923,39.6556,39.48694,39.41197,38.7373,38.66234,38.96219,38.86849,38.88723,38.99967,38.99967,39.29953,39.44945,40.29279,41.13613,41.26731,42.12939,44.35955,45.8963,47.17068,48.03276,49.73817,51.59351,52.81167,53.149,54.16101,54.55457,54.4796,55.04183,56.03509,56.37243,57.30947,57.12206,58.30273,59.35222,58.77125,59.03362,59.42718,59.95193,59.74578,59.802,61.28252,61.09512,61.67608,61.35749,61.26378,60.75778,60.60785,59.67081,59.802,60.00815,59.52089,59.65207,59.50215,58.8837,58.43392,58.26525,58.65881,57.79673,57.45939,57.06584,56.52235,56.42865,55.96013,55.64153,53.74871,52.26818,51.19996,50.22543,48.87609,48.31387,47.67668,47.88283,47.54549,46.94579,46.27112,46.27112,45.74637,45.01548,44.71563,44.45326,44.13466,44.07844,43.45999,42.89777,42.6354,41.64213,41.82954,42.14813,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,42.07317,41.77332,41.13613,40.92998,40.83628,40.55516,39.88049,39.69308,39.52442,39.46819,39.13086,39.01841,39.26205,39.20582,39.03716,38.75604,38.88723,39.2433,39.0559,39.71183,39.9742,40.76131,41.24857,42.44799,44.28459,45.33408,46.8146,47.95779,49.77565,50.95633,52.56804,53.24271,54.42338,54.92938,55.28546,55.90391,56.80347,57.74051,58.3777,59.22103,60.55163,60.49541,61.15134,61.91971,62.48194,62.1446,62.25705,62.1446,63.51268,62.8755,63.3815,62.83801,62.27579,62.10712,62.93172,63.10039,63.64387,63.32528,63.19409,62.98794,63.15661,62.1446,61.99468,61.80727,61.56364,60.92645,59.82074,59.50215,58.39644,58.30273,57.9654,56.99087,54.44212,53.11152,52.36189,51.74344,50.52529,49.5695,49.21343,48.78239,49.19469,48.52002,47.93905,47.6392,47.09571,45.95252,45.35282,44.8843,44.99674,44.41577,44.30333,43.60992,43.16014,43.01021,43.19762,42.97273,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,42.65414,41.97947,41.4922,41.66087,41.86702,41.07991,41.24857,40.94872,40.4802,40.4802,40.12412,40.01168,39.82427,39.99294,39.73057,39.6556,40.01168,39.9742,40.08664,40.36775,41.06117,41.41724,41.97947,43.25384,44.978,46.57097,47.97653,48.2389,49.92558,51.64974,53.09278,53.93612,55.67902,55.64153,56.20376,56.74724,57.51562,58.04036,58.84622,59.22103,59.55837,59.97067,60.6266,60.814,61.78853,61.52616,61.86349,62.70683,61.97594,61.09512,61.09512,61.56364,61.90097,61.93845,61.61986,61.6386,61.28252,61.03889,60.58911,59.95193,59.67081,59.44592,59.18355,58.50888,58.09658,57.89043,57.75925,57.15954,56.07257,54.4796,54.42338,54.53582,51.83714,50.03802,48.91357,48.35135,47.26438,46.66467,46.32734,46.08371,45.44652,44.65941,44.71563,44.37829,44.22837,43.62866,43.04769,42.57917,43.08518,42.52295,41.82954,41.60465,41.52969,40.9862,41.02368,41.00494,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,40.9862,40.87376,40.34901,40.0679,40.3865,39.69308,39.61812,39.61812,39.20582,38.88723,38.2313,38.84975,38.84975,38.66234,38.47493,38.26878,38.39997,38.7373,38.325,37.89396,37.83774,38.325,38.25004,38.19382,38.39997,38.75604,38.99967,39.13086,39.31827,39.9742,40.78005,41.71709,42.24184,42.18562,42.57917,42.8228,42.89777,43.38503,43.2351,43.1414,42.97273,42.97273,43.57244,43.70362,43.2351,42.44799,43.87229,44.26585,43.89103,43.81607,44.19088,44.35955,44.35955,44.24711,44.00348,44.11592,44.52822,44.07844,43.96599,44.37829,44.04096,44.64066,44.02222,44.28459,44.39703,44.35955,44.35955,43.87229,44.22837,44.34081,44.32207,44.26585,43.87229,43.53496,42.76658,42.76658,42.52295,40.70509,41.15487,41.15487,41.15487,40.91124,40.68635,40.81753,40.21783,40.42398,39.88049,39.52442,40.03042,40.40524,40.12412,39.73057,39.63686,39.61812,39.52442,39.09338,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,38.92471,38.84975,38.58738,38.68108,38.94345,38.54989,38.39997,38.30626,37.95019,37.95019,37.59411,37.57537,37.48167,37.01315,36.93818,37.21929,37.21929,37.08811,36.86322,36.37596,36.807,36.86322,36.86322,36.86322,37.18181,37.03189,37.313,37.313,37.313,38.08137,38.51241,38.83101,39.13086,39.16834,39.67434,39.71183,39.84301,40.21783,40.4802,40.91124,41.24857,41.47346,41.3985,41.37976,41.58591,40.85502,41.04242,41.36102,41.34228,41.41724,41.47346,41.47346,41.09865,41.45472,41.94198,41.94198,41.88576,41.73584,42.24184,42.59791,42.93525,42.97273,42.87903,43.1414,42.87903,42.7291,42.37302,42.12939,41.86702,42.14813,42.69162,42.29806,41.92324,41.60465,41.41724,41.45472,41.04242,40.96746,40.87376,40.59264,40.59264,40.01168,39.99294,39.99294,40.0679,40.42398,39.88049,39.59938,39.37449,40.70509,40.91124,40.19909,39.93672,40.01168,40.33027,40.33027,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,40.33027,39.84301,39.29953,38.99967,39.5619,38.98093,39.01841,38.83101,38.62486,38.41871,38.26878,38.19382,38.2313,38.2313,38.2313,37.80026,38.08137,38.08137,38.94345,38.81227,39.61812,40.01168,40.61139,41.4922,44.17214,45.72763,47.37683,48.2389,49.9818,51.74344,52.81167,53.26145,54.25471,54.9856,55.60405,55.69776,56.55983,57.00961,57.49688,57.6468,58.22777,58.02162,58.73377,59.57711,59.68955,59.59585,60.27052,60.40171,60.79526,60.60785,61.11386,60.51415,61.05763,60.98267,60.87023,60.77652,60.15807,60.47667,60.87023,60.60785,60.47667,60.12059,60.34548,60.04563,59.72704,58.78999,58.41518,58.17155,57.25325,56.93465,56.18502,55.79146,52.96159,51.34988,51.2187,50.61899,48.95106,48.2389,47.77038,47.37683,46.79586,46.51475,46.34608,45.65267,45.42778,44.45326,43.98474,44.02222,43.59118,43.31007,43.06643,42.67288,42.16687,41.71709,41.9045,41.3985,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,41.66087,41.00494,40.72383,40.70509,40.46146,40.0679,39.80553,39.63686,39.26205,39.0559,38.98093,38.75604,38.90597,38.88723,38.62486,38.36249,38.84975,38.81227,38.71856,38.96219,40.01168,40.42398,41.41724,42.56043,44.49074,45.70889,46.8146,48.22016,50.31914,51.68722,52.62426,53.16774,54.23597,54.61079,55.06057,55.60405,56.39117,56.55983,57.02836,57.38443,57.30947,57.87169,58.00288,58.15281,58.02162,59.68955,59.63333,60.04563,60.814,60.38296,60.08311,59.82074,60.6266,59.52089,59.67081,60.6266,61.82601,61.33875,61.71356,61.41371,61.39497,60.90771,60.66408,60.6266,59.76452,59.18355,58.32147,58.02162,57.02836,56.70976,56.65354,55.92265,52.69922,51.44359,50.60025,49.81313,48.50128,47.97653,47.62046,46.98327,46.68342,45.70889,45.55897,45.12793,44.80933,44.35955,43.98474,43.7411,43.72236,43.2351,42.87903,42.44799,41.66087,41.52969,41.54843,40.9862,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,41.28606,40.96746,40.49894,40.44272,40.70509,40.01168,39.84301,39.63686,39.6556,39.2433,38.83101,38.60612,38.7373,38.79352,38.83101,38.6436,38.56863,38.56863,38.86849,39.26205,39.86175,40.31153,40.74257,41.69835,43.77859,45.09044,46.70216,47.37683,49.94432,51.06877,52.75545,53.0553,53.89864,54.27345,54.40464,54.59205,55.34168,56.01635,56.89717,57.34695,57.27199,57.77799,58.19029,58.92118,59.31474,59.4834,59.65207,59.95193,60.68282,61.26378,61.45119,61.69482,61.60112,61.35749,61.35749,61.24504,61.33875,61.20756,61.07638,61.24504,61.26378,61.28252,61.1326,60.66408,60.38296,59.72704,59.03362,58.17155,57.36569,56.57858,56.1288,55.52909,52.66174,51.2187,50.54403,50.00054,48.87609,48.38883,48.12646,47.71416,47.39557,46.66467,46.62719,45.69015,45.25911,44.84681,44.17214,43.87229,44.0597,43.72236,43.34755,42.93525,42.12939,41.79206,41.67961,41.43598,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
